image,label,class_name,split,split_dupaware,split_neardup,sha256,dup_group,neardup_group
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_000.jpg,0,Acute_Otitis_Media,train,test,test,d6e7f6ef7d74f6e032f3f95d9b6c7db5b7be05ea85da95ac3e3d15ae121d3a56,2418,0
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_001.jpg,0,Acute_Otitis_Media,test,train,train,573dca0141fce6c9923f0db4948a3ca860beda8357bf3fadd2ad153cea9778c2,1003,1
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_002.jpg,0,Acute_Otitis_Media,train,train,train,672091ddc226486487e9da82f09343ab27adf4c09ce2372ae4e01387fd12f83c,1169,2
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_003.jpg,0,Acute_Otitis_Media,train,train,train,f65b056fc61ddc86335e954591c5c076f890079546d0980bade368d62452747c,2795,3
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_004.jpg,0,Acute_Otitis_Media,train,train,train,da741ae52fdcabce85069cb1d2b7644a8266180f9ceef7bb9c7ae4b4a208ccf2,2461,4
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_005.jpg,0,Acute_Otitis_Media,train,train,train,da741ae52fdcabce85069cb1d2b7644a8266180f9ceef7bb9c7ae4b4a208ccf2,2461,4
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_006.jpg,0,Acute_Otitis_Media,train,train,train,3988e494ae2779b7df152bb42132b6e27bc28b51a7986cd1cb46807265a30b7a,658,5
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_007.jpg,0,Acute_Otitis_Media,train,train,train,1d76b7c44803e3fb9c60d20273810c4678cb165c45205ec2530000aede467dae,340,6
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_008.jpg,0,Acute_Otitis_Media,val,test,test,b2f334ab10f853a3194c44cdf342d0c2ccd0a72974f5403514cbdad209c1dd80,2018,7
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_009.jpg,0,Acute_Otitis_Media,train,train,train,3c03d89b5a062de76cca9b4d85bf56b63484e31e3c16ca4d7fed820c64027956,688,8
Oto-Endoscopic_Images/Acute_Otitis_Media/AOM_010.jpg,0,Acute_Otitis_Media,train,train,train,1ca892ab5f21857c2acb7b5de9f65bab7a9746e7d778193bd93ed368a130fa05,333,9
