model_type,method,n_test,BACC,BACC_95%_CI,Macro_MAE,Macro_MAE_95%_CI,Multiclass_MCC,MCC_95%_CI,AUROC,AUPRC,Accuracy,Weighted_F1
PanDerm Family,Linear Eval,554,0.628013306868001,"[0.5729, 0.6861]",0.5045983669405951,"[0.4247, 0.5918]",0.7164322146140737,"[0.6727, 0.7627]",0.9399427442226612,0.6791405220145817,0.8140794223826715,0.8060282902741174
PanDerm Family,BitFit,554,0.645477288045461,"[0.5903, 0.7010]",0.42257692260127006,"[0.3543, 0.4938]",0.6858182181991268,"[0.6402, 0.7325]",0.9373100163656604,0.6856736935078752,0.7870036101083032,0.7943275701836598
PanDerm Family,LN-tuning,554,0.6122075518949301,"[0.5561, 0.6703]",0.474051220929873,"[0.4020, 0.5575]",0.6539879958483853,"[0.6102, 0.6999]",0.9321856200551695,0.6686599562147917,0.7635379061371841,0.7734643843360193
PanDerm Family,LoRA (pure),554,0.6916525683120931,"[0.6395, 0.7448]",0.3957846228999326,"[0.3213, 0.4699]",0.6917200028321377,"[0.6484, 0.7346]",0.9430786718221563,0.7143819919734338,0.7833935018050542,0.7892635685466777
PanDerm Family,LoRA (fusion),554,0.6736073391829138,"[0.6180, 0.7224]",0.4172971970245052,"[0.3482, 0.4940]",0.6872825622888107,"[0.6428, 0.7304]",0.938845055079136,0.6890606441282919,0.7833935018050542,0.7893899931567141
PanDerm Family,Full FT,554,0.6921460880157803,"[0.6366, 0.7434]",0.40136330470378,"[0.3249, 0.4793]",0.7012195351509132,"[0.6571, 0.7435]",0.9383195687182635,0.7040080790996245,0.796028880866426,0.800395873489211
Non-PanDerm Baseline,ResNet-50,554,0.610373250845592,"[0.5577, 0.6686]",0.5047691549025791,"[0.4344, 0.5766]",0.706043314654339,"[0.6630, 0.7518]",0.9266218486141673,0.6564917359109466,0.8068592057761733,0.7984735492530444
Non-PanDerm Baseline,DINOv2 (ViT-L/14),554,0.6078209076124932,"[0.5600, 0.6604]",0.4787133087230478,"[0.4065, 0.5531]",0.6907621352270285,"[0.6473, 0.7345]",0.9295189933847208,0.6597393855333296,0.796028880866426,0.7933778444347588
Non-PanDerm Baseline,Swin-Base,554,0.616411798715071,"[0.5595, 0.6700]",0.4886796396262699,"[0.4142, 0.5684]",0.7105384451189414,"[0.6615, 0.7538]",0.9336144343390705,0.6541264789806169,0.8086642599277978,0.8058126378678878
Non-PanDerm Baseline,ImageNet ViT (ViT-L/16),554,0.6290240290376636,"[0.5708, 0.6866]",0.5098711051749618,"[0.4201, 0.5998]",0.6975166663468344,"[0.6526, 0.7414]",0.9167950371615923,0.6454632444927217,0.7996389891696751,0.7984353385407496
