model_type,method,n_test,BACC,BACC_95%_CI,Macro_MAE,Macro_MAE_95%_CI,Multiclass_MCC,MCC_95%_CI,AUROC,AUPRC,Accuracy,Weighted_F1
PanDerm Family,Linear Eval,54,0.8107142857142856,"[0.7206, 0.8929]",0.26785714285714285,"[0.1404, 0.4286]",0.7510082275006511,"[0.6267, 0.8690]",0.9468119426480291,0.7980737581266739,0.7777777777777778,0.7584396721651624
PanDerm Family,BitFit,54,0.7773809523809524,"[0.6666, 0.8844]",0.37499999999999994,"[0.1676, 0.6341]",0.7273122985294032,"[0.6121, 0.8536]",0.9558815117259679,0.8466514437706881,0.7592592592592593,0.7579746264386786
PanDerm Family,LN-tuning,54,0.8107142857142856,"[0.7214, 0.8929]",0.33214285714285713,"[0.1571, 0.5520]",0.7502024246814444,"[0.6195, 0.8574]",0.959169507225485,0.8418297879721923,0.7777777777777778,0.7629550490661602
PanDerm Family,LoRA (pure),54,0.8107142857142856,"[0.7214, 0.8929]",0.28928571428571426,"[0.1238, 0.5119]",0.7518140303198578,"[0.6244, 0.8577]",0.964159887215865,0.860928065309818,0.7777777777777778,0.7652635128125325
PanDerm Family,LoRA (fusion),54,0.7948412698412698,"[0.6872, 0.8903]",0.4039682539682539,"[0.1444, 0.7247]",0.7602688514288332,"[0.6473, 0.8746]",0.9500943788109001,0.8163001351494906,0.7777777777777778,0.7776728145149198
PanDerm Family,Full FT,54,0.8345238095238094,"[0.7594, 0.9009]",0.2654761904761905,"[0.1131, 0.4936]",0.7764366532080603,"[0.6644, 0.8924]",0.9598842461621083,0.8744879460517019,0.7962962962962963,0.7780942006432203
Non-PanDerm Baseline,ResNet-50,54,0.8385487528344671,"[0.7347, 0.9277]",0.24240362811791383,"[0.0866, 0.4371]",0.8108140432856907,"[0.7028, 0.9144]",0.9789080939470791,0.9007586494193637,0.8333333333333334,0.830791575889615
Non-PanDerm Baseline,DINOv2 (ViT-L/14),54,0.7999999999999998,"[0.6893, 0.9000]",0.32857142857142857,"[0.1286, 0.5811]",0.7641628692537499,"[0.6378, 0.8762]",0.9644073236492072,0.8467911528804833,0.7962962962962963,0.7904900564214289
Non-PanDerm Baseline,Swin-Base,54,0.834920634920635,"[0.7449, 0.9179]",0.31111111111111106,"[0.1214, 0.5255]",0.7904086990379232,"[0.6659, 0.8954]",0.9619418390251723,0.862827263260067,0.8148148148148148,0.8020150333746825
Non-PanDerm Baseline,ImageNet ViT (ViT-L/16),54,0.8805555555555556,"[0.8100, 0.9433]",0.2623015873015873,"[0.0821, 0.5028]",0.8335344461513081,"[0.7177, 0.9355]",0.9744676230643258,0.8949600994243851,0.8518518518518519,0.8371320037986705
