layer,val_bacc,test_bacc
0,0.449385,0.457509
1,0.495406,0.530442
2,0.53032,0.528039
3,0.604689,0.549104
4,0.582885,0.597924
5,0.606411,0.622324
6,0.612251,0.620631
7,0.606765,0.686038
8,0.618243,0.640454
9,0.643698,0.633728
10,0.651438,0.614504
11,0.662262,0.628674
12,0.639932,0.631059
13,0.651052,0.632816
14,0.656291,0.666645
15,0.662145,0.619207
16,0.653178,0.634455
17,0.634731,0.637977
18,0.645337,0.628837
19,0.617718,0.652452
20,0.585813,0.619213
21,0.586289,0.635977
22,0.608546,0.619097
23,0.624732,0.628128
