layer,val_bacc,test_bacc
0,0.517687,0.490986
1,0.482029,0.569671
2,0.543084,0.672222
3,0.529535,0.705782
4,0.5589,0.69983
5,0.629138,0.707766
6,0.60873,0.75085
7,0.685658,0.739342
8,0.648639,0.782143
9,0.693991,0.772619
10,0.679535,0.720068
11,0.701927,0.759921
12,0.693764,0.785544
13,0.657086,0.772846
14,0.674943,0.817063
15,0.635091,0.791667
16,0.656519,0.810941
17,0.64246,0.756973
18,0.644444,0.780782
19,0.641043,0.820465
20,0.626757,0.790306
21,0.626757,0.804592
22,0.655329,0.786905
23,0.655329,0.810714
