dataset,metric,method,rank,freq
aptos2019,bacc,Linear Eval,1.0,0.0
aptos2019,bacc,Linear Eval,1.5,0.0
aptos2019,bacc,Linear Eval,2.0,0.006
aptos2019,bacc,Linear Eval,2.5,0.0
aptos2019,bacc,Linear Eval,3.0,0.034
aptos2019,bacc,Linear Eval,3.5,0.0
aptos2019,bacc,Linear Eval,4.0,0.219
aptos2019,bacc,Linear Eval,4.5,0.0
aptos2019,bacc,Linear Eval,5.0,0.468
aptos2019,bacc,Linear Eval,5.5,0.0
aptos2019,bacc,Linear Eval,6.0,0.273
aptos2019,bacc,Linear Eval,mean,4.968
aptos2019,bacc,BitFit,1.0,0.007
aptos2019,bacc,BitFit,1.5,0.0
aptos2019,bacc,BitFit,2.0,0.023
aptos2019,bacc,BitFit,2.5,0.0
aptos2019,bacc,BitFit,3.0,0.096
aptos2019,bacc,BitFit,3.5,0.0
aptos2019,bacc,BitFit,4.0,0.627
aptos2019,bacc,BitFit,4.5,0.0
aptos2019,bacc,BitFit,5.0,0.247
aptos2019,bacc,BitFit,5.5,0.0
aptos2019,bacc,BitFit,6.0,0.0
aptos2019,bacc,BitFit,mean,4.084
aptos2019,bacc,LN-tuning,1.0,0.0
aptos2019,bacc,LN-tuning,1.5,0.0
aptos2019,bacc,LN-tuning,2.0,0.0
aptos2019,bacc,LN-tuning,2.5,0.0
aptos2019,bacc,LN-tuning,3.0,0.002
aptos2019,bacc,LN-tuning,3.5,0.0
aptos2019,bacc,LN-tuning,4.0,0.004
aptos2019,bacc,LN-tuning,4.5,0.0
aptos2019,bacc,LN-tuning,5.0,0.268
aptos2019,bacc,LN-tuning,5.5,0.0
aptos2019,bacc,LN-tuning,6.0,0.726
aptos2019,bacc,LN-tuning,mean,5.718
aptos2019,bacc,LoRA,1.0,0.433
aptos2019,bacc,LoRA,1.5,0.0
aptos2019,bacc,LoRA,2.0,0.391
aptos2019,bacc,LoRA,2.5,0.0
aptos2019,bacc,LoRA,3.0,0.155
aptos2019,bacc,LoRA,3.5,0.0
aptos2019,bacc,LoRA,4.0,0.02
aptos2019,bacc,LoRA,4.5,0.0
aptos2019,bacc,LoRA,5.0,0.001
aptos2019,bacc,LoRA,5.5,0.0
aptos2019,bacc,LoRA,6.0,0.0
aptos2019,bacc,LoRA,mean,1.765
aptos2019,bacc,LoRA-fusion,1.0,0.07
aptos2019,bacc,LoRA-fusion,1.5,0.0
aptos2019,bacc,LoRA-fusion,2.0,0.223
aptos2019,bacc,LoRA-fusion,2.5,0.0
aptos2019,bacc,LoRA-fusion,3.0,0.591
aptos2019,bacc,LoRA-fusion,3.5,0.0
