dataset,metric,n,tau_w_mean,tau_w_std,tau_w_p2_5,tau_w_p97_5,top1_agreement,n_draws
aptos2019,bacc,10,0.06924924569208035,0.4153084964619273,-0.6968834795424568,0.785930706124867,0.07207207207207207,943
aptos2019,bacc,20,0.17762932450191718,0.3877525132634087,-0.6203053042076447,0.7866355226805434,0.188,998
aptos2019,bacc,30,0.26311598208989967,0.35869224067377126,-0.5369702399650964,0.8511538594764366,0.218,1000
aptos2019,bacc,50,0.35185409252764555,0.3385029033953987,-0.3765161086432508,0.8857142857142857,0.281,1000
aptos2019,bacc,80,0.4679716151403548,0.30293990549176675,-0.2680272108843536,0.9319727891156464,0.302,1000
aptos2019,bacc,120,0.5693304039635428,0.26041671970173047,-0.0914965986394558,1.0,0.413,1000
aptos2019,bacc,200,0.6815476261979155,0.20950541935373757,0.15904761904761888,1.0,0.418,1000
aptos2019,bacc,300,0.7969850340136054,0.147329798087199,0.491156462585034,1.0,0.474,1000
aptos2019,bacc,420,0.8812211306735397,0.1182950618140075,0.6544217687074829,1.0,0.487,1000
aptos2019,bacc,554,1.0,0.0,1.0,1.0,1.0,1000
aptos2019,macro_auprc,10,0.06684803875037214,0.38930851019883667,-0.6476053430180315,0.7745966692414833,0.13313313313313313,824
aptos2019,macro_auprc,20,0.12144067807255675,0.3809686208777716,-0.6044419806669349,0.7823129251700681,0.218,992
aptos2019,macro_auprc,30,0.1629549174692716,0.3692900036563062,-0.5782993197278914,0.7823129251700681,0.239,1000
aptos2019,macro_auprc,50,0.19965943553694687,0.3596876169889581,-0.5054421768707483,0.798639455782313,0.262,1000
aptos2019,macro_auprc,80,0.2797469387755102,0.3410620836592529,-0.4775510204081634,0.8585034013605444,0.304,1000
aptos2019,macro_auprc,120,0.3706340136054422,0.32163986704158143,-0.3363945578231292,0.9319727891156464,0.356,1000
aptos2019,macro_auprc,200,0.47506122448979593,0.2888840019592566,-0.15918367346938786,0.9401360544217686,0.501,1000
aptos2019,macro_auprc,300,0.615156462585034,0.23871910646486433,0.08503401360544215,1.0,0.587,1000
aptos2019,macro_auprc,420,0.7402721088435374,0.20184702220033282,0.27619047619047615,1.0,0.754,1000
aptos2019,macro_auprc,554,1.0,0.0,1.0,1.0,1.0,1000
