dataset,metric,n,tau_w_mean,tau_w_std,tau_w_p2_5,tau_w_p97_5,top1_agreement,n_draws
oral_diseases,bacc,10,0.21846607452682773,0.554212607775457,-0.7022898327430861,0.8778622909288576,0.018,774
oral_diseases,bacc,15,0.25327012046726477,0.5544639862073301,-0.7022898327430861,0.8778622909288576,0.065,916
oral_diseases,bacc,20,0.3283868565195449,0.5226900827710357,-0.7022898327430861,0.9606954667408989,0.1,974
oral_diseases,bacc,25,0.4447965143493348,0.4816003376852929,-0.6999344661328903,1.0,0.17,988
oral_diseases,bacc,30,0.539502324594842,0.4388325869918298,-0.4851929444831993,1.0,0.264,1000
oral_diseases,bacc,36,0.6468534669501553,0.3565830335925123,-0.24847800784247212,1.0,0.404,1000
oral_diseases,bacc,42,0.7489816421491842,0.3226526198171213,-0.24036697247706432,1.0,0.574,1000
oral_diseases,bacc,48,0.8567831337048271,0.24409982212544476,0.2799819149472552,1.0,0.764,1000
oral_diseases,bacc,54,1.0,0.0,1.0,1.0,1.0,1000
oral_diseases,macro_auprc,10,0.2829863306906775,0.4168688240186771,-0.5946938775510202,0.8949211457958248,0.166,919
oral_diseases,macro_auprc,15,0.37897794155494374,0.3336341877834367,-0.38369208355555073,0.8775510204081634,0.328,985
oral_diseases,macro_auprc,20,0.4723557321476799,0.31078390360940134,-0.2571428571428572,0.9319727891156464,0.411,1000
oral_diseases,macro_auprc,25,0.5475217719647187,0.2716251269026802,-0.08374149659863935,1.0,0.474,1000
oral_diseases,macro_auprc,30,0.6151701522045878,0.2661092822296559,0.0013605442176869978,1.0,0.518,1000
oral_diseases,macro_auprc,36,0.7147918367346939,0.20191377217367046,0.20544217687074826,1.0,0.595,1000
oral_diseases,macro_auprc,42,0.8016462585034014,0.1690530578519817,0.34149659863945575,1.0,0.715,1000
oral_diseases,macro_auprc,48,0.8957496598639457,0.12306639974376805,0.666530612244898,1.0,0.832,1000
oral_diseases,macro_auprc,54,1.0,0.0,1.0,1.0,1.0,1000
