dataset,strategy,layer,test_bacc,loss_vs_oracle,gain_vs_last
oral_diseases,oracle,19,0.820465,0.0,0.009750999999999954
oral_diseases,val (표준 관행),11,0.759921,-0.06054400000000004,-0.05079300000000009
oral_diseases,last (L23 기본값),23,0.810714,-0.009750999999999954,0.0
oral_diseases,TE:TransRate,23,0.810714,-0.009750999999999954,0.0
oral_diseases,TE:LogME,20,0.790306,-0.030159000000000047,-0.020408000000000093
oral_diseases,TransRate_oracle_rank,19,0.820465,0.0,5.0
oral_diseases,LogME_oracle_rank,19,0.820465,0.0,4.0
aptos2019,oracle,7,0.686038,0.0,0.05791000000000002
aptos2019,val (표준 관행),11,0.628674,-0.05736400000000008,0.0005459999999999354
aptos2019,last (L23 기본값),23,0.628128,-0.05791000000000002,0.0
aptos2019,TE:TransRate,22,0.619097,-0.06694100000000003,-0.009031000000000011
aptos2019,TE:LogME,19,0.652452,-0.033586000000000005,0.024324000000000012
aptos2019,TransRate_oracle_rank,7,0.686038,0.0,17.0
aptos2019,LogME_oracle_rank,7,0.686038,0.0,17.0
