dataset,te,layer,value,test_bacc,val_bacc
oral_diseases,TransRate,0,211.23815393298767,0.490986,0.517687
oral_diseases,TransRate,1,490.195508838415,0.569671,0.482029
oral_diseases,TransRate,2,576.2754232546229,0.672222,0.543084
oral_diseases,TransRate,3,679.7302658732805,0.705782,0.529535
oral_diseases,TransRate,4,854.0874565532692,0.69983,0.5589
oral_diseases,TransRate,5,994.3440519162671,0.707766,0.629138
oral_diseases,TransRate,6,1112.8373842734677,0.75085,0.60873
oral_diseases,TransRate,7,1267.623836578104,0.739342,0.685658
oral_diseases,TransRate,8,1363.5270870673248,0.782143,0.648639
oral_diseases,TransRate,9,1449.7843386326617,0.772619,0.693991
oral_diseases,TransRate,10,1528.9726164817193,0.720068,0.679535
oral_diseases,TransRate,11,1606.9407578634957,0.759921,0.701927
oral_diseases,TransRate,12,1686.0736570774197,0.785544,0.693764
oral_diseases,TransRate,13,1770.7488808269786,0.772846,0.657086
oral_diseases,TransRate,14,1835.2862211961951,0.817063,0.674943
oral_diseases,TransRate,15,1896.466099660075,0.791667,0.635091
oral_diseases,TransRate,16,1948.0479032829585,0.810941,0.656519
oral_diseases,TransRate,17,1983.9154350415251,0.756973,0.64246
oral_diseases,TransRate,18,2025.1930951192112,0.780782,0.644444
oral_diseases,TransRate,19,2063.7708308665274,0.820465,0.641043
oral_diseases,TransRate,20,2122.6286837639063,0.790306,0.626757
oral_diseases,TransRate,21,2192.101827344444,0.804592,0.626757
oral_diseases,TransRate,22,2231.940671967184,0.786905,0.655329
oral_diseases,TransRate,23,2271.114320798368,0.810714,0.655329
oral_diseases,LogME,0,-0.3129088326542789,0.490986,0.517687
oral_diseases,LogME,1,-0.28906537378702835,0.569671,0.482029
oral_diseases,LogME,2,-0.27046680618426,0.672222,0.543084
oral_diseases,LogME,3,-0.25325610638452245,0.705782,0.529535
oral_diseases,LogME,4,-0.240178238420798,0.69983,0.5589
oral_diseases,LogME,5,-0.2244994173925805,0.707766,0.629138
oral_diseases,LogME,6,-0.2128789222284441,0.75085,0.60873
oral_diseases,LogME,7,-0.19587517683028174,0.739342,0.685658
oral_diseases,LogME,8,-0.18711392326472934,0.782143,0.648639
oral_diseases,LogME,9,-0.18382868869078978,0.772619,0.693991
oral_diseases,LogME,10,-0.1730899440056061,0.720068,0.679535
oral_diseases,LogME,11,-0.16218528547380312,0.759921,0.701927
oral_diseases,LogME,12,-0.16027114308400145,0.785544,0.693764
oral_diseases,LogME,13,-0.15507053837680626,0.772846,0.657086
oral_diseases,LogME,14,-0.16028497245049073,0.817063,0.674943
oral_diseases,LogME,15,-0.14845650687005812,0.791667,0.635091
oral_diseases,LogME,16,-0.13397761959969282,0.810941,0.656519
oral_diseases,LogME,17,-0.11580937177947241,0.756973,0.64246
oral_diseases,LogME,18,-0.10145770932902044,0.780782,0.644444
oral_diseases,LogME,19,-0.0783968564490649,0.820465,0.641043
oral_diseases,LogME,20,-0.0717538708323173,0.790306,0.626757
oral_diseases,LogME,21,-0.07329151508391031,0.804592,0.626757
oral_diseases,LogME,22,-0.07563033661281063,0.786905,0.655329
oral_diseases,LogME,23,-0.09214320486437952,0.810714,0.655329
aptos2019,TransRate,0,32.887070284254264,0.457509,0.449385
aptos2019,TransRate,1,108.84643977360167,0.530442,0.495406
aptos2019,TransRate,2,157.27647027599994,0.528039,0.53032
aptos2019,TransRate,3,236.15418917541,0.549104,0.604689
aptos2019,TransRate,4,367.11768041763025,0.597924,0.582885
aptos2019,TransRate,5,502.7343033401321,0.622324,0.606411
aptos2019,TransRate,6,640.6561985512542,0.620631,0.612251
aptos2019,TransRate,7,798.6510762135124,0.686038,0.606765
aptos2019,TransRate,8,884.4478643861858,0.640454,0.618243
aptos2019,TransRate,9,975.9157024547972,0.633728,0.643698
aptos2019,TransRate,10,1048.0673206677843,0.614504,0.651438
aptos2019,TransRate,11,1118.676124406641,0.628674,0.662262
aptos2019,TransRate,12,1177.0272461612772,0.631059,0.639932
aptos2019,TransRate,13,1245.1422988828112,0.632816,0.651052
aptos2019,TransRate,14,1294.5913880407184,0.666645,0.656291
aptos2019,TransRate,15,1346.658751324946,0.619207,0.662145
aptos2019,TransRate,16,1389.944607097716,0.634455,0.653178
aptos2019,TransRate,17,1418.5324382959511,0.637977,0.634731
aptos2019,TransRate,18,1444.1960518416413,0.628837,0.645337
aptos2019,TransRate,19,1459.9801097975528,0.652452,0.617718
aptos2019,TransRate,20,1492.0115699638668,0.619213,0.585813
aptos2019,TransRate,21,1524.5354110201215,0.635977,0.586289
aptos2019,TransRate,22,1538.824410765349,0.619097,0.608546
aptos2019,TransRate,23,1514.8937743995884,0.628128,0.624732
aptos2019,LogME,0,-0.12956742420198558,0.457509,0.449385
aptos2019,LogME,1,-0.09327663441720635,0.530442,0.495406
aptos2019,LogME,2,-0.06836491621398168,0.528039,0.53032
aptos2019,LogME,3,-0.04194608714154176,0.549104,0.604689
aptos2019,LogME,4,-0.023104179916245908,0.597924,0.582885
aptos2019,LogME,5,-0.008549351808146559,0.622324,0.606411
aptos2019,LogME,6,0.005332234541497158,0.620631,0.612251
aptos2019,LogME,7,0.017970935783723174,0.686038,0.606765
aptos2019,LogME,8,0.026826903827963045,0.640454,0.618243
aptos2019,LogME,9,0.02835036838475718,0.633728,0.643698
aptos2019,LogME,10,0.03802883827568097,0.614504,0.651438
aptos2019,LogME,11,0.04499445252928157,0.628674,0.662262
aptos2019,LogME,12,0.04904558627334535,0.631059,0.639932
aptos2019,LogME,13,0.05507420814765786,0.632816,0.651052
aptos2019,LogME,14,0.060718323685487505,0.666645,0.656291
aptos2019,LogME,15,0.06656598202670425,0.619207,0.662145
aptos2019,LogME,16,0.0724845743426146,0.634455,0.653178
aptos2019,LogME,17,0.07437963368993031,0.637977,0.634731
aptos2019,LogME,18,0.07454467597689303,0.628837,0.645337
aptos2019,LogME,19,0.0785378897775753,0.652452,0.617718
aptos2019,LogME,20,0.07818543016121751,0.619213,0.585813
aptos2019,LogME,21,0.07717533526409484,0.635977,0.586289
aptos2019,LogME,22,0.075092037536924,0.619097,0.608546
aptos2019,LogME,23,0.067032253139217,0.628128,0.624732
