dataset,fold,L7,L8,L9,L10,L11,L12,L13,L14,L23,mid_band_mean,mid_band_max
oral_diseases,0,0.5926658867448341,0.6145537211326685,0.6384743180795812,0.6184764066343014,0.6807153372942846,0.6762351683404315,0.6489000035052667,0.6499683795736427,0.6901489592279066,0.6399986526631263,0.6807153372942846
oral_diseases,1,0.6185197843092579,0.680385623148781,0.6198669021037441,0.6397081719450141,0.6716108452950558,0.6766613503455609,0.645333029543556,0.6975848712690818,0.7713488266119846,0.6562088222450064,0.6975848712690818
oral_diseases,2,0.7219421660211134,0.681574200653148,0.6831406166932482,0.6771217817270448,0.7034204830257461,0.7412992709045341,0.7410524417103365,0.7331159337738286,0.7490791372370321,0.7103333618136249,0.7412992709045341
oral_diseases,3,0.7051171051171051,0.6602175602175603,0.6890775890775892,0.6740925740925742,0.6850815850815851,0.7021756021756022,0.6931845931845932,0.6832500832500833,0.7514263514263515,0.6865245865245866,0.7051171051171051
oral_diseases,4,0.6442436218752008,0.6031513077565709,0.6565243236295869,0.6609102885418675,0.6702565709144656,0.6144054045369833,0.6777753679069469,0.6802535184114131,0.771756313861577,0.6509400504466294,0.6802535184114131
oral_diseases,5,0.6642181648760597,0.7021842923158712,0.7544570195885986,0.7954408895198369,0.7266416332205806,0.7145802297118086,0.7013004539320329,0.7001557652873441,0.756682498787762,0.7198723060565166,0.7954408895198369
oral_diseases,6,0.6502904989747096,0.6443172324751273,0.6576773372826005,0.6775186071238704,0.6735503531556163,0.6938093339409128,0.694891585023164,0.7207963089542037,0.7286426293005241,0.6766064071162755,0.7207963089542037
oral_diseases,7,0.6571684894053315,0.6617110959216221,0.6807169438748385,0.6858576365155313,0.7066909698488646,0.7056989063568011,0.7100848712690818,0.6870205817574239,0.7354608111187059,0.6868686868686869,0.7100848712690818
oral_diseases,8,0.6983571983571984,0.7093462093462094,0.7346209346209346,0.7584304584304584,0.7030747030747031,0.7127650127650129,0.7302253302253303,0.7471528471528471,0.8063825063825065,0.7242465867465868,0.7584304584304584
oral_diseases,9,0.6551257952573742,0.6803450935029883,0.609038622196517,0.64830345093503,0.6754859906175695,0.630543506201401,0.639294550478761,0.6295514427093375,0.6994441231283337,0.6459610564873723,0.6803450935029883
oral_diseases,10,0.6718562139614771,0.685427438059017,0.7221337872653661,0.7634590555643186,0.7654431825484457,0.7167766444082233,0.6576606872659505,0.6958392484708273,0.7929143225195857,0.7098245321929533,0.7654431825484457
