dataset,comparison,n_folds,mean_diff,sd,wins,wilcoxon_p,ttest_p_naive,ttest_p_nb,se_nb,sig_naive,sig_nb,tost_delta,tost_p,equivalent,mde_80
aptos2019,L7 - L23,15,-0.02324243563114637,0.022282624573141653,2,0.00115966796875,0.001217293512568678,0.0849872553410746,0.01253913327645625,True,False,0.02,0.6001409187499257,False,0.03777842072658414
aptos2019,L8 - L23,15,-0.006609837346778469,0.015110007960763441,5,0.207763671875,0.11234178552346234,0.4498805271946895,0.008502876445564717,False,False,0.02,0.0688143880416518,False,0.025617818765021477
aptos2019,L9 - L23,15,-0.004994590219712314,0.018980592198514657,7,0.359130859375,0.3254239333030255,0.6472552136439919,0.010680975863593484,False,False,0.02,0.09092886695324727,False,0.0321800870162984
aptos2019,L10 - L23,15,0.0016458347300348712,0.015394151750022915,9,0.638671875,0.685095120633357,0.8520446539799971,0.00866277308752028,False,False,0.02,0.026239664762891263,True,0.02609956199873503
aptos2019,L11 - L23,15,0.001510520956885153,0.017921974016127842,6,0.97796630859375,0.7489296901607444,0.8830783310689271,0.010085258135896892,False,False,0.02,0.04405059981406542,True,0.03038528394219256
aptos2019,L12 - L23,15,0.002434731494746304,0.02195711023843474,8,0.890380859375,0.6741251719120858,0.8466210874627793,0.01235595612814102,False,False,0.02,0.0885172673401689,False,0.0372265370178798
aptos2019,L13 - L23,15,-0.005346427399287871,0.02069133845466593,6,0.1876220703125,0.3339369529841724,0.6531601491382217,0.01164366655730717,False,False,0.02,0.11439675772855691,False,0.03508052146059686
aptos2019,L14 - L23,15,0.0036020316058786345,0.01618698315495835,10,0.33026123046875,0.4032958518860749,0.698478309773588,0.009108924240837665,False,False,0.02,0.04670296055661824,True,0.02744374469510385
aptos2019,mid_band_mean - L23,15,-0.003875021476172513,0.014148463901195476,3,0.15142822265625,0.3067638547121896,0.6340002223590372,0.007961785378193762,False,False,0.02,0.031169969836431426,True,0.023987597158483653
aptos2019,mid_band_max - L23,15,0.015971953013403897,0.01565963568915073,14,0.00152587890625,0.0014511138850180916,0.09140618942119265,0.008812169245255434,True,False,0.02,0.3273055909124923,False,0.026549668938139766
oral_diseases,L7 - L23,15,-0.0851073195810038,0.038588098774963456,0,6.103515625e-05,6.333243677383581e-07,0.0015419653726995138,0.02171473615399628,True,True,0.02,0.9952081362139973,False,0.06542305758347294
oral_diseases,L8 - L23,15,-0.08411618108986534,0.04112235430346194,0,6.103515625e-05,1.5341119888046852e-06,0.0027042672644742006,0.02314084140134409,True,True,0.02,0.9924891387052573,False,0.06971968661251865
oral_diseases,L9 - L23,15,-0.07520483902062852,0.0374700959054573,0,6.103515625e-05,1.9105602932717072e-06,0.0030968668199360993,0.021085600796167035,True,True,0.02,0.9898751876798861,False,0.06352757248749186
oral_diseases,L10 - L23,15,-0.06225870133764872,0.04442602540748114,1,0.00030517578125,8.907418939419998e-05,0.025945412048390726,0.02499992097874746,True,True,0.02,0.9434531740479057,False,0.075320798658374
oral_diseases,L11 - L23,15,-0.0594238704765021,0.033570133298999556,0,6.103515625e-05,7.86140280821885e-06,0.007153603177732106,0.018890969246591248,True,True,0.02,0.9721684359456382,False,0.05691549554471126
oral_diseases,L12 - L23,15,-0.05879771300823935,0.043354814475403174,0,6.103515625e-05,0.00012228161819962625,0.030281490856915352,0.024397116914960788,True,True,0.02,0.9329510182605808,False,0.07350464557702932
oral_diseases,L13 - L23,15,-0.0603188478188478,0.0401203355719887,0,6.103515625e-05,4.423409104624988e-05,0.01823927453162817,0.022576973963816416,True,True,0.02,0.9521022577364555,False,0.06802084341344854
oral_diseases,L14 - L23,15,-0.05386964886964891,0.03792240775982307,1,0.00030517578125,7.799787626435194e-05,0.02429597385178543,0.021340130894531194,True,True,0.02,0.9325978490832821,False,0.06429443132307301
oral_diseases,mid_band_mean - L23,15,-0.06738714015029806,0.03012986835219546,0,6.103515625e-05,5.362689508656527e-07,0.0013836615707059374,0.016955024020179565,True,True,0.02,0.9928379392816875,False,0.051082799483945535
oral_diseases,mid_band_max - L23,15,-0.02740143384880229,0.03550308016544449,2,0.01025390625,0.009758429478154551,0.19179146134463743,0.019978699208342526,True,False,0.02,0.6417099811548667,False,0.060192653481066206
aptos2019,L0 - L23,15,-0.15382374399874846,0.022986277570962894,0,6.103515625e-05,3.124824161797189e-13,1.0503771077043184e-08,0.012935100936867922,True,True,0.02,0.9999999693934454,False,0.03897140851444351
aptos2019,L1 - L23,15,-0.11616578330533092,0.02646334317384938,0,6.103515625e-05,9.604757261502437e-11,1.8346889778215395e-06,0.014891755049244247,True,True,0.02,0.9999924826164617,False,0.04486649716563013
aptos2019,L2 - L23,15,-0.08773467997915635,0.032967721528331606,0,6.103515625e-05,6.415733002428853e-08,0.0003229181271796419,0.01855197320710242,True,True,0.02,0.9986903691765767,False,0.055894154218951456
aptos2019,L3 - L23,15,-0.06661611129335816,0.02607133469452289,0,6.103515625e-05,1.0630634113002386e-07,0.0004618975669403543,0.014671159555583206,True,True,0.02,0.9966421493994184,False,0.04420187791434879
aptos2019,L4 - L23,15,-0.023383715569750496,0.02314490043040089,1,0.00152587890625,0.0015614664577872123,0.09420253669531965,0.013024363006004206,True,False,0.02,0.6005997492268511,False,0.03924034097798847
aptos2019,L5 - L23,15,-0.03216275358257539,0.018812246546990544,1,0.0001220703125,1.148251961034557e-05,0.008855315425328825,0.010586242473725348,True,True,0.02,0.8650800281432866,False,0.03189467033075972
aptos2019,L6 - L23,15,-0.029466208149099792,0.022453320933183547,2,0.00030517578125,0.00016695058680792874,0.035142766403325115,0.01263518948389921,True,True,0.02,0.7669285154855483,False,0.0380678228517688
aptos2019,L15 - L23,15,0.002407275907449957,0.01982076468098558,9,0.389404296875,0.6453258812161957,0.8322360134443699,0.01115376732935342,False,False,0.02,0.06852547630469294,False,0.03360453275075391
aptos2019,L16 - L23,15,-0.0012930527323454935,0.015312781131453686,8,0.890380859375,0.7484722483360845,0.8828587940349621,0.008616983282657835,False,False,0.02,0.023810226828412974,True,0.025961604575766278
aptos2019,L17 - L23,15,0.004733331486312971,0.011398940314309007,9,0.207763671875,0.13009603458092617,0.47275963161134554,0.006414542027682625,False,False,0.02,0.016036295844251664,True,0.019325998228693908
aptos2019,L18 - L23,15,-0.00014797259642522763,0.016960183198149084,8,0.93408203125,0.9735211449761886,0.9878487125124241,0.009544028209811612,False,False,0.02,0.028186685758587945,True,0.028754643976361818
aptos2019,L19 - L23,15,0.005009234138636357,0.017607108411984977,8,0.27685546875,0.28910274807564523,0.6210239579235958,0.009908073363000876,False,False,0.02,0.07626352774807542,False,0.029851454310651893
aptos2019,L20 - L23,15,0.0023703591902416075,0.014124877238014909,10,0.359130859375,0.5262509145099826,0.7699197588893504,0.007948512421401925,False,False,0.02,0.02180202575102682,True,0.023947607843838654
aptos2019,L21 - L23,15,4.0844305085929736e-05,0.012099762882428408,9,0.638671875,0.9897534330073972,0.9952984393408454,0.006808916916329709,False,False,0.02,0.005471431032185188,True,0.020514187247729517
aptos2019,L22 - L23,15,-0.003955071715279009,0.011328908441346831,6,0.22930908203125,0.19777988768798058,0.544967995139743,0.006375132891393939,False,False,0.02,0.012326444523203103,True,0.019207264748607154
