bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6553713099765731,0.6180999125346236,0.6346153846153846,"[0.8125, 1.0, 0.5, 0.5555555555555556, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",A1lo,oral_diseases,0,2060,104
0.7843358395989976,0.719960238689309,0.44660194174757284,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5, 1.0, 0.47368421052631576, 0.75]",A1lo,oral_diseases,1,2065,103
0.714864813549024,0.6710950841320978,0.5048543689320388,"[0.875, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.631578947368421, 0.5833333333333334]",A1lo,oral_diseases,2,2065,103
0.7503718503718504,0.7054923583640271,0.39805825242718446,"[0.8666666666666667, 0.9333333333333333, 0.6153846153846154, 0.5555555555555556, 0.6363636363636364, 0.7222222222222222, 0.9230769230769231]",A1lo,oral_diseases,3,2065,103
0.760767302872566,0.7263964990444781,0.4854368932038835,"[0.75, 1.0, 0.75, 0.6666666666666666, 0.6, 0.7894736842105263, 0.7692307692307693]",A1lo,oral_diseases,4,2065,103
0.7563619859672491,0.7190579646205567,0.47115384615384615,"[0.9375, 0.9333333333333333, 0.75, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6923076923076923]",A1lo,oral_diseases,5,2060,104
0.751706918812182,0.727586609931864,0.4077669902912621,"[0.875, 0.9333333333333333, 0.5833333333333334, 0.7777777777777778, 0.6363636363636364, 0.7894736842105263, 0.6666666666666666]",A1lo,oral_diseases,6,2065,103
0.7271967798283587,0.682911692127055,0.4854368932038835,"[0.75, 1.0, 0.5, 0.6111111111111112, 0.9090909090909091, 0.7368421052631579, 0.5833333333333334]",A1lo,oral_diseases,7,2065,103
0.7460206460206459,0.6956283266006115,0.5825242718446602,"[0.8666666666666667, 1.0, 0.6153846153846154, 0.6111111111111112, 0.7272727272727273, 0.5555555555555556, 0.8461538461538461]",A1lo,oral_diseases,8,2065,103
0.7102596234175181,0.6587186291026415,0.5339805825242718,"[0.75, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7, 0.6842105263157895, 0.6153846153846154]",A1lo,oral_diseases,9,2065,103
0.768530446162025,0.7207288053296393,0.34615384615384615,"[0.875, 1.0, 0.75, 0.4444444444444444, 0.7272727272727273, 0.7368421052631579, 0.8461538461538461]",A1lo,oral_diseases,10,2060,104
0.7002904989747094,0.6592069950250325,0.6116504854368932,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.631578947368421, 0.5833333333333334]",A1lo,oral_diseases,11,2065,103
0.7676910078225868,0.7272363778061008,0.33980582524271846,"[0.9375, 1.0, 0.8333333333333334, 0.5555555555555556, 0.7272727272727273, 0.7368421052631579, 0.5833333333333334]",A1lo,oral_diseases,12,2065,103
0.7262293262293262,0.6935103112230004,0.5048543689320388,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.7777777777777778, 0.45454545454545453, 0.6666666666666666, 0.6153846153846154]",A1lo,oral_diseases,13,2065,103
0.7544004241372662,0.7055762296533109,0.46601941747572817,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.7, 0.5263157894736842, 0.8461538461538461]",A1lo,oral_diseases,14,2065,103
0.6691798698377646,0.6293410235126538,0.5865384615384616,"[0.9375, 1.0, 0.5, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.46153846153846156]",A1sty,oral_diseases,0,2060,104
0.7799498746867168,0.7210178579264586,0.4854368932038835,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5, 1.0, 0.5263157894736842, 0.6666666666666666]",A1sty,oral_diseases,1,2065,103
0.7296555783397888,0.6923103579293802,0.47572815533980584,"[0.875, 1.0, 0.75, 0.7222222222222222, 0.5454545454545454, 0.631578947368421, 0.5833333333333334]",A1sty,oral_diseases,2,2065,103
