bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6544386899693722,0.7490727814247882,0.22100954979536153,"[0.9889196675900277, 0.5675675675675675, 0.84, 0.3333333333333333, 0.5423728813559322]",B2,aptos2019,0,14645,733
0.635869157896624,0.7291841206747978,0.23465211459754434,"[0.9778393351800554, 0.6216216216216216, 0.815, 0.2564102564102564, 0.5084745762711864]",B2,aptos2019,1,14645,733
0.6546326956093612,0.7407893085467624,0.22404371584699453,"[0.9833795013850416, 0.6216216216216216, 0.81, 0.3157894736842105, 0.5423728813559322]",B2,aptos2019,2,14650,732
0.6460145978176871,0.7155656827400175,0.2527322404371585,"[0.9750692520775623, 0.6081081081081081, 0.77, 0.3684210526315789, 0.5084745762711864]",B2,aptos2019,3,14650,732
0.6361195979695775,0.7130097109354139,0.24726775956284153,"[0.9833795013850416, 0.527027027027027, 0.7688442211055276, 0.358974358974359, 0.5423728813559322]",B2,aptos2019,4,14650,732
0.6313665628450831,0.7260299867040081,0.24693042291950887,"[0.9916897506925207, 0.527027027027027, 0.805, 0.3076923076923077, 0.5254237288135594]",B2,aptos2019,5,14645,733
0.6769720663033024,0.7542182736193196,0.20600272851296045,"[0.9806094182825484, 0.6216216216216216, 0.83, 0.41025641025641024, 0.5423728813559322]",B2,aptos2019,6,14645,733
0.6539629522005221,0.7331179038805292,0.2336065573770492,"[0.9806094182825484, 0.6081081081081081, 0.81, 0.4473684210526316, 0.423728813559322]",B2,aptos2019,7,14650,732
0.6690589813250971,0.7410908731094757,0.22540983606557377,"[0.9806094182825484, 0.6756756756756757, 0.78, 0.3157894736842105, 0.5932203389830508]",B2,aptos2019,8,14650,732
0.588779246732943,0.6924626027498221,0.27459016393442626,"[0.9722991689750693, 0.5135135135135135, 0.8040201005025126, 0.1794871794871795, 0.4745762711864407]",B2,aptos2019,9,14650,732
0.6370491685276887,0.7323235992168379,0.22373806275579808,"[0.9916897506925207, 0.581081081081081, 0.805, 0.28205128205128205, 0.5254237288135594]",B2,aptos2019,10,14645,733
0.6440437786488306,0.7189391473055783,0.24829467939972716,"[0.9750692520775623, 0.6891891891891891, 0.765, 0.3333333333333333, 0.4576271186440678]",B2,aptos2019,11,14645,733
0.6305140515415646,0.7299581249911451,0.24453551912568305,"[0.9833795013850416, 0.6216216216216216, 0.825, 0.3157894736842105, 0.4067796610169492]",B2,aptos2019,12,14650,732
0.637812072131289,0.7357030127848025,0.21994535519125682,"[0.9833795013850416, 0.5675675675675675, 0.825, 0.23684210526315788, 0.576271186440678]",B2,aptos2019,13,14650,732
0.6942684409300319,0.7589317381221761,0.20901639344262296,"[0.9889196675900277, 0.5540540540540541, 0.8140703517587939, 0.48717948717948717, 0.6271186440677966]",B2,aptos2019,14,14650,732
