bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6886837577627052,0.6641283759487757,0.5865384615384616,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",A0,oral_diseases,0,412,104
0.7911900964532543,0.7324847858921925,0.4368932038834951,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",A0,oral_diseases,1,413,103
0.7217190704032809,0.6810328400703991,0.5048543689320388,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",A0,oral_diseases,2,413,103
0.7454878454878455,0.6951100430423188,0.42718446601941745,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",A0,oral_diseases,3,413,103
0.770840562945826,0.7379402146367858,0.46601941747572817,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7894736842105263, 0.9230769230769231]",A0,oral_diseases,4,413,103
0.7423967845020477,0.7072933638379626,0.3942307692307692,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",A0,oral_diseases,5,412,104
0.7286426293005241,0.692715035204276,0.44660194174757284,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.6666666666666666]",A0,oral_diseases,6,413,103
0.7395192526771474,0.6937053621433955,0.4563106796116505,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.6842105263157895, 0.5833333333333334]",A0,oral_diseases,7,413,103
0.7984459984459985,0.7536762898250211,0.4563106796116505,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",A0,oral_diseases,8,413,103
0.7071476768845191,0.6584745187683466,0.46601941747572817,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.5263157894736842, 0.6153846153846154]",A0,oral_diseases,9,413,103
0.8059013355065987,0.7649295868595603,0.3269230769230769,"[0.9375, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.8461538461538461]",A0,oral_diseases,10,412,104
0.6732579554947976,0.6256643200336489,0.5533980582524272,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.45454545454545453, 0.5263157894736842, 0.5833333333333334]",A0,oral_diseases,11,413,103
0.743724842409053,0.6926737664137061,0.4368932038834951,"[0.875, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7272727272727273, 0.631578947368421, 0.75]",A0,oral_diseases,12,413,103
0.7233433233433233,0.6825697712960499,0.49514563106796117,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",A0,oral_diseases,13,413,103
0.7780918642760748,0.7273937778056959,0.42718446601941745,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.631578947368421, 0.7692307692307693]",A0,oral_diseases,14,413,103
0.6711051026214648,0.7514505306807671,0.21964529331514324,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,0,2929,733
0.6427510783418102,0.7039616475677131,0.2742155525238745,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",B0,aptos2019,1,2929,733
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",B0,aptos2019,2,2930,732
0.6579334418694952,0.7282364184219957,0.25,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]",B0,aptos2019,3,2930,732
0.6217396951613836,0.6958101207929825,0.2691256830601093,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",B0,aptos2019,4,2930,732
0.6216648776322939,0.7116133714718393,0.252387448840382,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",B0,aptos2019,5,2929,733
0.6681058110445875,0.7335939014819487,0.2291950886766712,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",B0,aptos2019,6,2929,733
0.6499067993294952,0.7215755642917921,0.2581967213114754,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",B0,aptos2019,7,2930,732
0.6385841893351165,0.7007058962560602,0.2677595628415301,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",B0,aptos2019,8,2930,732
0.5892626060102722,0.6777541897220332,0.2923497267759563,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",B0,aptos2019,9,2930,732
0.6643416500574583,0.7452201549704509,0.21145975443383355,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]",B0,aptos2019,10,2929,733
0.6237506041183678,0.7039971028144936,0.26193724420190995,"[0.9750692520775623, 0.6216216216216216, 0.765, 0.3333333333333333, 0.423728813559322]",B0,aptos2019,11,2929,733
0.6377742198276025,0.7209997845774234,0.24863387978142076,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]",B0,aptos2019,12,2930,732
0.668620569675267,0.7486921087462012,0.2226775956284153,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,13,2930,732
0.6603350055989561,0.7290015290539137,0.24316939890710382,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,14,2930,732
