bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6886837577627052,0.6641283759487757,0.5865384615384616,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",A0,oral_diseases,0,412,104
0.7911900964532543,0.7324847858921925,0.4368932038834951,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",A0,oral_diseases,1,413,103
0.7217190704032809,0.6810328400703991,0.5048543689320388,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",A0,oral_diseases,2,413,103
0.7454878454878455,0.6951100430423188,0.42718446601941745,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",A0,oral_diseases,3,413,103
0.770840562945826,0.7379402146367858,0.46601941747572817,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7894736842105263, 0.9230769230769231]",A0,oral_diseases,4,413,103
0.7423967845020477,0.7072933638379626,0.3942307692307692,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",A0,oral_diseases,5,412,104
0.7286426293005241,0.692715035204276,0.44660194174757284,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.6666666666666666]",A0,oral_diseases,6,413,103
0.7395192526771474,0.6937053621433955,0.4563106796116505,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.6842105263157895, 0.5833333333333334]",A0,oral_diseases,7,413,103
0.7984459984459985,0.7536762898250211,0.4563106796116505,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",A0,oral_diseases,8,413,103
0.7071476768845191,0.6584745187683466,0.46601941747572817,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.5263157894736842, 0.6153846153846154]",A0,oral_diseases,9,413,103
0.8059013355065987,0.7649295868595603,0.3269230769230769,"[0.9375, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.8461538461538461]",A0,oral_diseases,10,412,104
0.6732579554947976,0.6256643200336489,0.5533980582524272,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.45454545454545453, 0.5263157894736842, 0.5833333333333334]",A0,oral_diseases,11,413,103
0.743724842409053,0.6926737664137061,0.4368932038834951,"[0.875, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7272727272727273, 0.631578947368421, 0.75]",A0,oral_diseases,12,413,103
0.7233433233433233,0.6825697712960499,0.49514563106796117,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",A0,oral_diseases,13,413,103
0.7780918642760748,0.7273937778056959,0.42718446601941745,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.631578947368421, 0.7692307692307693]",A0,oral_diseases,14,413,103
0.7031429827482459,0.6753353477656967,0.4807692307692308,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.5384615384615384]",A1,oral_diseases,0,2060,104
0.7644945697577278,0.6963930755049195,0.4368932038834951,"[1.0, 0.9333333333333333, 0.75, 0.4444444444444444, 1.0, 0.47368421052631576, 0.75]",A1,oral_diseases,1,2065,103
0.6589485076327181,0.6241892002730716,0.5631067961165048,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.2727272727272727, 0.631578947368421, 0.5]",A1,oral_diseases,2,2065,103
0.7664113664113665,0.7183395154482595,0.3883495145631068,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5555555555555556, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",A1,oral_diseases,3,2065,103
0.7556294582610371,0.7153454559790136,0.4854368932038835,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.7, 0.7368421052631579, 0.7692307692307693]",A1,oral_diseases,4,2065,103
0.7718132744448534,0.7303517840057795,0.375,"[1.0, 0.9333333333333333, 0.75, 0.5, 0.6363636363636364, 0.7368421052631579, 0.8461538461538461]",A1,oral_diseases,5,2060,104
0.779066985645933,0.7618822168173102,0.36893203883495146,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.8333333333333334, 0.6363636363636364, 0.8421052631578947, 0.6666666666666666]",A1,oral_diseases,6,2065,103
0.6946960203539151,0.6468488122447701,0.5436893203883495,"[0.8125, 1.0, 0.5, 0.5555555555555556, 0.7272727272727273, 0.6842105263157895, 0.5833333333333334]",A1,oral_diseases,7,2065,103
0.7953934953934952,0.7509388298961804,0.5145631067961165,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.7222222222222222, 0.8181818181818182, 0.5555555555555556, 0.8461538461538461]",A1,oral_diseases,8,2065,103
0.7065452091767881,0.6596059416186915,0.5436893203883495,"[0.75, 1.0, 0.6666666666666666, 0.5, 0.6, 0.7368421052631579, 0.6923076923076923]",A1,oral_diseases,9,2065,103
0.7770413066465698,0.7314534310918418,0.36538461538461536,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.7272727272727273, 0.7894736842105263, 0.8461538461538461]",A1,oral_diseases,10,2060,104
0.6916894508999772,0.6584831209577181,0.5339805825242718,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.8333333333333334, 0.45454545454545453, 0.5789473684210527, 0.5]",A1,oral_diseases,11,2065,103
0.7538685729475203,0.7162935587254057,0.3786407766990291,"[0.9375, 1.0, 0.75, 0.4444444444444444, 0.6363636363636364, 0.8421052631578947, 0.6666666666666666]",A1,oral_diseases,12,2065,103
0.7251748251748252,0.6938879457484008,0.5436893203883495,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.7777777777777778, 0.5454545454545454, 0.7222222222222222, 0.46153846153846156]",A1,oral_diseases,13,2065,103
0.7546446243814665,0.7045460984863849,0.44660194174757284,"[0.875, 1.0, 0.6666666666666666, 0.7222222222222222, 0.8, 0.5263157894736842, 0.6923076923076923]",A1,oral_diseases,14,2065,103
0.6886837577627052,0.6641283759487757,0.5865384615384616,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",A2,oral_diseases,0,412,104
0.8041771094402673,0.744742085454948,0.4077669902912621,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 1.0, 0.47368421052631576, 0.8333333333333334]",A2,oral_diseases,1,413,103
0.7227111338953444,0.6814055602304473,0.47572815533980584,"[0.9375, 1.0, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",A2,oral_diseases,2,413,103
0.7454878454878455,0.6953496121069672,0.42718446601941745,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",A2,oral_diseases,3,413,103
0.7565548486601118,0.726830701474835,0.4854368932038835,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5, 0.7894736842105263, 0.9230769230769231]",A2,oral_diseases,4,413,103
0.7423967845020477,0.7072933638379626,0.3942307692307692,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",A2,oral_diseases,5,412,104
0.7286426293005241,0.692715035204276,0.44660194174757284,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.6666666666666666]",A2,oral_diseases,6,413,103
0.7395192526771474,0.6937053621433955,0.4563106796116505,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.6842105263157895, 0.5833333333333334]",A2,oral_diseases,7,413,103
0.7984459984459985,0.7533974192486541,0.4563106796116505,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",A2,oral_diseases,8,413,103
0.6992111689480112,0.6472477611964466,0.4854368932038835,"[0.875, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6, 0.5263157894736842, 0.6153846153846154]",A2,oral_diseases,9,413,103
0.8059013355065987,0.7653570833654408,0.3173076923076923,"[0.9375, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.8461538461538461]",A2,oral_diseases,10,412,104
0.6992319814688236,0.649845080105653,0.5533980582524272,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.5263157894736842, 0.5833333333333334]",A2,oral_diseases,11,413,103
0.7805213792055898,0.7276651949268081,0.3786407766990291,"[0.875, 1.0, 0.8333333333333334, 0.5555555555555556, 0.8181818181818182, 0.631578947368421, 0.75]",A2,oral_diseases,12,413,103
0.7233433233433233,0.6825697712960499,0.49514563106796117,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",A2,oral_diseases,13,413,103
0.7705730672835935,0.71624945028322,0.44660194174757284,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.5789473684210527, 0.7692307692307693]",A2,oral_diseases,14,413,103
0.6517998814051447,0.6192662684325462,0.5673076923076923,"[0.9375, 0.9333333333333333, 0.4166666666666667, 0.5555555555555556, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",A3,oral_diseases,0,2060,104
0.7922723475355055,0.7325599668251016,0.4174757281553398,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 1.0, 0.47368421052631576, 0.75]",A3,oral_diseases,1,2065,103
0.6802897395002657,0.635115643187056,0.5922330097087378,"[0.875, 1.0, 0.75, 0.6111111111111112, 0.36363636363636365, 0.5789473684210527, 0.5833333333333334]",A3,oral_diseases,2,2065,103
0.7543678543678544,0.7067594605832708,0.4174757281553398,"[0.8666666666666667, 0.9333333333333333, 0.46153846153846156, 0.6111111111111112, 0.8181818181818182, 0.6666666666666666, 0.9230769230769231]",A3,oral_diseases,3,2065,103
0.728050093181672,0.6935354113326994,0.4854368932038835,"[0.8125, 1.0, 0.6666666666666666, 0.6111111111111112, 0.5, 0.7368421052631579, 0.7692307692307693]",A3,oral_diseases,4,2065,103
0.7195614327193275,0.6741314542638398,0.47115384615384615,"[1.0, 0.9333333333333333, 0.5833333333333334, 0.4444444444444444, 0.5454545454545454, 0.6842105263157895, 0.8461538461538461]",A3,oral_diseases,5,2060,104
0.7452703729019517,0.71607524383212,0.46601941747572817,"[0.875, 0.9333333333333333, 0.5833333333333334, 0.7777777777777778, 0.7272727272727273, 0.7368421052631579, 0.5833333333333334]",A3,oral_diseases,6,2065,103
0.6755790992633097,0.6250970058037253,0.5242718446601942,"[0.75, 0.9333333333333333, 0.5833333333333334, 0.6111111111111112, 0.6363636363636364, 0.631578947368421, 0.5833333333333334]",A3,oral_diseases,7,2065,103
0.7604728604728604,0.7060327764375526,0.5048543689320388,"[0.8, 1.0, 0.7692307692307693, 0.6111111111111112, 0.8181818181818182, 0.5555555555555556, 0.7692307692307693]",A3,oral_diseases,8,2065,103
0.7284123770965876,0.6741356840690107,0.46601941747572817,"[0.875, 1.0, 0.5, 0.5, 0.9, 0.631578947368421, 0.6923076923076923]",A3,oral_diseases,9,2065,103
0.7769649940702573,0.7322329708956974,0.4230769230769231,"[0.875, 1.0, 0.8333333333333334, 0.4444444444444444, 0.7272727272727273, 0.7894736842105263, 0.7692307692307693]",A3,oral_diseases,10,2060,104
0.6805394167236273,0.637177761090741,0.5728155339805825,"[0.8125, 0.9333333333333333, 0.5833333333333334, 0.6666666666666666, 0.6363636363636364, 0.631578947368421, 0.5]",A3,oral_diseases,11,2065,103
0.792165071770335,0.7501385578151366,0.3592233009708738,"[0.9375, 1.0, 0.8333333333333334, 0.5, 0.8181818181818182, 0.7894736842105263, 0.6666666666666666]",A3,oral_diseases,12,2065,103
0.7031968031968032,0.6716388872665081,0.5533980582524272,"[0.8666666666666667, 0.9333333333333333, 0.6153846153846154, 0.7777777777777778, 0.5454545454545454, 0.7222222222222222, 0.46153846153846156]",A3,oral_diseases,13,2065,103
0.8108299595141701,0.7619113705504567,0.36893203883495146,"[0.875, 1.0, 0.8333333333333334, 0.6666666666666666, 0.9, 0.631578947368421, 0.7692307692307693]",A3,oral_diseases,14,2065,103
0.6866956143271932,0.6524460577103888,0.5288461538461539,"[0.875, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7368421052631579, 0.5384615384615384]",A4,oral_diseases,0,2060,104
0.7688805346700083,0.6982844536406531,0.4368932038834951,"[1.0, 0.9333333333333333, 0.75, 0.4444444444444444, 1.0, 0.42105263157894735, 0.8333333333333334]",A4,oral_diseases,1,2065,103
0.6679672666514771,0.6241121834469446,0.5631067961165048,"[0.875, 1.0, 0.75, 0.5555555555555556, 0.36363636363636365, 0.631578947368421, 0.5]",A4,oral_diseases,2,2065,103
0.7584748584748586,0.7077399775627641,0.39805825242718446,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",A4,oral_diseases,3,2065,103
0.763565966197545,0.7266188163014323,0.46601941747572817,"[0.75, 1.0, 0.6666666666666666, 0.7222222222222222, 0.7, 0.7368421052631579, 0.7692307692307693]",A4,oral_diseases,4,2065,103
0.7718132744448534,0.7303517840057795,0.375,"[1.0, 0.9333333333333333, 0.75, 0.5, 0.6363636363636364, 0.7368421052631579, 0.8461538461538461]",A4,oral_diseases,5,2060,104
0.7671622237411712,0.750475090623663,0.3786407766990291,"[0.875, 0.9333333333333333, 0.5833333333333334, 0.8333333333333334, 0.6363636363636364, 0.8421052631578947, 0.6666666666666666]",A4,oral_diseases,6,2065,103
0.6796584263689526,0.6250282629167967,0.5145631067961165,"[0.8125, 1.0, 0.5, 0.5555555555555556, 0.7272727272727273, 0.5789473684210527, 0.5833333333333334]",A4,oral_diseases,7,2065,103
0.7953934953934952,0.7514626816927031,0.49514563106796117,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.7222222222222222, 0.8181818181818182, 0.5555555555555556, 0.8461538461538461]",A4,oral_diseases,8,2065,103
0.6990264121843069,0.6486157253599114,0.5436893203883495,"[0.75, 1.0, 0.6666666666666666, 0.5, 0.6, 0.6842105263157895, 0.6923076923076923]",A4,oral_diseases,9,2065,103
0.7640542936595568,0.7202690972222222,0.38461538461538464,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.6363636363636364, 0.7894736842105263, 0.8461538461538461]",A4,oral_diseases,10,2060,104
0.6916894508999772,0.659414857556975,0.5533980582524272,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.8333333333333334, 0.45454545454545453, 0.5789473684210527, 0.5]",A4,oral_diseases,11,2065,103
0.7538685729475203,0.7162935587254057,0.3786407766990291,"[0.9375, 1.0, 0.75, 0.4444444444444444, 0.6363636363636364, 0.8421052631578947, 0.6666666666666666]",A4,oral_diseases,12,2065,103
0.7013653013653014,0.6598711148798909,0.5728155339805825,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.7222222222222222, 0.5454545454545454, 0.6111111111111112, 0.46153846153846156]",A4,oral_diseases,13,2065,103
0.7471258273889854,0.6941531355729307,0.46601941747572817,"[0.875, 1.0, 0.6666666666666666, 0.7222222222222222, 0.8, 0.47368421052631576, 0.6923076923076923]",A4,oral_diseases,14,2065,103
