dataset,fold,mode,label,recall
oral_diseases,0,lora,0,0.7857142857142857
oral_diseases,0,lora,1,0.9285714285714286
oral_diseases,0,lora,2,0.8
oral_diseases,0,lora,3,0.65
oral_diseases,0,lora,4,0.4444444444444444
oral_diseases,0,lora,5,0.9090909090909091
oral_diseases,0,lora,6,1.0
oral_diseases,0,last2,0,0.7857142857142857
oral_diseases,0,last2,1,0.9285714285714286
oral_diseases,0,last2,2,0.8666666666666667
oral_diseases,0,last2,3,0.7
oral_diseases,0,last2,4,0.5555555555555556
oral_diseases,0,last2,5,0.8181818181818182
oral_diseases,0,last2,6,1.0
oral_diseases,0,full,0,0.9285714285714286
oral_diseases,0,full,1,1.0
oral_diseases,0,full,2,0.9333333333333333
oral_diseases,0,full,3,0.6
oral_diseases,0,full,4,0.7777777777777778
oral_diseases,0,full,5,0.8181818181818182
oral_diseases,0,full,6,1.0
oral_diseases,0,lora_anchor_all,0,0.7857142857142857
oral_diseases,0,lora_anchor_all,1,0.9285714285714286
oral_diseases,0,lora_anchor_all,2,0.8666666666666667
oral_diseases,0,lora_anchor_all,3,0.65
oral_diseases,0,lora_anchor_all,4,0.4444444444444444
oral_diseases,0,lora_anchor_all,5,0.9090909090909091
oral_diseases,0,lora_anchor_all,6,1.0
oral_diseases,0,lora_anchor_oof,0,0.8571428571428571
oral_diseases,0,lora_anchor_oof,1,0.9285714285714286
oral_diseases,0,lora_anchor_oof,2,0.8666666666666667
oral_diseases,0,lora_anchor_oof,3,0.55
oral_diseases,0,lora_anchor_oof,4,0.4444444444444444
oral_diseases,0,lora_anchor_oof,5,0.9090909090909091
oral_diseases,0,lora_anchor_oof,6,1.0
oral_diseases,0,selected_training,0,0.9285714285714286
oral_diseases,0,selected_training,1,1.0
oral_diseases,0,selected_training,2,0.9333333333333333
oral_diseases,0,selected_training,3,0.6
oral_diseases,0,selected_training,4,0.7777777777777778
oral_diseases,0,selected_training,5,0.8181818181818182
oral_diseases,0,selected_training,6,1.0
oral_diseases,1,lora,0,0.9166666666666666
oral_diseases,1,lora,1,0.9411764705882353
oral_diseases,1,lora,2,0.4444444444444444
oral_diseases,1,lora,3,0.5454545454545454
oral_diseases,1,lora,4,0.8571428571428571
oral_diseases,1,lora,5,0.6
oral_diseases,1,lora,6,0.7
oral_diseases,1,last2,0,0.9166666666666666
oral_diseases,1,last2,1,0.7647058823529411
oral_diseases,1,last2,2,0.6666666666666666
oral_diseases,1,last2,3,0.6363636363636364
oral_diseases,1,last2,4,0.5714285714285714
oral_diseases,1,last2,5,0.44
oral_diseases,1,last2,6,0.6
oral_diseases,1,full,0,1.0
oral_diseases,1,full,1,0.8823529411764706
oral_diseases,1,full,2,0.5555555555555556
oral_diseases,1,full,3,0.45454545454545453
oral_diseases,1,full,4,0.35714285714285715
oral_diseases,1,full,5,0.72
oral_diseases,1,full,6,0.6
oral_diseases,1,lora_anchor_all,0,0.9166666666666666
oral_diseases,1,lora_anchor_all,1,0.9411764705882353
oral_diseases,1,lora_anchor_all,2,0.4444444444444444
oral_diseases,1,lora_anchor_all,3,0.5454545454545454
oral_diseases,1,lora_anchor_all,4,0.8571428571428571
oral_diseases,1,lora_anchor_all,5,0.6
oral_diseases,1,lora_anchor_all,6,0.7
oral_diseases,1,lora_anchor_oof,0,0.9166666666666666
oral_diseases,1,lora_anchor_oof,1,0.9411764705882353
oral_diseases,1,lora_anchor_oof,2,0.4444444444444444
oral_diseases,1,lora_anchor_oof,3,0.5454545454545454
oral_diseases,1,lora_anchor_oof,4,0.8571428571428571
oral_diseases,1,lora_anchor_oof,5,0.6
oral_diseases,1,lora_anchor_oof,6,0.7
oral_diseases,1,selected_training,0,1.0
oral_diseases,1,selected_training,1,0.8823529411764706
oral_diseases,1,selected_training,2,0.5555555555555556
oral_diseases,1,selected_training,3,0.45454545454545453
oral_diseases,1,selected_training,4,0.35714285714285715
oral_diseases,1,selected_training,5,0.72
oral_diseases,1,selected_training,6,0.6
oral_diseases,2,lora,0,0.875
oral_diseases,2,lora,1,1.0
oral_diseases,2,lora,2,0.75
oral_diseases,2,lora,3,0.6666666666666666
oral_diseases,2,lora,4,0.6923076923076923
oral_diseases,2,lora,5,0.7333333333333333
oral_diseases,2,lora,6,0.5714285714285714
oral_diseases,2,last2,0,0.875
oral_diseases,2,last2,1,1.0
oral_diseases,2,last2,2,0.75
oral_diseases,2,last2,3,0.75
oral_diseases,2,last2,4,0.6153846153846154
oral_diseases,2,last2,5,0.7333333333333333
oral_diseases,2,last2,6,0.5714285714285714
oral_diseases,2,full,0,0.875
oral_diseases,2,full,1,1.0
oral_diseases,2,full,2,0.75
oral_diseases,2,full,3,0.6666666666666666
oral_diseases,2,full,4,0.6923076923076923
oral_diseases,2,full,5,0.7333333333333333
oral_diseases,2,full,6,0.5
oral_diseases,2,lora_anchor_all,0,0.875
oral_diseases,2,lora_anchor_all,1,1.0
oral_diseases,2,lora_anchor_all,2,0.75
oral_diseases,2,lora_anchor_all,3,0.6666666666666666
oral_diseases,2,lora_anchor_all,4,0.6923076923076923
oral_diseases,2,lora_anchor_all,5,0.7333333333333333
oral_diseases,2,lora_anchor_all,6,0.5714285714285714
oral_diseases,2,lora_anchor_oof,0,0.875
oral_diseases,2,lora_anchor_oof,1,1.0
oral_diseases,2,lora_anchor_oof,2,0.75
oral_diseases,2,lora_anchor_oof,3,0.6666666666666666
oral_diseases,2,lora_anchor_oof,4,0.6923076923076923
oral_diseases,2,lora_anchor_oof,5,0.7333333333333333
oral_diseases,2,lora_anchor_oof,6,0.5714285714285714
