dataset,mode,count,mean,std
aptos2019,full,15,0.6697487051062191,0.03321086916477623
aptos2019,last2,15,0.6760539973772447,0.028984227042728627
aptos2019,lora,15,0.6892455257833435,0.018783620410647215
aptos2019,lora_anchor_all,15,0.6885443333466441,0.022278692614800207
aptos2019,lora_anchor_oof,15,0.6906214431636649,0.018424466868537027
aptos2019,selected_training,15,0.6879345782347647,0.025139608357252936
oral_diseases,full,15,0.7571539322525901,0.05542547154710235
oral_diseases,last2,15,0.7322473882545608,0.05913473988782765
oral_diseases,lora,15,0.7542581933656968,0.04691676826041678
oral_diseases,lora_anchor_all,15,0.7455935497386471,0.0506253125469358
oral_diseases,lora_anchor_oof,15,0.747569742702235,0.05123430904335579
oral_diseases,selected_training,15,0.7533348472761199,0.06107719102114977
