dataset,floor,m,n_folds,df,nb_ratio,alpha_family,alpha_holm,t_crit,se_max,sd_max,se_over_sd,mde_post_at_sd_max,ci_halfwidth_at_sd_max,condition
aptos2019,0.019,1,15,14,0.25,0.05,0.05,2.144786687917804,0.008858689820779114,0.01574230492126321,0.5627314338711378,0.026689828057261365,0.019000000000000003,necessary
aptos2019,0.019,2,15,14,0.25,0.05,0.025,2.509569411493326,0.007571019917992226,0.01345405545574329,0.5627314338711378,0.022810282775149893,0.01623822273407027,necessary_not_sufficient
aptos2019,0.019,3,15,14,0.25,0.05,0.016666666666666666,2.7177551594597733,0.0069910639057628576,0.012423446576762176,0.5627314338711378,0.021062967251033772,0.014994340799462824,necessary_not_sufficient
aptos2019,0.019,4,15,14,0.25,0.05,0.0125,2.8639940282799636,0.006634092045021085,0.011789090933456285,0.5627314338711378,0.019987467625555227,0.014228712304582624,necessary_not_sufficient
aptos2019,0.019,5,15,14,0.25,0.05,0.01,2.9768427343708344,0.0063826011971088266,0.011342179968873758,0.5627314338711378,0.019229765569771688,0.01368931808184725,necessary_not_sufficient
aptos2019,0.019,6,15,14,0.25,0.05,0.008333333333333333,3.0687792454760574,0.006191387024012718,0.011002383466338419,0.5627314338711378,0.018653667579516316,0.013279204468849505,necessary_not_sufficient
aptos2019,0.019,7,15,14,0.25,0.05,0.0071428571428571435,3.1463795037112914,0.006038686680226805,0.010731027834513381,0.5627314338711378,0.018193605651354996,0.012951694804257008,necessary_not_sufficient
aptos2019,0.019,8,15,14,0.25,0.05,0.00625,3.2135357009129812,0.005912490716876743,0.01050677172270897,0.5627314338711378,0.017813397219693553,0.012681031381994832,necessary_not_sufficient
oral_diseases,0.032,1,15,14,0.25,0.05,0.05,2.144786687917804,0.01491989864552272,0.026513355656864353,0.5627314338711378,0.04495128935959809,0.032,necessary
oral_diseases,0.032,2,15,14,0.25,0.05,0.025,2.509569411493326,0.012751191440829012,0.022659461820199227,0.5627314338711378,0.03841731835814719,0.02734858565738151,necessary_not_sufficient
oral_diseases,0.032,3,15,14,0.25,0.05,0.016666666666666666,2.7177551594597733,0.011774423420232182,0.020923699497704718,0.5627314338711378,0.03547447115963583,0.0252536266096216,necessary_not_sufficient
oral_diseases,0.032,4,15,14,0.25,0.05,0.0125,2.8639940282799636,0.011173207654772354,0.01985531104582111,0.5627314338711378,0.03366310336935617,0.02396414703929705,necessary_not_sufficient
oral_diseases,0.032,5,15,14,0.25,0.05,0.01,2.9768427343708344,0.010749644121446446,0.01910261889494528,0.5627314338711378,0.032386973591194426,0.023055693611532216,necessary_not_sufficient
oral_diseases,0.032,6,15,14,0.25,0.05,0.008333333333333333,3.0687792454760574,0.010427599198337209,0.01853033004856997,0.5627314338711378,0.03141670329181696,0.02236497594753601,necessary_not_sufficient
oral_diseases,0.032,7,15,14,0.25,0.05,0.0071428571428571435,3.1463795037112914,0.010170419671960935,0.018073310037075168,0.5627314338711378,0.03064186214965052,0.021813380722959172,necessary_not_sufficient
oral_diseases,0.032,8,15,14,0.25,0.05,0.00625,3.2135357009129812,0.0099578791021082,0.01769561553298353,0.5627314338711378,0.030001511106852303,0.021357526538096562,necessary_not_sufficient
