fold,bacc_arm,bacc_frozen,delta
0,0.7001112573125294,0.6768250100144693,0.02328624729806017
1,0.7606660974769764,0.6955674518470979,0.06509864562987855
2,0.7152491906480071,0.6828365284570863,0.03241266219092076
3,0.7271495798611128,0.6963652334479491,0.030784346413163743
4,0.6948415870259301,0.6620389012440555,0.03280268578187462
5,0.7344744521015707,0.6972595765816105,0.03721487551996017
6,0.7471438033407474,0.6922911622402285,0.054852641100518906
7,0.6949049948970615,0.6909150591357593,0.0039899357613021325
8,0.7450591277995043,0.6777761514758115,0.06728297632369284
9,0.6969038325394525,0.6825152372208718,0.014388595318580721
10,0.6983442312826467,0.6250047401422949,0.07333949114035176
11,0.7040630719841202,0.6717448273183942,0.03231824466572597
12,0.7110707070707072,0.6853821353065539,0.02568857176415329
13,0.7193033053932034,0.7149998789653068,0.004303426427896606
14,0.7407944537252941,0.7006955007487478,0.04009895297654631
