dataset,fold,arm,label,recall
aptos2019,0,full_llrd,0,0.9916897506925207
aptos2019,0,full_llrd,1,0.7012987012987013
aptos2019,0,full_llrd,2,0.5700483091787439
aptos2019,0,full_llrd,3,0.5806451612903226
aptos2019,0,full_llrd,4,0.8032786885245902
aptos2019,0,full_llrd_ema,0,0.9833795013850416
aptos2019,0,full_llrd_ema,1,0.8181818181818182
aptos2019,0,full_llrd_ema,2,0.7294685990338164
aptos2019,0,full_llrd_ema,3,0.5161290322580645
aptos2019,0,full_llrd_ema,4,0.6557377049180327
aptos2019,0,selected_surgical,0,0.9916897506925207
aptos2019,0,selected_surgical,1,0.7012987012987013
aptos2019,0,selected_surgical,2,0.5700483091787439
aptos2019,0,selected_surgical,3,0.5806451612903226
aptos2019,0,selected_surgical,4,0.8032786885245902
aptos2019,1,full_llrd,0,0.9696969696969697
aptos2019,1,full_llrd,1,0.4482758620689655
aptos2019,1,full_llrd,2,0.8640776699029126
aptos2019,1,full_llrd,3,0.6666666666666666
aptos2019,1,full_llrd,4,0.36764705882352944
aptos2019,1,full_llrd_ema,0,0.9724517906336089
aptos2019,1,full_llrd_ema,1,0.8793103448275862
aptos2019,1,full_llrd_ema,2,0.7815533980582524
aptos2019,1,full_llrd_ema,3,0.5
aptos2019,1,full_llrd_ema,4,0.5735294117647058
aptos2019,1,selected_surgical,0,0.9696969696969697
aptos2019,1,selected_surgical,1,0.4482758620689655
aptos2019,1,selected_surgical,2,0.8640776699029126
aptos2019,1,selected_surgical,3,0.6666666666666666
aptos2019,1,selected_surgical,4,0.36764705882352944
aptos2019,2,full_llrd,0,0.9740634005763689
aptos2019,2,full_llrd,1,0.775
aptos2019,2,full_llrd,2,0.8093023255813954
aptos2019,2,full_llrd,3,0.1951219512195122
aptos2019,2,full_llrd,4,0.46153846153846156
aptos2019,2,full_llrd_ema,0,0.9827089337175793
aptos2019,2,full_llrd_ema,1,0.875
aptos2019,2,full_llrd_ema,2,0.6325581395348837
aptos2019,2,full_llrd_ema,3,0.5365853658536586
aptos2019,2,full_llrd_ema,4,0.6153846153846154
aptos2019,2,selected_surgical,0,0.9740634005763689
aptos2019,2,selected_surgical,1,0.775
aptos2019,2,selected_surgical,2,0.8093023255813954
aptos2019,2,selected_surgical,3,0.1951219512195122
aptos2019,2,selected_surgical,4,0.46153846153846156
aptos2019,3,full_llrd,0,0.9866310160427807
aptos2019,3,full_llrd,1,0.3
aptos2019,3,full_llrd,2,0.7388888888888889
aptos2019,3,full_llrd,3,0.43243243243243246
aptos2019,3,full_llrd,4,0.6727272727272727
aptos2019,3,full_llrd_ema,0,0.9786096256684492
aptos2019,3,full_llrd_ema,1,0.65
aptos2019,3,full_llrd_ema,2,0.7333333333333333
aptos2019,3,full_llrd_ema,3,0.43243243243243246
aptos2019,3,full_llrd_ema,4,0.4909090909090909
aptos2019,3,selected_surgical,0,0.9866310160427807
aptos2019,3,selected_surgical,1,0.3
aptos2019,3,selected_surgical,2,0.7388888888888889
aptos2019,3,selected_surgical,3,0.43243243243243246
aptos2019,3,selected_surgical,4,0.6727272727272727
aptos2019,4,full_llrd,0,0.9722222222222222
aptos2019,4,full_llrd,1,0.7066666666666667
aptos2019,4,full_llrd,2,0.7277486910994765
aptos2019,4,full_llrd,3,0.7142857142857143
aptos2019,4,full_llrd,4,0.2033898305084746
aptos2019,4,full_llrd_ema,0,0.9805555555555555
aptos2019,4,full_llrd_ema,1,0.68
aptos2019,4,full_llrd_ema,2,0.7172774869109948
aptos2019,4,full_llrd_ema,3,0.6666666666666666
aptos2019,4,full_llrd_ema,4,0.4406779661016949
aptos2019,4,selected_surgical,0,0.9722222222222222
aptos2019,4,selected_surgical,1,0.7066666666666667
aptos2019,4,selected_surgical,2,0.7277486910994765
aptos2019,4,selected_surgical,3,0.7142857142857143
aptos2019,4,selected_surgical,4,0.2033898305084746
aptos2019,5,full_llrd,0,0.9861495844875346
aptos2019,5,full_llrd,1,0.7674418604651163
aptos2019,5,full_llrd,2,0.68
aptos2019,5,full_llrd,3,0.4857142857142857
aptos2019,5,full_llrd,4,0.5806451612903226
aptos2019,5,full_llrd_ema,0,0.9833795013850416
aptos2019,5,full_llrd_ema,1,0.7790697674418605
aptos2019,5,full_llrd_ema,2,0.645
aptos2019,5,full_llrd_ema,3,0.6
aptos2019,5,full_llrd_ema,4,0.6451612903225806
aptos2019,5,selected_surgical,0,0.9861495844875346
aptos2019,5,selected_surgical,1,0.7674418604651163
aptos2019,5,selected_surgical,2,0.68
aptos2019,5,selected_surgical,3,0.4857142857142857
aptos2019,5,selected_surgical,4,0.5806451612903226
aptos2019,6,full_llrd,0,0.9666666666666667
aptos2019,6,full_llrd,1,0.7777777777777778
aptos2019,6,full_llrd,2,0.7512437810945274
aptos2019,6,full_llrd,3,0.3181818181818182
aptos2019,6,full_llrd,4,0.5873015873015873
aptos2019,6,full_llrd_ema,0,0.9722222222222222
aptos2019,6,full_llrd_ema,1,0.7142857142857143
aptos2019,6,full_llrd_ema,2,0.681592039800995
aptos2019,6,full_llrd_ema,3,0.4772727272727273
aptos2019,6,full_llrd_ema,4,0.5079365079365079
aptos2019,6,selected_surgical,0,0.9666666666666667
aptos2019,6,selected_surgical,1,0.7777777777777778
aptos2019,6,selected_surgical,2,0.7512437810945274
aptos2019,6,selected_surgical,3,0.3181818181818182
aptos2019,6,selected_surgical,4,0.5873015873015873
aptos2019,7,full_llrd,0,0.9801136363636364
aptos2019,7,full_llrd,1,0.7560975609756098
aptos2019,7,full_llrd,2,0.751219512195122
aptos2019,7,full_llrd,3,0.5588235294117647
aptos2019,7,full_llrd,4,0.4576271186440678
aptos2019,7,full_llrd_ema,0,0.9914772727272727
aptos2019,7,full_llrd_ema,1,0.8658536585365854
aptos2019,7,full_llrd_ema,2,0.697560975609756
aptos2019,7,full_llrd_ema,3,0.7058823529411765
aptos2019,7,full_llrd_ema,4,0.576271186440678
aptos2019,7,selected_surgical,0,0.9801136363636364
aptos2019,7,selected_surgical,1,0.7560975609756098
aptos2019,7,selected_surgical,2,0.751219512195122
aptos2019,7,selected_surgical,3,0.5588235294117647
aptos2019,7,selected_surgical,4,0.4576271186440678
aptos2019,8,full_llrd,0,0.9723756906077348
aptos2019,8,full_llrd,1,0.8205128205128205
aptos2019,8,full_llrd,2,0.6294416243654822
aptos2019,8,full_llrd,3,0.48717948717948717
aptos2019,8,full_llrd,4,0.6111111111111112
aptos2019,8,full_llrd_ema,0,0.9751381215469613
aptos2019,8,full_llrd_ema,1,0.7564102564102564
aptos2019,8,full_llrd_ema,2,0.700507614213198
aptos2019,8,full_llrd_ema,3,0.5384615384615384
aptos2019,8,full_llrd_ema,4,0.5555555555555556
aptos2019,8,selected_surgical,0,0.9723756906077348
aptos2019,8,selected_surgical,1,0.8205128205128205
aptos2019,8,selected_surgical,2,0.6294416243654822
