dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,0,full_llrd,frozen_lr,0.1723202170963365,0.1451831750339213,0.025969970470375737
aptos2019,0,full_llrd_ema,frozen_lr,0.10719131614654002,0.08276797829036635,0.02084385051481953
aptos2019,0,selected_surgical,frozen_lr,0.1723202170963365,0.1451831750339213,0.025969970470375737
aptos2019,1,full_llrd,frozen_lr,0.16689280868385345,0.15061058344640435,0.022886374861279004
aptos2019,1,full_llrd_ema,frozen_lr,0.10040705563093623,0.08276797829036635,0.017553605640622753
aptos2019,1,selected_surgical,frozen_lr,0.16689280868385345,0.15061058344640435,0.022886374861279004
aptos2019,2,full_llrd,frozen_lr,0.16326530612244897,0.13877551020408163,0.02293695416053816
aptos2019,2,full_llrd_ema,frozen_lr,0.09115646258503401,0.07210884353741497,0.016992482667213846
aptos2019,2,selected_surgical,frozen_lr,0.16326530612244897,0.13877551020408163,0.02293695416053816
aptos2019,3,full_llrd,frozen_lr,0.1487603305785124,0.12534435261707988,0.021817414110234756
aptos2019,3,full_llrd_ema,frozen_lr,0.081267217630854,0.06473829201101929,0.016335036708559972
aptos2019,3,selected_surgical,frozen_lr,0.1487603305785124,0.12534435261707988,0.021817414110234756
aptos2019,4,full_llrd,frozen_lr,0.08390646492434663,0.07152682255845942,0.015063720738063027
aptos2019,4,full_llrd_ema,frozen_lr,0.07840440165061899,0.06740027510316368,0.017025846264760197
aptos2019,4,selected_surgical,frozen_lr,0.08390646492434663,0.07152682255845942,0.015063720738063027
aptos2019,5,full_llrd,frozen_lr,0.1532258064516129,0.13172043010752688,0.023010439457995774
aptos2019,5,full_llrd_ema,frozen_lr,0.12634408602150538,0.10080645161290322,0.019881429281468375
aptos2019,5,selected_surgical,frozen_lr,0.1532258064516129,0.13172043010752688,0.023010439457995774
aptos2019,6,full_llrd,frozen_lr,0.15868673050615595,0.13679890560875513,0.024525691342534975
aptos2019,6,full_llrd_ema,frozen_lr,0.10259917920656635,0.08481532147742818,0.018773037288060537
aptos2019,6,selected_surgical,frozen_lr,0.15868673050615595,0.13679890560875513,0.024525691342534975
aptos2019,7,full_llrd,frozen_lr,0.10382513661202186,0.09016393442622951,0.018125089032432352
aptos2019,7,full_llrd_ema,frozen_lr,0.09289617486338798,0.08196721311475409,0.01740098059859939
aptos2019,7,selected_surgical,frozen_lr,0.10382513661202186,0.09016393442622951,0.018125089032432352
aptos2019,8,full_llrd,frozen_lr,0.17123287671232876,0.14931506849315068,0.025535390146287987
aptos2019,8,full_llrd_ema,frozen_lr,0.11095890410958904,0.09315068493150686,0.02122154419077403
aptos2019,8,selected_surgical,frozen_lr,0.17123287671232876,0.14931506849315068,0.025535390146287987
aptos2019,9,full_llrd,frozen_lr,0.13655172413793104,0.12,0.02510115965723267
aptos2019,9,full_llrd_ema,frozen_lr,0.08,0.06896551724137931,0.019398683776792807
aptos2019,9,selected_surgical,frozen_lr,0.13655172413793104,0.12,0.02510115965723267
aptos2019,10,full_llrd,frozen_lr,0.14673913043478262,0.12228260869565218,0.025108954266038475
aptos2019,10,full_llrd_ema,frozen_lr,0.10461956521739131,0.08288043478260869,0.019348495428355955
aptos2019,10,selected_surgical,frozen_lr,0.14673913043478262,0.12228260869565218,0.025108954266038475
aptos2019,11,full_llrd,frozen_lr,0.0,0.0,0.0
aptos2019,11,full_llrd_ema,frozen_lr,0.13261163734776726,0.10960757780784844,0.02109572252260027
aptos2019,11,selected_surgical,frozen_lr,0.0,0.0,0.0
aptos2019,12,full_llrd,frozen_lr,0.2106703146374829,0.16963064295485636,0.028325817707422367
aptos2019,12,full_llrd_ema,frozen_lr,0.15047879616963064,0.11627906976744186,0.023393961672372836
aptos2019,12,selected_surgical,frozen_lr,0.2106703146374829,0.16963064295485636,0.028325817707422367
aptos2019,13,full_llrd,frozen_lr,0.0,0.0,0.0
aptos2019,13,full_llrd_ema,frozen_lr,0.1155433287482806,0.09903713892709766,0.018217060816033366
aptos2019,13,selected_surgical,frozen_lr,0.0,0.0,0.0
aptos2019,14,full_llrd,frozen_lr,0.10699588477366255,0.09602194787379972,0.022535574462379828
aptos2019,14,full_llrd_ema,frozen_lr,0.08093278463648834,0.0644718792866941,0.018336381735165674
aptos2019,14,selected_surgical,frozen_lr,0.10699588477366255,0.09602194787379972,0.022535574462379828
