dataset,fold,arm,label,recall
aptos2019,0,emb,0,0.9731182795698925
aptos2019,0,emb,1,0.5774647887323944
aptos2019,0,emb,2,0.6818181818181818
aptos2019,0,emb,3,0.6363636363636364
aptos2019,0,emb,4,0.6428571428571429
aptos2019,0,emb_ema,0,0.9704301075268817
aptos2019,0,emb_ema,1,0.6619718309859155
aptos2019,0,emb_ema,2,0.6919191919191919
aptos2019,0,emb_ema,3,0.5757575757575758
aptos2019,0,emb_ema,4,0.5535714285714286
aptos2019,0,first2,0,0.9731182795698925
aptos2019,0,first2,1,0.6619718309859155
aptos2019,0,first2,2,0.6767676767676768
aptos2019,0,first2,3,0.3939393939393939
aptos2019,0,first2,4,0.5892857142857143
aptos2019,0,first2_ema,0,0.967741935483871
aptos2019,0,first2_ema,1,0.7464788732394366
aptos2019,0,first2_ema,2,0.7121212121212122
aptos2019,0,first2_ema,3,0.5151515151515151
aptos2019,0,first2_ema,4,0.6071428571428571
aptos2019,0,full_llrd,0,0.9811827956989247
aptos2019,0,full_llrd,1,0.8309859154929577
aptos2019,0,full_llrd,2,0.6161616161616161
aptos2019,0,full_llrd,3,0.5454545454545454
aptos2019,0,full_llrd,4,0.5357142857142857
aptos2019,0,full_llrd_ema,0,0.978494623655914
aptos2019,0,full_llrd_ema,1,0.7183098591549296
aptos2019,0,full_llrd_ema,2,0.7171717171717171
aptos2019,0,full_llrd_ema,3,0.5151515151515151
aptos2019,0,full_llrd_ema,4,0.5714285714285714
aptos2019,0,selected_surgical,0,0.9811827956989247
aptos2019,0,selected_surgical,1,0.8309859154929577
aptos2019,0,selected_surgical,2,0.6161616161616161
aptos2019,0,selected_surgical,3,0.5454545454545454
aptos2019,0,selected_surgical,4,0.5357142857142857
aptos2019,1,emb,0,0.9757412398921833
aptos2019,1,emb,1,0.7571428571428571
aptos2019,1,emb,2,0.5631067961165048
aptos2019,1,emb,3,0.5882352941176471
aptos2019,1,emb,4,0.5818181818181818
aptos2019,1,emb_ema,0,0.9703504043126685
aptos2019,1,emb_ema,1,0.7714285714285715
aptos2019,1,emb_ema,2,0.5825242718446602
aptos2019,1,emb_ema,3,0.5588235294117647
aptos2019,1,emb_ema,4,0.6
aptos2019,1,first2,0,0.9730458221024259
aptos2019,1,first2,1,0.7285714285714285
aptos2019,1,first2,2,0.6019417475728155
aptos2019,1,first2,3,0.5882352941176471
aptos2019,1,first2,4,0.5818181818181818
aptos2019,1,first2_ema,0,0.9757412398921833
aptos2019,1,first2_ema,1,0.7428571428571429
aptos2019,1,first2_ema,2,0.5485436893203883
