dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,0,emb,frozen_lr,0.08356164383561644,0.06438356164383562,0.01685858465510334
aptos2019,0,emb,last2,0.13013698630136986,0.10410958904109589,0.022639560331763356
aptos2019,0,emb,full,0.16712328767123288,0.13561643835616438,0.026438656279621296
aptos2019,0,emb,selected_training,0.14520547945205478,0.12054794520547946,0.023395920643499487
aptos2019,0,emb_ema,frozen_lr,0.07260273972602739,0.05342465753424658,0.012753263358861646
aptos2019,0,emb_ema,last2,0.12054794520547946,0.09863013698630137,0.02224819101975301
aptos2019,0,emb_ema,full,0.16712328767123288,0.13561643835616438,0.024533179790251016
aptos2019,0,emb_ema,selected_training,0.15342465753424658,0.12054794520547946,0.020225808655519536
aptos2019,0,first2,frozen_lr,0.07945205479452055,0.056164383561643834,0.01733097974779306
aptos2019,0,first2,last2,0.12465753424657534,0.09315068493150686,0.02239414531074545
aptos2019,0,first2,full,0.14794520547945206,0.11917808219178082,0.025012852542082967
aptos2019,0,first2,selected_training,0.1506849315068493,0.11232876712328767,0.02342072932762909
aptos2019,0,first2_ema,frozen_lr,0.09178082191780822,0.07260273972602739,0.016524618764194164
aptos2019,0,first2_ema,last2,0.1178082191780822,0.09315068493150686,0.020857558135605206
aptos2019,0,first2_ema,full,0.15616438356164383,0.12465753424657534,0.02480680441722661
aptos2019,0,first2_ema,selected_training,0.14931506849315068,0.1178082191780822,0.021298928458711265
aptos2019,0,full_llrd,frozen_lr,0.13013698630136986,0.10410958904109589,0.021699329119587395
aptos2019,0,full_llrd,last2,0.10684931506849316,0.08904109589041095,0.02027909464460167
aptos2019,0,full_llrd,full,0.1589041095890411,0.13424657534246576,0.025326911712575336
aptos2019,0,full_llrd,selected_training,0.15342465753424658,0.12191780821917808,0.023091125211328306
aptos2019,0,full_llrd_ema,frozen_lr,0.10821917808219178,0.09041095890410959,0.019395519743384278
aptos2019,0,full_llrd_ema,last2,0.10547945205479452,0.08904109589041095,0.02155462161768609
aptos2019,0,full_llrd_ema,full,0.1273972602739726,0.1095890410958904,0.024538012684805897
aptos2019,0,full_llrd_ema,selected_training,0.136986301369863,0.1136986301369863,0.021458439246496385
aptos2019,0,selected_surgical,frozen_lr,0.13013698630136986,0.10410958904109589,0.021699329119587395
