arm,dataset,fold,n_train,n_test,bacc,mcc,macro_mae,macro_mae_true,per_class_recall
B0cp,aptos2019,0,2929,733,0.6187707011384649,0.6961327924360401,0.2824010914051841,0.5264346209207471,"[0.9750692520775623, 0.581081081081081, 0.755, 0.358974358974359, 0.423728813559322]"
B1cp,aptos2019,0,2929,733,0.6220888787460928,0.6857365004153558,0.2878581173260573,0.5091672907707464,"[0.9722991689750693, 0.5945945945945946, 0.71, 0.358974358974359, 0.4745762711864407]"
B2cp,aptos2019,0,14645,733,0.6433554990413529,0.7114449281824126,0.2796725784447476,0.5183521090026091,"[0.9833795013850416, 0.5405405405405406, 0.765, 0.48717948717948717, 0.4406779661016949]"
B3cp,aptos2019,0,2929,733,0.562384437994138,0.5271978624414022,0.4379263301500682,0.5751344478283771,"[0.7867036011080333, 0.5675675675675675, 0.555, 0.5128205128205128, 0.3898305084745763]"
B4cp,aptos2019,0,2929,733,0.6404999720671818,0.7130169052881495,0.2537517053206002,0.4780111174243293,"[0.9833795013850416, 0.6351351351351351, 0.75, 0.41025641025641024, 0.423728813559322]"
B0cp,aptos2019,1,2929,733,0.6181649803346128,0.688839292280967,0.2905866302864938,0.5305219970211283,"[0.96398891966759, 0.5135135135135135, 0.755, 0.28205128205128205, 0.576271186440678]"
B1cp,aptos2019,1,2929,733,0.632365312587107,0.6866232591544025,0.2933151432469304,0.5122648034744847,"[0.961218836565097, 0.5540540540540541, 0.72, 0.3333333333333333, 0.5932203389830508]"
B2cp,aptos2019,1,14645,733,0.6350327258750659,0.7053706467572148,0.2646657571623465,0.4918684437470296,"[0.9750692520775623, 0.5945945945945946, 0.755, 0.358974358974359, 0.4915254237288136]"
B3cp,aptos2019,1,2929,733,0.5771962927472576,0.5529067522047926,0.3915416098226466,0.5053318546672225,"[0.8033240997229917, 0.5135135135135135, 0.6, 0.358974358974359, 0.6101694915254238]"
B4cp,aptos2019,1,2929,733,0.6331046298296404,0.6980617296314061,0.2673942701227831,0.4838223841729171,"[0.9722991689750693, 0.5540540540540541, 0.73, 0.28205128205128205, 0.6271186440677966]"
B0cp,aptos2019,2,2930,732,0.6166050950241287,0.68806830624007,0.2855191256830601,0.5181853608150618,"[0.9722991689750693, 0.6081081081081081, 0.735, 0.39473684210526316, 0.3728813559322034]"
B1cp,aptos2019,2,2930,732,0.6108868922916061,0.6726261842442993,0.3032786885245901,0.5248266052333379,"[0.9667590027700831, 0.6081081081081081, 0.695, 0.39473684210526316, 0.3898305084745763]"
B2cp,aptos2019,2,14650,732,0.6046455981311138,0.6798581806547178,0.2978142076502732,0.5528373657943592,"[0.9750692520775623, 0.5405405405405406, 0.74, 0.39473684210526316, 0.3728813559322034]"
B3cp,aptos2019,2,2930,732,0.5993664732388146,0.5457435303021193,0.407103825136612,0.4965096610296385,"[0.778393351800554, 0.6486486486486487, 0.535, 0.5263157894736842, 0.5084745762711864]"
B4cp,aptos2019,2,2930,732,0.6383289876570781,0.6952594164270214,0.2786885245901639,0.4922389631285824,"[0.9778393351800554, 0.6891891891891891, 0.695, 0.47368421052631576, 0.3559322033898305]"
B0cp,aptos2019,3,2930,732,0.6482594830616333,0.7057474484911452,0.2923497267759563,0.4950897783552838,"[0.9695290858725761, 0.527027027027027, 0.755, 0.4473684210526316, 0.5423728813559322]"
B1cp,aptos2019,3,2930,732,0.6320899915362096,0.6882198448296918,0.2991803278688524,0.5094891867782144,"[0.9695290858725761, 0.527027027027027, 0.725, 0.4473684210526316, 0.4915254237288136]"
B2cp,aptos2019,3,14650,732,0.6171674066667259,0.6836158636586696,0.2923497267759563,0.5242842577306637,"[0.9722991689750693, 0.5405405405405406, 0.73, 0.3684210526315789, 0.4745762711864407]"
B3cp,aptos2019,3,2930,732,0.6101010591792788,0.5434525197806451,0.4207650273224044,0.4958381829879082,"[0.7562326869806094, 0.5540540540540541, 0.585, 0.5789473684210527, 0.576271186440678]"
B4cp,aptos2019,3,2930,732,0.6358787888785541,0.690808607743838,0.2786885245901639,0.4766319012566254,"[0.9722991689750693, 0.5675675675675675, 0.71, 0.42105263157894735, 0.5084745762711864]"
B0cp,aptos2019,4,2930,732,0.5960877208477481,0.6788147878040774,0.2978142076502732,0.5419616036331002,"[0.9778393351800554, 0.44594594594594594, 0.7487437185929648, 0.3333333333333333, 0.4745762711864407]"
B1cp,aptos2019,4,2930,732,0.6159277819401764,0.6852474335158324,0.2978142076502732,0.5083846086321726,"[0.9584487534626038, 0.47297297297297297, 0.7638190954773869, 0.358974358974359, 0.5254237288135594]"
B2cp,aptos2019,4,14650,732,0.5959032472623715,0.6858617212397321,0.29918032786885246,0.553551601692442,"[0.9778393351800554, 0.47297297297297297, 0.7638190954773869, 0.2564102564102564, 0.5084745762711864]"
B3cp,aptos2019,4,2930,732,0.5631440040697464,0.5170264449889503,0.453551912568306,0.5707519238032738,"[0.7506925207756233, 0.4594594594594595, 0.592964824120603, 0.48717948717948717, 0.5254237288135594]"
B4cp,aptos2019,4,2930,732,0.6013350948604002,0.6774299047958494,0.3005464480874317,0.5504566460239705,"[0.9833795013850416, 0.44594594594594594, 0.7185929648241206, 0.3333333333333333, 0.5254237288135594]"
