arm,dataset,fold,n_train,n_test,bacc,mcc,macro_mae,macro_mae_true,per_class_recall
A0cp,oral_diseases,0,412,104,0.7121309976573135,0.699658087862194,0.4519230769230769,0.4904052088262615,"[0.875, 0.9333333333333333, 0.5, 0.7222222222222222, 0.5454545454545454, 0.9473684210526315, 0.46153846153846156]"
A1cp,oral_diseases,0,2060,104,0.6922134152397311,0.6759005533387269,0.5192307692307693,0.5641994701205227,"[0.8125, 0.9333333333333333, 0.5, 0.7222222222222222, 0.5454545454545454, 0.9473684210526315, 0.38461538461538464]"
A2cp,oral_diseases,0,412,104,0.7200675055938214,0.7102620240703054,0.4423076923076923,0.4824687008897536,"[0.875, 0.9333333333333333, 0.5, 0.7777777777777778, 0.5454545454545454, 0.9473684210526315, 0.46153846153846156]"
A3cp,oral_diseases,0,2060,104,0.6669097715150346,0.6286624310031105,0.5769230769230769,0.5985481623639518,"[0.8125, 0.9333333333333333, 0.4166666666666667, 0.5555555555555556, 0.5454545454545454, 0.7894736842105263, 0.6153846153846154]"
A4cp,oral_diseases,0,2060,104,0.7032024262287421,0.685941491901982,0.5192307692307693,0.5611469670680197,"[0.8125, 0.9333333333333333, 0.5, 0.7222222222222222, 0.5454545454545454, 0.9473684210526315, 0.46153846153846156]"
A0cp,oral_diseases,1,413,103,0.7356981468823574,0.6937342085513323,0.4466019417475728,0.4274701906280853,"[0.9375, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.631578947368421, 0.6666666666666666]"
A1cp,oral_diseases,1,2065,103,0.7673568390673653,0.7181275076303785,0.4466019417475728,0.4228677754993544,"[0.9375, 0.9333333333333333, 0.75, 0.6111111111111112, 0.7272727272727273, 0.5789473684210527, 0.8333333333333334]"
A2cp,oral_diseases,1,413,103,0.7356981468823574,0.6937342085513323,0.4466019417475728,0.4274701906280853,"[0.9375, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.631578947368421, 0.6666666666666666]"
A3cp,oral_diseases,1,2065,103,0.75446001367054,0.7066048210157423,0.4563106796116505,0.4393151439204071,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.5789473684210527, 0.8333333333333334]"
A4cp,oral_diseases,1,2065,103,0.7594203311308574,0.7072171795439451,0.4660194174757281,0.4387407913723703,"[0.9375, 0.9333333333333333, 0.75, 0.5555555555555556, 0.7272727272727273, 0.5789473684210527, 0.8333333333333334]"
A0cp,oral_diseases,2,413,103,0.8087833219412167,0.784543863344264,0.3592233009708738,0.3791866028708134,"[1.0, 1.0, 0.6666666666666666, 0.8333333333333334, 0.7272727272727273, 0.6842105263157895, 0.75]"
A1cp,oral_diseases,2,2065,103,0.740084111794638,0.7040975220138661,0.5339805825242718,0.5556030227082859,"[0.9375, 1.0, 0.6666666666666666, 0.7777777777777778, 0.6363636363636364, 0.5789473684210527, 0.5833333333333334]"
A2cp,oral_diseases,2,413,103,0.8111642743221691,0.7846153894212379,0.3495145631067961,0.3649008885850991,"[1.0, 0.9333333333333333, 0.75, 0.8333333333333334, 0.7272727272727273, 0.6842105263157895, 0.75]"
A3cp,oral_diseases,2,2065,103,0.7105177717019823,0.6817184699835771,0.5922330097087378,0.6327884104199893,"[0.9375, 0.8666666666666667, 0.75, 0.8333333333333334, 0.45454545454545453, 0.631578947368421, 0.5]"
A4cp,oral_diseases,2,2065,103,0.7519888736993999,0.7158817223550732,0.5339805825242718,0.556685273790537,"[0.9375, 1.0, 0.75, 0.7777777777777778, 0.6363636363636364, 0.5789473684210527, 0.5833333333333334]"
A0cp,oral_diseases,3,413,103,0.6923187923187923,0.6607113853014854,0.4563106796116505,0.4642135642135642,"[0.8666666666666667, 0.9333333333333333, 0.46153846153846156, 0.6666666666666666, 0.2727272727272727, 0.7222222222222222, 0.9230769230769231]"
A1cp,oral_diseases,3,2065,103,0.6923187923187923,0.6593795536812465,0.4368932038834951,0.4483405483405484,"[0.8666666666666667, 0.9333333333333333, 0.46153846153846156, 0.6111111111111112, 0.2727272727272727, 0.7777777777777778, 0.9230769230769231]"
A2cp,oral_diseases,3,413,103,0.6923187923187923,0.6607113853014854,0.4563106796116505,0.4642135642135642,"[0.8666666666666667, 0.9333333333333333, 0.46153846153846156, 0.6666666666666666, 0.2727272727272727, 0.7222222222222222, 0.9230769230769231]"
A3cp,oral_diseases,3,2065,103,0.6429459429459429,0.6023949780341771,0.5339805825242718,0.5435009435009436,"[0.8, 0.9333333333333333, 0.38461538461538464, 0.5, 0.18181818181818182, 0.7777777777777778, 0.9230769230769231]"
A4cp,oral_diseases,3,2065,103,0.6923187923187923,0.6590872671064567,0.4271844660194174,0.4404040404040404,"[0.8666666666666667, 0.9333333333333333, 0.46153846153846156, 0.6111111111111112, 0.2727272727272727, 0.7777777777777778, 0.9230769230769231]"
A0cp,oral_diseases,4,413,103,0.7720768266820899,0.7296570919485483,0.4951456310679611,0.4979267077951289,"[0.8125, 1.0, 0.8333333333333334, 0.5, 0.7, 0.7894736842105263, 0.7692307692307693]"
A1cp,oral_diseases,4,2065,103,0.8004289570079043,0.7731606318937143,0.3883495145631068,0.4086409935094145,"[0.875, 1.0, 0.75, 0.6666666666666666, 0.7, 0.8421052631578947, 0.7692307692307693]"
A2cp,oral_diseases,4,413,103,0.7691006362058994,0.7293753816236455,0.4757281553398058,0.4919743268427479,"[0.875, 1.0, 0.75, 0.5, 0.7, 0.7894736842105263, 0.7692307692307693]"
A3cp,oral_diseases,4,2065,103,0.766465844097423,0.7300321661597784,0.4757281553398058,0.4989950838635049,"[0.875, 1.0, 0.75, 0.6111111111111112, 0.7, 0.7368421052631579, 0.6923076923076923]"
A4cp,oral_diseases,4,2065,103,0.8004289570079043,0.7737897846170034,0.3980582524271844,0.4205457554141764,"[0.875, 1.0, 0.75, 0.6666666666666666, 0.7, 0.8421052631578947, 0.7692307692307693]"
A0cp,oral_diseases,5,412,104,0.7659621080673712,0.7304520567436901,0.3461538461538461,0.348169374485164,"[1.0, 1.0, 0.6666666666666666, 0.5, 0.6363636363636364, 0.7894736842105263, 0.7692307692307693]"
