arm,s1,head,stage,dataset,fold,n_train,n_val,n_test,best_val_bacc,bacc,mcc,macro_mae,macro_mae_true,per_class_recall
S1_ce_e2e,S1_ce,e2e,e2e,aptos2019,0,2636,293.0,733,0.7186111111111112,0.6883875958504814,0.741558035083161,0.2073669849931787,0.3925940807413647,"[0.9889196675900277, 0.6621621621621622, 0.76, 0.6410256410256411, 0.3898305084745763]"
S1_ce__B0,S1_ce,B0,head,aptos2019,0,2929,,733,,0.6852400880223783,0.7602363403479814,0.2073669849931787,0.4035470939668789,"[0.9944598337950139, 0.6621621621621622, 0.8, 0.41025641025641024, 0.559322033898305]"
S1_ce__B1,S1_ce,B1,head,aptos2019,0,2929,,733,,0.69304568370933,0.7454453321508281,0.2196452933151432,0.3941260982421131,"[0.9944598337950139, 0.7162162162162162, 0.725, 0.48717948717948717, 0.5423728813559322]"
S1_ce__B3,S1_ce,B3,head,aptos2019,0,2929,,733,,0.706659672724981,0.713452632557659,0.2373806275579809,0.3639167313416339,"[0.9695290858725761, 0.7297297297297297, 0.625, 0.6666666666666666, 0.5423728813559322]"
S1_ce__B4,S1_ce,B4,head,aptos2019,0,2929,,733,,0.6945118389760391,0.7389379439231495,0.223738062755798,0.3948961813446061,"[0.9861495844875346, 0.7162162162162162, 0.715, 0.5128205128205128, 0.5423728813559322]"
S1_ce__ldam,S1_ce,ldam,head,aptos2019,0,2929,,733,,0.6853825414908095,0.7367611980636436,0.2346521145975443,0.4158775011707544,"[0.9861495844875346, 0.6351351351351351, 0.75, 0.5641025641025641, 0.4915254237288136]"
S1_ce__la,S1_ce,la,head,aptos2019,0,2929,,733,,0.695342746806947,0.7292581853970279,0.2442019099590723,0.4027728822734692,"[0.9861495844875346, 0.7297297297297297, 0.68, 0.5384615384615384, 0.5423728813559322]"
S1_la_e2e,S1_la,e2e,e2e,aptos2019,0,2636,293.0,733,0.7424999999999999,0.6793833996481538,0.6960138403258717,0.276944065484311,0.4372505895581627,"[0.9778393351800554, 0.7432432432432432, 0.595, 0.5384615384615384, 0.5423728813559322]"
S1_la__B0,S1_la,B0,head,aptos2019,0,2929,,733,,0.7006812402119225,0.7731352245220716,0.1964529331514324,0.3856599583978334,"[0.9889196675900277, 0.7162162162162162, 0.82, 0.4358974358974359, 0.5423728813559322]"
S1_la__B1,S1_la,B1,head,aptos2019,0,2929,,733,,0.6937218930531294,0.7541382766947292,0.2128240109140518,0.3917834916686505,"[0.9806094182825484, 0.7297297297297297, 0.78, 0.4358974358974359, 0.5423728813559322]"
S1_la__B3,S1_la,B3,head,aptos2019,0,2929,,733,,0.6826535105858549,0.7015541748243671,0.2537517053206002,0.3938621436194561,"[0.96398891966759, 0.6621621621621622, 0.655, 0.5897435897435898, 0.5423728813559322]"
S1_la__B4,S1_la,B4,head,aptos2019,0,2929,,733,,0.7055164359663162,0.7504458489624334,0.2169167803547066,0.3706551962509049,"[0.9806094182825484, 0.6891891891891891, 0.76, 0.5384615384615384, 0.559322033898305]"
S1_la__ldam,S1_la,ldam,head,aptos2019,0,2929,,733,,0.6594957744332363,0.7330556517929129,0.2346521145975443,0.4416562349873303,"[0.9889196675900277, 0.6756756756756757, 0.765, 0.41025641025641024, 0.4576271186440678]"
S1_la__la,S1_la,la,head,aptos2019,0,2929,,733,,0.6978451921242662,0.7490877544840657,0.2169167803547066,0.385270362089039,"[0.9833795013850416, 0.7432432432432432, 0.75, 0.48717948717948717, 0.5254237288135594]"
S1_ce_e2e,S1_ce,e2e,e2e,aptos2019,1,2636,293.0,733,0.7108333333333333,0.6734453857766219,0.7293929956456222,0.2291950886766712,0.4331676651063008,"[0.9806094182825484, 0.7702702702702703, 0.715, 0.358974358974359, 0.5423728813559322]"
S1_ce__B0,S1_ce,B0,head,aptos2019,1,2929,,733,,0.6698237641550004,0.7467289204093026,0.2196452933151432,0.4271173344627497,"[0.9806094182825484, 0.6621621621621622, 0.805, 0.358974358974359, 0.5423728813559322]"
S1_ce__B1,S1_ce,B1,head,aptos2019,1,2929,,733,,0.6880392873705236,0.7476900473115563,0.2182810368349249,0.405511980738752,"[0.9806094182825484, 0.6756756756756757, 0.78, 0.46153846153846156, 0.5423728813559322]"
S1_ce__B3,S1_ce,B3,head,aptos2019,1,2929,,733,,0.6773469458725104,0.6996357940675243,0.2564802182810368,0.410737533414044,"[0.96398891966759, 0.7297297297297297, 0.63, 0.4358974358974359, 0.6271186440677966]"
S1_ce__B4,S1_ce,B4,head,aptos2019,1,2929,,733,,0.6854658072859398,0.7402631392882518,0.2223738062755798,0.4046956303148613,"[0.9861495844875346, 0.7027027027027027, 0.735, 0.41025641025641024, 0.5932203389830508]"
S1_ce__ldam,S1_ce,ldam,head,aptos2019,1,2929,,733,,0.662726324886755,0.7351625994306552,0.2251023192360163,0.4278810960935473,"[0.9833795013850416, 0.6621621621621622, 0.775, 0.38461538461538464, 0.5084745762711864]"
S1_ce__la,S1_ce,la,head,aptos2019,1,2929,,733,,0.6938500981813344,0.7469388007283176,0.2210095497953615,0.395921508910992,"[0.9806094182825484, 0.7297297297297297, 0.755, 0.46153846153846156, 0.5423728813559322]"
S1_la_e2e,S1_la,e2e,e2e,aptos2019,1,2636,293.0,733,0.7480555555555555,0.6822080468836654,0.6987510532295694,0.2619372442019099,0.4244968287873119,"[0.9335180055401662, 0.8783783783783784, 0.63, 0.358974358974359, 0.6101694915254238]"
S1_la__B0,S1_la,B0,head,aptos2019,1,2929,,733,,0.6581415424062966,0.7309941063143394,0.242837653478854,0.4531488087458321,"[0.9778393351800554, 0.6621621621621622, 0.775, 0.3333333333333333, 0.5423728813559322]"
S1_la__B1,S1_la,B1,head,aptos2019,1,2929,,733,,0.6664545048900653,0.7121053930176807,0.2537517053206002,0.432963652033937,"[0.9750692520775623, 0.6756756756756757, 0.695, 0.41025641025641024, 0.576271186440678]"
S1_la__B3,S1_la,B3,head,aptos2019,1,2929,,733,,0.6776905839266985,0.6976666033517539,0.2605729877216917,0.4131322699795867,"[0.9667590027700831, 0.7432432432432432, 0.615, 0.48717948717948717, 0.576271186440678]"
S1_la__B4,S1_la,B4,head,aptos2019,1,2929,,733,,0.7051481941912948,0.7258326220418976,0.242837653478854,0.391028818306437,"[0.9806094182825484, 0.7432432432432432, 0.645, 0.5128205128205128, 0.6440677966101694]"
S1_la__ldam,S1_la,ldam,head,aptos2019,1,2929,,733,,0.626299167022863,0.7375476063191964,0.2346521145975443,0.4949403366716386,"[0.9750692520775623, 0.581081081081081, 0.87, 0.23076923076923078, 0.4745762711864407]"
S1_la__la,S1_la,la,head,aptos2019,1,2929,,733,,0.6791932788661275,0.7103880241889231,0.2619372442019099,0.4245889970660617,"[0.9750692520775623, 0.6891891891891891, 0.66, 0.46153846153846156, 0.6101694915254238]"
S1_ce_e2e,S1_ce,e2e,e2e,aptos2019,2,2637,293.0,732,0.7069444444444444,0.6964719609980421,0.7316009833021927,0.2295081967213114,0.4014038484232859,"[0.9722991689750693, 0.7702702702702703, 0.705, 0.5263157894736842, 0.5084745762711864]"
S1_ce__B0,S1_ce,B0,head,aptos2019,2,2930,,732,,0.6657350414877998,0.739562571864934,0.226775956284153,0.4319151235370776,"[0.9833795013850416, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5254237288135594]"
S1_ce__B1,S1_ce,B1,head,aptos2019,2,2930,,732,,0.6869882395189217,0.7429417051447516,0.226775956284153,0.4144977393939316,"[0.9889196675900277, 0.6486486486486487, 0.755, 0.5, 0.5423728813559322]"
S1_ce__B3,S1_ce,B3,head,aptos2019,2,2930,,732,,0.688292641578148,0.6993037288166326,0.2459016393442623,0.3727720905562118,"[0.9529085872576177, 0.7027027027027027, 0.64, 0.5526315789473685, 0.5932203389830508]"
S1_ce__B4,S1_ce,B4,head,aptos2019,2,2930,,732,,0.712613601958219,0.7527207460400288,0.2144808743169398,0.374313054920736,"[0.9806094182825484, 0.6891891891891891, 0.755, 0.5789473684210527, 0.559322033898305]"
S1_ce__ldam,S1_ce,ldam,head,aptos2019,2,2930,,732,,0.6719201079101544,0.7370508320914435,0.226775956284153,0.4199659709947047,"[0.9833795013850416, 0.6621621621621622, 0.76, 0.39473684210526316, 0.559322033898305]"
S1_ce__la,S1_ce,la,head,aptos2019,2,2930,,732,,0.7082237714497445,0.7488121765095888,0.221311475409836,0.3812569020497093,"[0.9806094182825484, 0.6891891891891891, 0.75, 0.5789473684210527, 0.5423728813559322]"
S1_la_e2e,S1_la,e2e,e2e,aptos2019,2,2637,293.0,732,0.7105555555555556,0.6801449287683852,0.718635299030283,0.2472677595628415,0.4199512196359936,"[0.9889196675900277, 0.7162162162162162, 0.655, 0.4473684210526316, 0.5932203389830508]"
S1_la__B0,S1_la,B0,head,aptos2019,2,2930,,732,,0.6774441827620381,0.7541846943851787,0.2158469945355191,0.4215958127713139,"[0.9806094182825484, 0.6351351351351351, 0.825, 0.42105263157894735, 0.5254237288135594]"
S1_la__B1,S1_la,B1,head,aptos2019,2,2930,,732,,0.6824683623009835,0.7445956597210575,0.2185792349726776,0.4068481250864462,"[0.9861495844875346, 0.6351351351351351, 0.775, 0.47368421052631576, 0.5423728813559322]"
S1_la__B3,S1_la,B3,head,aptos2019,2,2930,,732,,0.6797947029615653,0.6967053884626804,0.2418032786885245,0.3777160125522959,"[0.9529085872576177, 0.6621621621621622, 0.655, 0.5526315789473685, 0.576271186440678]"
S1_la__B4,S1_la,B4,head,aptos2019,2,2930,,732,,0.6936598672948737,0.7456718637948831,0.2199453551912568,0.3983593227952587,"[0.9833795013850416, 0.6486486486486487, 0.76, 0.5, 0.576271186440678]"
S1_la__ldam,S1_la,ldam,head,aptos2019,2,2930,,732,,0.6842614321443843,0.7492700590388292,0.2172131147540983,0.410388732880493,"[0.9778393351800554, 0.6756756756756757, 0.795, 0.4473684210526316, 0.5254237288135594]"
S1_la__la,S1_la,la,head,aptos2019,2,2930,,732,,0.6886455004231895,0.7396683738894833,0.221311475409836,0.3992250035847388,"[0.9778393351800554, 0.6486486486486487, 0.765, 0.5263157894736842, 0.5254237288135594]"
S1_ce_e2e,S1_ce,e2e,e2e,aptos2019,3,2637,293.0,732,0.7216666666666667,0.6766708752980409,0.7368736913458221,0.2199453551912568,0.4022337681124479,"[0.9529085872576177, 0.7027027027027027, 0.8, 0.3684210526315789, 0.559322033898305]"
S1_ce__B0,S1_ce,B0,head,aptos2019,3,2930,,732,,0.717314420293809,0.7748551470060692,0.2049180327868852,0.3686994643829237,"[0.9889196675900277, 0.7162162162162162, 0.79, 0.4473684210526316, 0.6440677966101694]"
S1_ce__B1,S1_ce,B1,head,aptos2019,3,2930,,732,,0.7094914835489041,0.7535341996541036,0.221311475409836,0.3799122316363031,"[0.9861495844875346, 0.6891891891891891, 0.745, 0.5, 0.6271186440677966]"
S1_ce__B3,S1_ce,B3,head,aptos2019,3,2930,,732,,0.710421789882281,0.7175039181336856,0.2486338797814207,0.370641809093943,"[0.9695290858725761, 0.7297297297297297, 0.645, 0.631578947368421, 0.576271186440678]"
S1_ce__B4,S1_ce,B4,head,aptos2019,3,2930,,732,,0.7221479209149522,0.746194340861699,0.2240437158469945,0.3569156780612717,"[0.9833795013850416, 0.7432432432432432, 0.695, 0.5789473684210527, 0.6101694915254238]"
S1_ce__ldam,S1_ce,ldam,head,aptos2019,3,2930,,732,,0.6913057407846834,0.752485484338664,0.221311475409836,0.3980979744005238,"[0.9889196675900277, 0.7027027027027027, 0.76, 0.39473684210526316, 0.6101694915254238]"
S1_ce__la,S1_ce,la,head,aptos2019,3,2930,,732,,0.7088968889543095,0.7468553565557531,0.2295081967213114,0.3777271652139486,"[0.9861495844875346, 0.7162162162162162, 0.715, 0.5, 0.6271186440677966]"
S1_la_e2e,S1_la,e2e,e2e,aptos2019,3,2637,293.0,732,0.7486111111111111,0.6762508708060142,0.6872684823735595,0.2745901639344262,0.4241737246895235,"[0.9279778393351801, 0.7702702702702703, 0.65, 0.47368421052631576, 0.559322033898305]"
S1_la__B0,S1_la,B0,head,aptos2019,3,2930,,732,,0.6917580878686096,0.7574411824755843,0.2226775956284153,0.4098306937389523,"[0.9889196675900277, 0.6486486486486487, 0.79, 0.42105263157894735, 0.6101694915254238]"
S1_la__B1,S1_la,B1,head,aptos2019,3,2930,,732,,0.7075476364199309,0.7537493155748385,0.2240437158469945,0.3872614841706817,"[0.9833795013850416, 0.6891891891891891, 0.755, 0.5, 0.6101694915254238]"
S1_la__B3,S1_la,B3,head,aptos2019,3,2930,,732,,0.7164438033507474,0.7234873747240494,0.2377049180327868,0.3466706430831038,"[0.9667590027700831, 0.7432432432432432, 0.655, 0.6578947368421053, 0.559322033898305]"
S1_la__B4,S1_la,B4,head,aptos2019,3,2930,,732,,0.7425100505924019,0.763846662881668,0.2076502732240437,0.3294610151726448,"[0.9806094182825484, 0.7432432432432432, 0.73, 0.631578947368421, 0.6271186440677966]"
S1_la__ldam,S1_la,ldam,head,aptos2019,3,2930,,732,,0.6759420465115098,0.7476663312152438,0.2199453551912568,0.4080718381652228,"[0.9861495844875346, 0.6351351351351351, 0.795, 0.42105263157894735, 0.5423728813559322]"
S1_la__la,S1_la,la,head,aptos2019,3,2930,,732,,0.7071456799773623,0.7400320450440124,0.2390710382513661,0.3858837795963012,"[0.9806094182825484, 0.7162162162162162, 0.71, 0.5526315789473685, 0.576271186440678]"
S1_ce_e2e,S1_ce,e2e,e2e,aptos2019,4,2637,293.0,732,0.6844444444444444,0.6059049397581817,0.6841735637432961,0.2636612021857923,0.519912968982817,"[0.9750692520775623, 0.6081081081081081, 0.7236180904522613, 0.28205128205128205, 0.4406779661016949]"
S1_ce__B0,S1_ce,B0,head,aptos2019,4,2930,,732,,0.6600171796637954,0.7186022632393088,0.25,0.4599695771573989,"[0.9750692520775623, 0.5540540540540541, 0.7587939698492462, 0.4358974358974359, 0.576271186440678]"
S1_ce__B1,S1_ce,B1,head,aptos2019,4,2930,,732,,0.6538400468086223,0.6993198839182202,0.2759562841530054,0.4763355970998012,"[0.9806094182825484, 0.581081081081081, 0.678391959798995, 0.4358974358974359, 0.5932203389830508]"
S1_ce__B3,S1_ce,B3,head,aptos2019,4,2930,,732,,0.6481987362566605,0.6721344547864794,0.2841530054644808,0.4535001687415005,"[0.961218836565097, 0.5675675675675675, 0.6231155778894473, 0.5128205128205128, 0.576271186440678]"
S1_ce__B4,S1_ce,B4,head,aptos2019,4,2930,,732,,0.6467993755175946,0.6860200686686351,0.2882513661202185,0.4898791130644797,"[0.9833795013850416, 0.581081081081081, 0.6482412060301508, 0.5128205128205128, 0.5084745762711864]"
S1_ce__ldam,S1_ce,ldam,head,aptos2019,4,2930,,732,,0.6531852405410061,0.6902674416922221,0.2978142076502732,0.478707405121602,"[0.9806094182825484, 0.5945945945945946, 0.628140703517588, 0.38461538461538464, 0.6779661016949152]"
S1_ce__la,S1_ce,la,head,aptos2019,4,2930,,732,,0.6599381760501695,0.6934320689296232,0.2841530054644808,0.4734941871814554,"[0.9750692520775623, 0.6216216216216216, 0.6482412060301508, 0.46153846153846156, 0.5932203389830508]"
S1_la_e2e,S1_la,e2e,e2e,aptos2019,4,2637,293.0,732,0.736111111111111,0.6509615737144763,0.6770049384250648,0.28415300546448086,0.4517834373858708,"[0.9501385041551247, 0.5540540540540541, 0.6532663316582915, 0.48717948717948717, 0.6101694915254238]"
S1_la__B0,S1_la,B0,head,aptos2019,4,2930,,732,,0.6652483929073695,0.7221677158153649,0.24863387978142076,0.45688152535035426,"[0.9806094182825484, 0.5540540540540541, 0.7537688442211056, 0.46153846153846156, 0.576271186440678]"
S1_la__B1,S1_la,B1,head,aptos2019,4,2930,,732,,0.6526963858520464,0.7003086573494756,0.2677595628415301,0.47120746335629143,"[0.9833795013850416, 0.5675675675675675, 0.6834170854271356, 0.4358974358974359, 0.5932203389830508]"
S1_la__B3,S1_la,B3,head,aptos2019,4,2930,,732,,0.6340692075991419,0.6683115671235639,0.28005464480874315,0.457829436359511,"[0.9556786703601108, 0.5405405405405406, 0.6532663316582915, 0.46153846153846156, 0.559322033898305]"
S1_la__B4,S1_la,B4,head,aptos2019,4,2930,,732,,0.6384037857087409,0.6852322771469419,0.28005464480874315,0.4816947808168761,"[0.9778393351800554, 0.5675675675675675, 0.6683417085427136, 0.4358974358974359, 0.5423728813559322]"
S1_la__ldam,S1_la,ldam,head,aptos2019,4,2930,,732,,0.672533027231705,0.7163767198366903,0.2527322404371585,0.43946295583147854,"[0.9861495844875346, 0.6081081081081081, 0.6884422110552764, 0.4358974358974359, 0.6440677966101694]"
S1_la__la,S1_la,la,head,aptos2019,4,2930,,732,,0.6678258703081158,0.7008635148480633,0.2677595628415301,0.44985233450377143,"[0.9806094182825484, 0.6216216216216216, 0.6482412060301508, 0.46153846153846156, 0.6271186440677966]"
