question,dataset,arm,base,metric,n_folds,mean_arm,mean_base,mean_diff,sd,wins,ci_lo,ci_hi,p_nb,holm_p,mde_floor,mde_post,tost_p,equivalent,gate,verdict,note
Q1,oral_diseases,A0cp,A0,bacc,15,0.756541144041144,0.7438928663928664,0.01264827764827762,0.04616863219714855,10,-0.04307443996729712,0.06837099526385236,0.6339076143083868,0.6339076143083868,0.032,0.0782752501075273,0.39067025338294303,False,False,서술만 (하한 이내),CP 전후 기준선
Q2,oral_diseases,A1cp,A0cp,bacc,15,0.7550345122713544,0.756541144041144,-0.0015066317697896828,0.032094252429992524,9,-0.04024243311652961,0.037229169576950244,0.9346973679069162,1.0,0.032,0.05441325671603799,0.16160887945010782,False,False,검출 불가 (검정력 부족),원본 표현 Δ(A1−A0) = -0.0040
Q2,oral_diseases,A2cp,A0cp,bacc,15,0.7596982646982647,0.756541144041144,0.0031571206571206676,0.008998314502119742,5,-0.007703295044099032,0.014017536358340368,0.5429883777740232,1.0,0.032,0.015255927773470282,0.002497278864370457,True,False,효과 없음,원본 표현 Δ(A2−A0) = +0.0031
Q2,oral_diseases,A3cp,A0cp,bacc,15,0.7297714663504138,0.756541144041144,-0.026769677690730295,0.04372758228113918,3,-0.07954619723453905,0.02600684185307846,0.29501655345909744,1.0,0.032,0.0741366437939447,0.6063760776142604,False,False,검출 불가 (검정력 부족),원본 표현 Δ(A3−A0) = -0.0106
Q2,oral_diseases,A4cp,A0cp,bacc,15,0.7540695610432452,0.756541144041144,-0.0024715829978988026,0.03188888093766757,7,-0.040959513504015915,0.036016347508218305,0.892413566686389,1.0,0.032,0.05406506565726789,0.17262479971211733,False,False,검출 불가 (검정력 부족),원본 표현 Δ(A4−A0) = -0.0094
Q1,aptos2019,B0cp,B0,bacc,5,0.6195775960813175,0.6526416413221854,-0.03306404524086783,0.019010833667088417,0,-0.06847164685126343,0.002343556369527766,0.06051290224766104,0.06051290224766104,0.019,0.047407586345503155,0.8182239342614117,False,False,서술만 (하한 초과이나 미유의),CP 전후 기준선
Q2,aptos2019,B1cp,B0cp,bacc,5,0.6226717714202384,0.6195775960813175,0.003094175338920824,0.014599387456408307,3,-0.02409712536175391,0.030285476039595555,0.7678471307574769,1.0,0.019,0.036406700176927785,0.07969312838779014,False,False,검출 불가 (검정력 부족),원본 표현 Δ(B1−B0) = +0.0098
Q2,aptos2019,B2cp,B0cp,bacc,5,0.619220895395326,0.6195775960813175,-0.00035670068599154004,0.022349931552640617,2,-0.04198335874283986,0.04126995737085677,0.9821584925956826,1.0,0.019,0.055734342241508375,0.13015271148520624,False,False,검출 불가 (검정력 부족),원본 표현 Δ(B2−B0) = +0.0004
Q2,aptos2019,B3cp,B0cp,bacc,5,0.5824384534458471,0.6195775960813175,-0.03713914263547047,0.014140264538846366,0,-0.0634753287399148,-0.010802956531026142,0.017315790598399987,0.06926316239359995,0.019,0.035261778826361334,0.9274622663281231,False,False,검출 불가 (검정력 부족),원본 표현 Δ(B3−B0) = +0.0180
Q2,aptos2019,B4cp,B0cp,bacc,5,0.629829494658571,0.6195775960813175,0.01025189857725337,0.014340425843990074,4,-0.016457087156836588,0.036960884311343326,0.3466112304171163,1.0,0.019,0.03576092392030093,0.1841076567830663,False,False,검출 불가 (검정력 부족),원본 표현 Δ(B4−B0) = +0.0193
Q3,aptos2019,B3cp,B0cp,severe_recall,5,0.49284750337381916,0.3632928475033738,0.12955465587044532,0.03145803697959524,5,0.07096418791285619,0.18814512382803444,0.0035688445865678393,,,0.07844735430787653,0.9967228601588987,False,False,재현,원본 표현 Δ severe = +0.2194 (15 fold)
Q4,aptos2019,S1_ce__B1,S1_ce__B0,bacc,5,0.6862809481912603,0.6796260987245566,0.006654849466703738,0.013438296386598911,3,-0.018373923763943662,0.03168362269735114,0.5013468010272822,1.0,0.019,0.03351127085957624,0.1064395627564225,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_ce__B3,S1_ce__B0,bacc,5,0.6861839572629161,0.6796260987245566,0.006557858538359574,0.015782891127219152,3,-0.022837713011996892,0.03595343008871604,0.5691915083519502,1.0,0.019,0.03935802011621681,0.1365280116837983,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_ce__B4,S1_ce__B0,bacc,5,0.6923077089305488,0.6796260987245566,0.012681610205992322,0.02192142330263874,4,-0.028146952950415055,0.0535101733623997,0.43711239230384946,1.0,0.019,0.05466576512293135,0.3224167096940973,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_ce__la,S1_ce__B0,bacc,5,0.693250336288501,0.6796260987245566,0.013624237563944352,0.020170414252500525,3,-0.023943078245334634,0.05119155337322334,0.3709440967471366,1.0,0.019,0.050299248946426484,0.3310217789720533,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_ce__ldam,S1_ce__B0,bacc,5,0.6729039911226817,0.6796260987245566,-0.006722107601874905,0.012102087967950231,2,-0.029262198001223032,0.01581798279747322,0.45420361685490124,1.0,0.019,0.030179148918372735,0.08863744034660409,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q6,aptos2019,S1_ce__B1,S1_ce_e2e,bacc,5,0.6862809481912603,0.6681761515362736,0.01810479665498672,0.022697297326050192,4,-0.02416882876443791,0.06037842207441135,0.30016918919764823,,0.019,0.05660057321195214,0.45347265384540547,False,False,서술만 (분리 vs e2e),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_la__B1,S1_la__B0,bacc,5,0.680577756503231,0.6786546892312472,0.001923067271983836,0.011523367824568928,3,-0.019539159176756467,0.023385293720724138,0.8157851461161525,1.0,0.019,0.028735986264505124,0.03975397039926105,True,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_la__B3,S1_la__B0,bacc,5,0.6781303616848016,0.6786546892312472,-0.0005243275464456687,0.023941807333174647,3,-0.04511584787274642,0.044067192779855074,0.975520399063574,1.0,0.019,0.05970402551992403,0.14599470993375316,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_la__B4,S1_la__B0,bacc,5,0.6970476667507255,0.6786546892312472,0.01839297751947826,0.03201889832854002,4,-0.04124209245556397,0.0780280474945205,0.4400855539343247,1.0,0.019,0.07984598223201571,0.4719757146136832,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_la__la,S1_la__B0,bacc,5,0.6881311043398123,0.6786546892312472,0.009476415108565006,0.009631945003258731,4,-0.008463043906272501,0.027415874123402514,0.21636424970712054,1.0,0.019,0.024019318269437064,0.08935309370038043,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q4,aptos2019,S1_la__ldam,S1_la__B0,bacc,5,0.6637062894687398,0.6786546892312472,-0.014948399762507569,0.022037434825530552,2,-0.05599303391594228,0.026096234390927137,0.36912895601648055,1.0,0.019,0.05495506470783531,0.3748821963632145,False,False,검출 불가 (검정력 부족),잡음 수준 — 부호 해석 금지 (R10)
Q6,aptos2019,S1_la__B1,S1_la_e2e,bacc,5,0.680577756503231,0.673789763964139,0.006787992539092125,0.017401707670084435,4,-0.0256226183427231,0.03919860342090735,0.5921031469962637,,0.019,0.04339488595689135,0.1604850307625788,False,False,서술만 (분리 vs e2e),잡음 수준 — 부호 해석 금지 (R10)
Q5,aptos2019,S1_la_e2e,S1_ce_e2e,bacc,5,0.673789763964139,0.6681761515362736,0.005613612427865356,0.02396427134897166,2,-0.03901974703794073,0.050246971893671444,0.7445484358134463,,0.019,0.05976004435566857,0.21070844170612146,False,False,하한 이내,잡음 수준 — 부호 해석 금지 (R10)
Q5,aptos2019,S1_la_e2e,S1_ce_e2e,severe_recall,5,0.4611336032388664,0.435357624831309,0.025775978407557344,0.12902324378784055,2,-0.21452929670668627,0.26608125352180095,0.7806748662924057,,,0.3217470983946465,0.5250022995681927,False,False,비재현,잡음 수준 — 부호 해석 금지 (R10)
