section,dataset,arm,base,y_true,pred_from,pred_to,metric,count,value,nb_p_delta_bacc_archived,r10_noise,note
error_split,aptos2019,B0,,,,,n_eval_rows,10986.0,10986.0,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B0,,,,,n_error,2023.0,0.18414345530675405,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B0,,,,,n_error_adjacent_1grade,1416.0,0.6999505684626792,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B0,,,,,n_error_ge2grade,607.0,0.30004943153732083,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B0,,,,,mean_abs_grade_error,,0.2483160385945749,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,0.0,,,n_error[no_dr],98.0,0.01809787626962142,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,0.0,,,frac_adjacent[no_dr],70.0,0.7142857142857143,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,1.0,,,n_error[mild],440.0,0.3963963963963964,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,1.0,,,frac_adjacent[mild],402.0,0.9136363636363637,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,2.0,,,n_error[moderate],681.0,0.22722722722722724,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,2.0,,,frac_adjacent[moderate],461.0,0.6769456681350955,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,3.0,,,n_error[severe],371.0,0.6407599309153713,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,3.0,,,frac_adjacent[severe],358.0,0.9649595687331537,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,4.0,,,n_error[proliferative_dr],433.0,0.48926553672316386,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B0,,4.0,,,frac_adjacent[proliferative_dr],125.0,0.28868360277136257,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B1,,,,,n_eval_rows,10986.0,10986.0,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B1,,,,,n_error,2241.0,0.20398689240851994,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B1,,,,,n_error_adjacent_1grade,1556.0,0.6943328871039715,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B1,,,,,n_error_ge2grade,685.0,0.30566711289602855,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split,aptos2019,B1,,,,,mean_abs_grade_error,,0.2778081194247224,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B1,,0.0,,,n_error[no_dr],131.0,0.024192059095106185,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B1,,0.0,,,frac_adjacent[no_dr],99.0,0.7557251908396947,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B1,,1.0,,,n_error[mild],372.0,0.33513513513513515,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B1,,1.0,,,frac_adjacent[mild],310.0,0.8333333333333334,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B1,,2.0,,,n_error[moderate],1002.0,0.33433433433433435,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
error_split_by_class,aptos2019,B1,,2.0,,,frac_adjacent[moderate],681.0,0.6796407185628742,,False,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
