dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B0,,fold0,0.0,733,2000,0.6711051026214648,0.6248003897070885,0.7156525635719299,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold0,0.0,733,2000,0.653690343902936,0.605945436656475,0.7027771419286727,-0.017414758718528822,-0.049200313836336135,0.014646957814693464,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold0,0.0,733,2000,0.6544386899693722,0.6095268051326275,0.6989520159363747,-0.016666412652092677,-0.052963904887437824,0.019555337205529093,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold0,0.0,733,2000,0.6945449340783865,0.6495526987314225,0.741057013273239,0.023439831456921634,-0.017896520346403162,0.06423238322138783,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold0,0.0,733,2000,0.6656601257019117,0.61829365208745,0.7125577202439308,-0.005444976919553146,-0.04664874464273448,0.03514011189341552,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold0,0.0,733,2000,0.644197530120672,0.6003508776426315,0.6868990717083215,-0.026907572500792787,-0.06490545451641085,0.008433568924665465,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold0,0.0,733,2000,0.6654091647690408,0.621868293210864,0.7117812719941139,-0.00569593785242406,-0.03842501707375047,0.026521227806806488,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold0,0.0,733,2000,0.6452128113732415,0.5984208461642265,0.6922367852926253,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold0,0.0,733,2000,0.6625615206411488,0.616930883526802,0.7090242764353752,0.017348709267907325,-0.004446226358413674,0.04241115376353263,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold0,0.0,733,2000,0.6533423935226836,0.6046614010632039,0.7007200087606906,0.00812958214944215,-0.03190808460116391,0.05005959674715998,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold0,0.0,733,2000,0.6770344561805663,0.6302366362512112,0.7234842109680176,0.031821644807324856,-0.0014810903370380626,0.0689134848117828,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold1,1.0,733,2000,0.6427510783418102,0.5972131331264973,0.6881197300553321,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold1,1.0,733,2000,0.6559923879247322,0.6089064441621304,0.7004349678754807,0.013241309582922023,-0.010093436241149903,0.039162348210811646,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold1,1.0,733,2000,0.635869157896624,0.5918511086702346,0.679542879536748,-0.006881920445186207,-0.04294368840754034,0.02803300693631169,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
