dataset,arm,base,role,rep,lever,loss,preregistered,side,fold,cls,class_name,cos_centred,cos_raw,relnorm_centred,relnorm_raw,scale_ratio,bias_arm,bias_base,bias_diff,bias_diff_centred,neg_log_prior,prior,margin_spearman,margin_spearman_p,recall_base,recall_arm,bias_slope,bias_r,flip_repro,n_flip,relnorm_fro_centred,margin_spearman_true,bacc_base,bacc_arm,bacc_base_offset,offset_identified,train_agree_before,flip_repro_ceiling,exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,0,0,no_dr,0.9650486707687378,0.977012038230896,0.26499125361442566,0.2622283697128296,1.0042815208435059,-0.025577504187822342,0.051201850175857544,-0.07677935063838959,-0.05509277433156967,0.707244027374962,0.4930010242403551,0.9971044815984867,0.0,0.9833795013850416,0.9750692520775623,-0.04549449657635069,-0.20161086206108628,0.5333333333333333,30,0.27230367064476013,0.9864693194084545,0.6452128113732415,0.6625615206411488,0.6557257067531729,True,0.9829293274155002,0.5666666666666667,탐색적/exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,0,1,mild,0.9736570715904236,0.9601446390151978,0.22883564233779907,0.279537558555603,0.9929951429367065,0.287344366312027,0.026731692254543304,0.2606126666069031,0.2822992503643036,2.292056892503673,0.101058381700239,0.9906549915584832,0.0,0.5945945945945946,0.6351351351351351,-0.04549449657635069,-0.20161086206108628,0.5333333333333333,30,0.27230367064476013,0.9864693194084545,0.6452128113732415,0.6625615206411488,0.6557257067531729,True,0.9829293274155002,0.5666666666666667,탐색적/exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,0,2,moderate,0.9746118187904358,0.9508368372917175,0.3104182183742523,0.466315895318985,1.1896183490753174,0.574203372001648,0.4722740054130554,0.10192936658859253,0.12361592054367065,1.2990554010614588,0.2727893479003073,0.9947929481456039,0.0,0.755,0.69,-0.04549449657635069,-0.20161086206108628,0.5333333333333333,30,0.27230367064476013,0.9864693194084545,0.6452128113732415,0.6625615206411488,0.6557257067531729,True,0.9829293274155002,0.5666666666666667,탐색적/exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,0,3,severe,0.9652358889579773,0.9529954195022583,0.31349000334739685,0.321222186088562,1.1383140087127686,-0.4259588122367859,-0.31117093563079834,-0.11478787660598755,-0.09310129284858704,2.9454637444141043,0.05257767156025948,0.9850399485498471,0.0,0.38461538461538464,0.48717948717948717,-0.04549449657635069,-0.20161086206108628,0.5333333333333333,30,0.27230367064476013,0.9864693194084545,0.6452128113732415,0.6625615206411488,0.6557257067531729,True,0.9829293274155002,0.5666666666666667,탐색적/exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,0,4,proliferative,0.9685030579566956,0.9518436789512634,0.25464487075805664,0.3065880239009857,1.0218143463134766,-0.7224909067153931,-0.4430831968784332,-0.27940770983695984,-0.2577211260795593,2.5185845418021233,0.0805735745988392,0.991336175295913,0.0,0.5084745762711864,0.5254237288135594,-0.04549449657635069,-0.20161086206108628,0.5333333333333333,30,0.27230367064476013,0.9864693194084545,0.6452128113732415,0.6625615206411488,0.6557257067531729,True,0.9829293274155002,0.5666666666666667,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,0,0,no_dr,0.9452114701271057,0.9631483554840088,0.327506959438324,0.3033317029476166,0.9713939428329468,-0.24862706661224365,-0.02817593514919281,-0.22045113146305084,-0.17277932167053223,0.707244027374962,0.4930010242403551,0.996241758555832,0.0,0.9833795013850416,0.9806094182825484,0.028494122248880826,0.12226300563656821,0.603448275862069,58,0.3546803593635559,0.9829312835500544,0.6711051026214648,0.653690343902936,0.6755417481102726,True,0.9446910208262206,0.6379310344827587,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,0,1,mild,0.951335072517395,0.9374282360076904,0.31349480152130127,0.34966206550598145,1.0089317560195923,0.40695157647132874,0.11940766125917435,0.287543922662735,0.3352157473564148,2.292056892503673,0.101058381700239,0.9898477540940113,0.0,0.5675675675675675,0.6621621621621622,0.028494122248880826,0.12226300563656821,0.603448275862069,58,0.3546803593635559,0.9829312835500544,0.6711051026214648,0.653690343902936,0.6755417481102726,True,0.9446910208262206,0.6379310344827587,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,0,2,moderate,0.9590251445770264,0.9329199194908142,0.3813639283180237,0.5151093006134033,1.2143043279647827,0.4609218239784241,0.4640091359615326,-0.0030873119831085205,0.04458451271057129,1.2990554010614588,0.2727893479003073,0.9952271738318678,0.0,0.835,0.69,0.028494122248880826,0.12226300563656821,0.603448275862069,58,0.3546803593635559,0.9829312835500544,0.6711051026214648,0.653690343902936,0.6755417481102726,True,0.9446910208262206,0.6379310344827587,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,0,3,severe,0.9696991443634033,0.9627861380577087,0.33596500754356384,0.3056792616844177,1.2003259658813477,-0.5590314865112305,-0.310384601354599,-0.24864688515663147,-0.20097506046295166,2.9454637444141043,0.05257767156025948,0.9879591115470059,0.0,0.41025641025641024,0.41025641025641024,0.028494122248880826,0.12226300563656821,0.603448275862069,58,0.3546803593635559,0.9829312835500544,0.6711051026214648,0.653690343902936,0.6755417481102726,True,0.9446910208262206,0.6379310344827587,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,0,4,proliferative,0.9552688598632812,0.9325630068778992,0.41302910447120667,0.4508667290210724,1.2435945272445679,-0.3406544625759125,-0.28693675994873047,-0.05371770262718201,-0.006045877933502197,2.5185845418021233,0.0805735745988392,0.9909035949809957,0.0,0.559322033898305,0.5254237288135594,0.028494122248880826,0.12226300563656821,0.603448275862069,58,0.3546803593635559,0.9829312835500544,0.6711051026214648,0.653690343902936,0.6755417481102726,True,0.9446910208262206,0.6379310344827587,탐색적/exploratory
aptos2019,B2,B0,primary,panderm,aug,ce,True,False,0,0,no_dr,0.7296991348266602,0.6982778906822205,0.7518781423568726,0.836317241191864,1.0423996448516846,0.016468055546283722,-0.02817593514919281,0.04464399069547653,0.03912462294101715,0.707244027374962,0.4930010242403551,0.9775405592416104,0.0,0.9833795013850416,0.9889196675900277,-0.06824397637287812,-0.6354035603125422,0.2413793103448276,58,0.7679595351219177,0.9469040198081989,0.6711051026214648,0.6544386899693722,0.6555972616012055,True,0.9433253670194606,0.2413793103448276,탐색적/exploratory
