dataset,arm,fold,prereg,bacc_regen,bacc_archived,abs_diff,logit_max_abs_diff,n_label_mismatch,label_mismatch_frac,label_exact,bacc_macro_recall_identity,checked,device,bacc_tol,logit_tol,ok,exploratory,secs
aptos2019,B0d,0,True,0.6452128113732415,0.6452128113732415,0.0,2.5272369384765625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.34
aptos2019,B1d,0,True,0.6625615206411488,0.6625615206411488,0.0,4.673004150390625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B0,0,True,0.6711051026214648,0.6711051026214648,0.0,2.7656555174004893e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1,0,True,0.653690343902936,0.653690343902936,0.0,6.675720215021386e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,0,True,0.6544386899693722,0.6544386899693722,0.0,2.002716064453125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.43
aptos2019,B5,0,True,0.644197530120672,0.644197530120672,0.0,1.2755393981989105e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.41
aptos2019,B5s,0,True,0.6654091647690408,0.6654091647690408,0.0,1.4781951904296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.29
aptos2019,B_la,0,False,0.657649456862049,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B_ldam,0,False,0.6500888941685223,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.43
aptos2019,B0d,1,True,0.6254897884807271,0.6254897884807271,0.0,3.528594970703125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.27
aptos2019,B1d,1,True,0.6327823294551779,0.6327823294551779,0.0,5.626678466974511e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B0,1,True,0.6427510783418102,0.6427510783418102,0.0,2.86102294921875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.27
aptos2019,B1,1,True,0.6559923879247322,0.6559923879247322,0.0,0.00010728836059570312,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B2,1,True,0.635869157896624,0.635869157896624,0.0,2.956390380859375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.53
aptos2019,B5,1,True,0.6250542088965488,0.6250542088965488,0.0,1.4781951904296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.38
aptos2019,B5s,1,True,0.625013246988551,0.625013246988551,0.0,1.9073486328125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.25
aptos2019,B_la,1,False,0.6556234377265883,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.28
aptos2019,B_ldam,1,False,0.6390781988762645,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.38
aptos2019,B0d,2,True,0.672061542034076,0.672061542034076,0.0,3.051757812677636e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.27
aptos2019,B1d,2,True,0.6744578111140861,0.6744578111140861,0.0,4.673004150390625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.27
aptos2019,B0,2,True,0.669678888616773,0.669678888616773,0.0,2.765655517578125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B1,2,True,0.6721492012694416,0.6721492012694416,0.0,6.675720215021386e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B2,2,True,0.6546326956093612,0.6546326956093612,0.0,1.811981201171875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.38
aptos2019,B5,2,True,0.6529838325108525,0.6529838325108525,0.0,1.52587890625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.26
aptos2019,B5s,2,True,0.6551822328925481,0.6551822328925481,0.0,1.4781951904296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.31
aptos2019,B_la,2,False,0.689477191544331,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B_ldam,2,False,0.6662040712481109,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.31
aptos2019,B0d,3,True,0.6249031156138533,0.6249031156138533,0.0,2.86102294921875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B1d,3,True,0.6140582402675927,0.6140582402675927,0.0,4.291534423828125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B0,3,True,0.6579334418694952,0.6579334418694952,0.0,4.100799560546875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B1,3,True,0.6813626448646872,0.6813626448646872,0.0,8.106231689275489e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B2,3,True,0.6460145978176871,0.6460145978176871,0.0,2.47955322265625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.44
aptos2019,B5,3,True,0.6548901661415394,0.6548901661415394,0.0,1.33514404296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.38
aptos2019,B5s,3,True,0.6595565633712026,0.6595565633712026,0.0,1.764297485347399e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.35
aptos2019,B_la,3,False,0.70340891273921,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B_ldam,3,False,0.6431746611628765,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.33
aptos2019,B0d,4,True,0.597586598604718,0.597586598604718,0.0,3.337860107244239e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B1d,4,True,0.6026030654131957,0.6026030654131957,0.0,4.100799560546875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B0,4,True,0.6217396951613836,0.6217396951613836,0.0,3.337860107421875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1,4,True,0.639772900608512,0.639772900608512,0.0,7.438659668324021e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B2,4,True,0.6361195979695775,0.6361195979695775,0.0,3.337860107599511e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.35
aptos2019,B5,4,True,0.6462077960284283,0.6462077960284283,0.0,1.239776611328125e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.31
aptos2019,B5s,4,True,0.6374074194027758,0.6374074194027758,0.0,1.430511474609375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.2
aptos2019,B_la,4,False,0.6381376054888459,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.21
aptos2019,B_ldam,4,False,0.6161628427656913,,,,-1,,True,0.0,False,cpu,1e-06,0.005,True,탐색적/exploratory,0.38
aptos2019,B0d,5,True,0.6054022942067921,0.6054022942067921,0.0,3.4332275390625e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.2
aptos2019,B1d,5,True,0.5968278714994054,0.5968278714994054,0.0,4.5299530029296875e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.22
aptos2019,B0,5,True,0.6216648776322939,0.6216648776322939,0.0,2.7924776077214997e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.23
aptos2019,B1,5,True,0.6333829364546769,0.6333829364546769,0.0,5.14984130859375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,0.24
aptos2019,B2,5,True,0.6313665628450831,0.6313665628450831,0.0,2.09808349609375e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.3
aptos2019,B5,5,True,0.5952435574183074,0.5952435574183074,0.0,1.5258789061611822e-05,0,0.0,True,0.0,True,cpu,1e-06,0.005,True,탐색적/exploratory,1.31
