dataset,arm,base,role,rep,lever,loss,preregistered,side,n_folds,cos_centred_mean,cos_centred_min,cos_raw_mean,frac_cos_gt_0p95,relnorm_centred_mean,relnorm_fro_mean,scale_ratio_mean,margin_spearman_mean,margin_spearman_true_mean,bias_r_pooled,bias_slope_pooled,bias_r_fold_mean,bias_slope_fold_mean,frac_folds_bias_r_gt_0p8,bias_r_pooled_centred,bias_slope_pooled_centred,flip_rate_mean,n_flip_mean,n_flip_total,n_flip_repro_total,flip_repro_pooled,n_folds_offset_identified,n_rows_fold,train_agree_before_mean,n_train_flip_mean,offset_identified_all,flip_repro_ceiling_pooled,test_agree_ceiling_mean,flip_repro_pooled_ls,flip_repro_pooled_greedy,n_folds_with_flips,flip_repro_mean,flip_repro_ls_mean,flip_repro_greedy_mean,frac_folds_repro_gt_0p70,test_agree_mean,bacc_base_mean,bacc_arm_mean,bacc_base_offset_mean,bacc_offset_minus_arm_mean,p3_cos_gt_0p95,p3_bias_r_gt_0p8,p3_repro_gt_0p70,repro_note,exploratory
aptos2019,B1d,B0d,primary,dinov2,rebalance,ce,True,False,15,0.9665101599693299,0.9524657726287842,0.9555104891459147,1.0,0.2896130476395289,0.2885746498902639,1.0770583391189574,0.9922560946303236,0.9889064883746804,-0.2742188276479624,-0.06870671905973942,-0.27822699807774676,-0.0687081222959859,0.0,-0.27961207686301637,-0.06870521030738952,0.03731875144439723,27.333333333333332,410,231,0.5634146341463414,15,15,0.9871881786272072,37.53333333333333,True,0.6024390243902439,0.9776086745838273,0.13658536585365855,0.5634146341463414,15,0.5580511849759161,0.13535546731245654,0.5580511849759161,0.2,0.9697807249693727,0.6282280398333026,0.632086311758716,0.6387137600153634,0.006627448256647324,True,False,False,,탐색적/exploratory
aptos2019,B1,B0,primary,panderm,rebalance,ce,True,False,15,0.957499942779541,0.9452114701271057,0.9473223352432251,0.8666666666666667,0.3436497946580251,0.3460144102573395,1.1197067149480184,0.993102475007552,0.9863426504238179,0.24906852923304232,0.05509420736408216,0.25437532610466157,0.055110986814521555,0.0,0.2500944881231416,0.055095482622359894,0.06152933399930917,45.06666666666667,676,473,0.6997041420118343,15,15,0.9478880800872836,152.66666666666666,True,0.7292899408284024,0.972602921844753,0.46597633136094674,0.6997041420118343,15,0.7025825151612491,0.4617479184134232,0.7025825151612491,0.5333333333333333,0.9655948928598941,0.6457036359493563,0.6554548011915637,0.6618711391255415,0.006416337933977889,True,False,False,,탐색적/exploratory
aptos2019,B2,B0,primary,panderm,aug,ce,True,False,15,0.6865384753545125,0.5919606685638428,0.6827155137062073,0.0,0.7587771550814311,0.7653804063796997,0.9037723278999329,0.9550164798665303,0.9501254952838224,-0.6833471839219889,-0.07284057854241718,-0.6910749615236966,-0.07283333887154594,0.0,-0.6835571425817022,-0.07283961553983004,0.09047778796621415,66.26666666666667,994,128,0.12877263581488935,15,15,0.9434737245644064,165.6,True,0.27565392354124746,0.9233583571270597,0.158953722334004,0.12877263581488935,15,0.13197539714411605,0.1595709737162153,0.13197539714411605,0.0,0.9120713091146747,0.6457036359493563,0.646060137363265,0.6346219991816954,-0.01143813818156958,False,False,False,,탐색적/exploratory
aptos2019,B5,B0,primary,panderm,mixup,mixup,True,False,15,0.8966675146420797,0.7153772711753845,0.8834784030914307,0.06666666666666667,0.5013028705120086,0.4904005785783132,0.6366999491055807,0.8744993897585025,0.8939136524757212,-0.8209903320035286,-0.5356078798296833,-0.8213565495458194,-0.5355991952424125,0.0,-0.8211031656524276,-0.5356128002362189,0.07209250603229984,52.8,792,164,0.20707070707070707,15,15,0.9565809481972087,127.2,True,0.33964646464646464,0.9437430575746055,0.18813131313131312,0.20707070707070707,15,0.21028737183587953,0.19299850823222736,0.21028737183587953,0.0,0.93391295596359,0.6457036359493563,0.644048393316875,0.6388183455706875,-0.005230047746187546,False,False,False,,탐색적/exploratory
aptos2019,B5s,B0,primary,panderm,mixup,mixup,True,False,15,0.9048054035504659,0.7351978421211243,0.8916142352422078,0.2,0.4575202989578247,0.4479011058807373,0.7097404479980469,0.8945018155260988,0.9074867005793958,-0.8459830434525628,-0.5475337144787894,-0.8466194360411651,-0.5475250572222966,0.0,-0.8465097216052943,-0.5475267552845041,0.06772402756344786,49.6,744,143,0.1922043010752688,15,15,0.9583115298701814,122.13333333333334,True,0.33602150537634407,0.9461109992868094,0.1989247311827957,0.1922043010752688,15,0.19371601280251305,0.19947161606858696,0.19371601280251305,0.0,0.9371899049990433,0.6457036359493563,0.6462757317609816,0.6449645485150417,-0.001311183245939788,False,False,False,,탐색적/exploratory
aptos2019,B_la,B0,primary,panderm,none,logitadj,False,True,15,0.9781880696614583,0.9656330943107605,0.9763992166519165,1.0,0.2840827528635661,0.2929846445719401,1.1683666181564332,0.9928969413246329,0.9801983269646194,0.16602506996444008,0.045227550127846114,0.16995241041863055,0.04523122673553279,0.0,0.1664719102052424,0.04522782977141548,0.07773068732185767,56.93333333333333,854,665,0.7786885245901639,15,15,0.9431545515384774,166.53333333333333,True,0.8302107728337237,0.9811585991645483,0.5128805620608899,0.7786885245901639,15,0.7781196979959277,0.5094620786750057,0.7781196979959277,0.9333333333333333,0.9749697453139404,0.6457036359493563,0.6626034791837638,0.6636479168400676,0.0010444376563038056,True,False,True,,탐색적/exploratory
aptos2019,B_ldam,B0,primary,panderm,none,ldam,False,True,15,0.9391712927818299,0.9221591353416443,0.9301663343111674,0.013333333333333334,0.5506213668982188,0.5745949546496073,0.5154431994756062,0.9568060352096336,0.9647851769883081,0.7819346654574504,0.13071479169100536,0.7834109173826277,0.13071549153995946,0.0,0.7822325651711866,0.13071395023826726,0.06908555056073674,50.6,759,170,0.22397891963109354,15,15,0.9700301368256163,87.8,True,0.4137022397891963,0.9495756888998227,0.11989459815546773,0.22397891963109354,15,0.21748069677363538,0.1115919907329555,0.21748069677363538,0.0,0.9397439720488947,0.6457036359493563,0.6376135859102114,0.6500999795557949,0.012486393645583519,False,False,False,,탐색적/exploratory
oral_diseases,A2d,A0d,primary,dinov2,rebalance,ce,True,False,15,0.9954093547094436,0.9907655715942383,0.9944682598114014,1.0,0.09607702451092856,0.09557216415802637,1.003327945300511,0.9983327221449688,0.9984569958310456,0.6507746683139228,0.09563719011395393,0.6585488123940276,0.09602960551793734,0.13333333333333333,0.6524734810159365,0.09565573143334075,0.013554891710231514,1.4,21,0,0.0,0,15,1.0,0.0,False,0.8571428571428571,0.9954754792133433,0.0,0.0,11,0.0,0.0,0.0,0.0,0.98579785909883,0.6974539495592127,0.6955247822353086,0.6974539495592127,0.0019291673239041796,True,False,,δ 미식별(학습 fold 분리 가능) — 해석 보류,탐색적/exploratory
oral_diseases,A1,A0,primary,panderm,aug,ce,True,False,15,0.8142071383340018,0.7422581911087036,0.8110100740478152,0.0,0.6607034109887623,0.6769521276156107,1.12686417670477,0.9517714051589847,0.9304740137375487,-0.496463952024336,-0.14215796374974898,-0.5059101485268963,-0.14220743373466252,0.0,-0.4984831385517818,-0.14215387989259454,0.11951082897684838,12.333333333333334,185,2,0.010810810810810811,0,15,1.0,0.0,False,0.42702702702702705,0.9283109285536469,0.010810810810810811,0.0,15,0.010505050505050507,0.010505050505050507,0.0,0.0,0.8811364202140901,0.7438928663928664,0.739904043325096,0.7430881155881157,0.0031840722630196586,False,False,,δ 미식별(학습 fold 분리 가능) — 해석 보류,탐색적/exploratory
oral_diseases,A2,A0,primary,panderm,rebalance,ce,True,False,15,0.9939247165407453,0.9821017980575562,0.9931360914593651,1.0,0.10821885743311473,0.11277041037877401,0.9998008563404992,0.9988362148289467,0.9984711796349846,0.27282906658868683,0.06919257816803487,0.2871048683526845,0.06867072703833456,0.0,0.27493027156758243,0.0691831198113643,0.012938760268857355,1.3333333333333333,20,1,0.05,0,15,1.0,0.0,False,0.85,0.997411003236246,0.05,0.0,11,0.022727272727272728,0.022727272727272728,0.0,0.0,0.9864139905402041,0.7438928663928664,0.7470267743951955,0.7430881155881157,-0.003938658807079857,True,False,,δ 미식별(학습 fold 분리 가능) — 해석 보류,탐색적/exploratory
