dataset,arm,family,loss,fold,bacc_recomputed,bacc_archived,abs_diff_vs_archived,max_abs_logit_diff_vs_frozen,n_pred_mismatch_vs_frozen,secs,exploratory
aptos2019,B0,softmax,ce,0,0.6711051026214648,0.6711051026214648,0.0,3.0517578125e-05,0,0.35,탐색적/exploratory
aptos2019,B0d,softmax,ce,0,0.6452128113732415,0.6452128113732415,0.0,2.574920654296875e-05,0,0.31,탐색적/exploratory
aptos2019,B1,softmax,ce,0,0.653690343902936,0.653690343902936,0.0,5.531311035333886e-05,0,0.34,탐색적/exploratory
aptos2019,B1d,softmax,ce,0,0.6625615206411488,0.6625615206411488,0.0,4.673004150390625e-05,0,0.33,탐색적/exploratory
aptos2019,B2,softmax,ce,0,0.6544386899693722,0.6544386899693722,0.0,1.9073486328125e-05,0,1.68,탐색적/exploratory
aptos2019,B3,coral,coral,0,0.6945449340783865,0.6945449340783865,0.0,4.76837158203125e-06,0,0.25,탐색적/exploratory
aptos2019,B3d,coral,coral,0,0.6533423935226836,0.6533423935226836,0.0,5.0067901611328125e-06,0,0.24,탐색적/exploratory
aptos2019,B4,corn,corn,0,0.6656601257019117,0.6656601257019117,0.0,8.58306884765625e-06,0,0.39,탐색적/exploratory
aptos2019,B4d,corn,corn,0,0.6770344561805663,0.6770344561805663,0.0,6.9141387939453125e-06,0,0.39,탐색적/exploratory
aptos2019,B5,softmax,mixup,0,0.644197530120672,0.644197530120672,0.0,1.2159347534179688e-05,0,1.38,탐색적/exploratory
aptos2019,B5s,softmax,mixup,0,0.6654091647690408,0.6654091647690408,0.0,1.4781951904296875e-05,0,1.29,탐색적/exploratory
oral_diseases,A0,softmax,ce,0,0.6886837577627052,0.6886837577627052,0.0,6.67572021484375e-05,0,0.1,탐색적/exploratory
oral_diseases,A0d,softmax,ce,0,0.7054436061015009,0.7054436061015009,0.0,0.00010299682617542771,0,0.09,탐색적/exploratory
oral_diseases,A1,softmax,ce,0,0.7031429827482459,0.7031429827482459,0.0,4.76837158203125e-05,0,0.25,탐색적/exploratory
oral_diseases,A2,softmax,ce,0,0.6886837577627052,0.6886837577627052,0.0,6.628036499023438e-05,0,0.09,탐색적/exploratory
oral_diseases,A2d,softmax,ce,0,0.6869912251491199,0.6869912251491199,0.0,8.821487426757812e-05,0,0.1,탐색적/exploratory
oral_diseases,A3,softmax,ldam,0,0.6517998814051447,0.6517998814051447,0.0,4.571676254272461e-05,0,0.37,탐색적/exploratory
oral_diseases,A4,softmax,logitadj,0,0.6866956143271932,0.6866956143271932,0.0,4.577636718572364e-05,0,0.25,탐색적/exploratory
oral_diseases,A5,softmax,mixup,0,0.6693156258945733,0.6693156258945733,0.0,6.526708602960785e-06,0,0.2,탐색적/exploratory
oral_diseases,A5s,softmax,mixup,0,0.6248464985307091,0.6248464985307091,0.0,2.300739288330078e-05,0,0.19,탐색적/exploratory
