dataset,estimator,arm,value,rank,exploratory
aptos2019,ece_top_ew,B0,0.09046809534189358,7,탐색적/exploratory
aptos2019,ece_top_em,B0,0.08931967942721512,7,탐색적/exploratory
aptos2019,ece_top_db,B0,0.12072330649669162,7,탐색적/exploratory
aptos2019,cwece_ew,B0,0.040096647787127286,4,탐색적/exploratory
aptos2019,cwece_em,B0,0.03746512271805803,4,탐색적/exploratory
aptos2019,cwece_db,B0,0.06380809751693782,4,탐색적/exploratory
aptos2019,ece_top_ew,B0d,0.1266508626282373,10,탐색적/exploratory
aptos2019,ece_top_em,B0d,0.1251353392914033,10,탐색적/exploratory
aptos2019,ece_top_db,B0d,0.16051945509228327,10,탐색적/exploratory
aptos2019,cwece_ew,B0d,0.05372427714929662,8,탐색적/exploratory
aptos2019,cwece_em,B0d,0.05143607616941806,8,탐색적/exploratory
aptos2019,cwece_db,B0d,0.08788635495288015,6,탐색적/exploratory
aptos2019,ece_top_ew,B1,0.10669883794455708,8,탐색적/exploratory
aptos2019,ece_top_em,B1,0.10631295493345223,8,탐색적/exploratory
aptos2019,ece_top_db,B1,0.13734515488101723,8,탐색적/exploratory
aptos2019,cwece_ew,B1,0.04920889317324826,6,탐색적/exploratory
aptos2019,cwece_em,B1,0.04700596129899989,6,탐색적/exploratory
aptos2019,cwece_db,B1,0.09024937684655913,7,탐색적/exploratory
aptos2019,ece_top_ew,B1d,0.13429937448433935,11,탐색적/exploratory
aptos2019,ece_top_em,B1d,0.1342993744843385,11,탐색적/exploratory
aptos2019,ece_top_db,B1d,0.1654133602942852,11,탐색적/exploratory
aptos2019,cwece_ew,B1d,0.058360743482275816,9,탐색적/exploratory
aptos2019,cwece_em,B1d,0.05618871049023085,9,탐색적/exploratory
aptos2019,cwece_db,B1d,0.10096352235110584,9,탐색적/exploratory
aptos2019,ece_top_ew,B2,0.05937596406152079,5,탐색적/exploratory
aptos2019,ece_top_em,B2,0.05867196884499856,5,탐색적/exploratory
aptos2019,ece_top_db,B2,0.07612193040823273,4,탐색적/exploratory
aptos2019,cwece_ew,B2,0.027336414074217552,2,탐색적/exploratory
aptos2019,cwece_em,B2,0.02469516601569985,1,탐색적/exploratory
aptos2019,cwece_db,B2,0.040211818198469564,1,탐색적/exploratory
aptos2019,ece_top_ew,B3,0.05795035066200304,3,탐색적/exploratory
aptos2019,ece_top_em,B3,0.05662329947516375,3,탐색적/exploratory
aptos2019,ece_top_db,B3,0.0639531768783038,3,탐색적/exploratory
aptos2019,cwece_ew,B3,0.07415656718039514,10,탐색적/exploratory
aptos2019,cwece_em,B3,0.07429971568965331,10,탐색적/exploratory
aptos2019,cwece_db,B3,0.10949897429639353,10,탐색적/exploratory
aptos2019,ece_top_ew,B3d,0.05147327110647104,2,탐색적/exploratory
aptos2019,ece_top_em,B3d,0.0513894545818934,2,탐색적/exploratory
