dataset,est_a,est_b,spearman,max_rank_shift,exploratory
aptos2019,ece_top_ew,ece_top_em,1.0,0,탐색적/exploratory
aptos2019,ece_top_ew,ece_top_db,0.990909090909091,1,탐색적/exploratory
aptos2019,ece_top_ew,cwece_ew,0.24545454545454545,9,탐색적/exploratory
aptos2019,ece_top_ew,cwece_em,0.20909090909090913,9,탐색적/exploratory
aptos2019,ece_top_ew,cwece_db,0.18181818181818182,9,탐색적/exploratory
aptos2019,ece_top_em,ece_top_db,0.990909090909091,1,탐색적/exploratory
aptos2019,ece_top_em,cwece_ew,0.24545454545454545,9,탐색적/exploratory
aptos2019,ece_top_em,cwece_em,0.20909090909090913,9,탐색적/exploratory
aptos2019,ece_top_em,cwece_db,0.18181818181818182,9,탐색적/exploratory
aptos2019,ece_top_db,cwece_ew,0.2545454545454546,9,탐색적/exploratory
aptos2019,ece_top_db,cwece_em,0.22727272727272727,9,탐색적/exploratory
aptos2019,ece_top_db,cwece_db,0.20000000000000004,9,탐색적/exploratory
aptos2019,cwece_ew,cwece_em,0.990909090909091,1,탐색적/exploratory
aptos2019,cwece_ew,cwece_db,0.9636363636363637,2,탐색적/exploratory
aptos2019,cwece_em,cwece_db,0.9727272727272729,2,탐색적/exploratory
oral_diseases,ece_top_ew,ece_top_em,0.9833333333333333,1,탐색적/exploratory
oral_diseases,ece_top_ew,ece_top_db,0.9666666666666667,1,탐색적/exploratory
oral_diseases,ece_top_ew,cwece_ew,0.8833333333333333,3,탐색적/exploratory
oral_diseases,ece_top_ew,cwece_em,0.9666666666666667,1,탐색적/exploratory
oral_diseases,ece_top_ew,cwece_db,0.9333333333333332,2,탐색적/exploratory
oral_diseases,ece_top_em,ece_top_db,0.9833333333333333,1,탐색적/exploratory
oral_diseases,ece_top_em,cwece_ew,0.8499999999999999,3,탐색적/exploratory
oral_diseases,ece_top_em,cwece_em,0.9333333333333332,2,탐색적/exploratory
oral_diseases,ece_top_em,cwece_db,0.9166666666666666,2,탐색적/exploratory
oral_diseases,ece_top_db,cwece_ew,0.8333333333333333,3,탐색적/exploratory
oral_diseases,ece_top_db,cwece_em,0.9166666666666666,2,탐색적/exploratory
oral_diseases,ece_top_db,cwece_db,0.9333333333333332,2,탐색적/exploratory
oral_diseases,cwece_ew,cwece_em,0.8833333333333333,3,탐색적/exploratory
oral_diseases,cwece_ew,cwece_db,0.8666666666666667,3,탐색적/exploratory
oral_diseases,cwece_em,cwece_db,0.9500000000000001,1,탐색적/exploratory
