dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B0,none,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B0,none,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B0,none,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B0,none,ece_top_ew,3,0.09046809534189358,0.08610398953563887,0.09642932254278061,0.010325333007141738,탐색적/exploratory
aptos2019,B0,none,ece_top_em,3,0.08931967942721512,0.08444220718376745,0.09637624790586925,0.011934040722101802,탐색적/exploratory
aptos2019,B0,none,ece_top_db,3,0.12072330649669162,0.1152706903032407,0.13045600516178865,0.015185314858547946,탐색적/exploratory
aptos2019,B0,none,ece_top_rms_em,3,0.12263347494405831,0.11727588757764612,0.13221267272443515,0.014936785146789033,탐색적/exploratory
aptos2019,B0,none,ece_top_bias_corr,3,0.0019101684473666937,0.0017566675626465023,0.0020051972744054153,0.00024852971175891303,탐색적/exploratory
aptos2019,B0,none,ece_dep_em,3,0.08931967942721512,0.08444220718376745,0.09637624790586925,0.011934040722101802,탐색적/exploratory
aptos2019,B0,none,cwece_ew,3,0.040096647787127286,0.03915878055670637,0.04135874973351912,0.002199969176812748,탐색적/exploratory
aptos2019,B0,none,cwece_em,3,0.03746512271805803,0.0369382457985532,0.038205683623925756,0.0012674378253725582,탐색적/exploratory
aptos2019,B0,none,cwece_db,3,0.06380809751693782,0.06337787731022501,0.06427828285492583,0.0009004055447008191,탐색적/exploratory
aptos2019,B0,none,cwece_rms_em,3,0.06598539472369963,0.06555218848958541,0.06652244492579466,0.000970256436209252,탐색적/exploratory
aptos2019,B0,none,brier_multiclass,3,0.27992862391357426,0.27726005826115313,0.2851558580989984,0.007895799837845274,탐색적/exploratory
aptos2019,B0,none,brier_balanced,3,0.545208566176623,0.5364865573145987,0.5511183108421397,0.01463175352754098,탐색적/exploratory
aptos2019,B0,none,brier_ovr_mean,3,0.05598572478271485,0.055452011652230626,0.05703117161979968,0.0015791599675690562,탐색적/exploratory
aptos2019,B0,none,nll,3,0.6060603923321537,0.5939765552895282,0.6141322584491229,0.020155703159594696,탐색적/exploratory
aptos2019,B0,none,acc,3,0.8158565446932459,0.8080283997815402,0.821409066084107,0.013380666302566846,탐색적/exploratory
aptos2019,B0,none,bacc,3,0.6456506064936439,0.6333373355772423,0.6526393903848001,0.019302054807557867,탐색적/exploratory
aptos2019,B0,none,mean_conf,3,0.9051737122768199,0.9044040926116894,0.9058478419054957,0.0014437492938063068,탐색적/exploratory
aptos2019,B0,none,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B0,temp,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B0,temp,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B0,temp,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B0,temp,ece_top_ew,3,0.019932060719166447,0.016378089728717182,0.0238433318310437,0.007465242102326519,탐색적/exploratory
aptos2019,B0,temp,ece_top_em,3,0.020836827929646164,0.01713385505182326,0.023903990960207542,0.006770135908384281,탐색적/exploratory
aptos2019,B0,temp,ece_top_db,3,0.018244195712740077,0.017363635488625274,0.019209793116021705,0.001846157627396431,탐색적/exploratory
aptos2019,B0,temp,ece_top_rms_em,3,0.028256165581497544,0.027655102928370354,0.028895250657630128,0.0012401477292597746,탐색적/exploratory
aptos2019,B0,temp,ece_top_bias_corr,3,0.010011969868757468,0.009685457541608423,0.01029146743974508,0.0006060098981366564,탐색적/exploratory
aptos2019,B0,temp,ece_dep_em,3,0.020836827929646164,0.01713385505182326,0.023903990960207542,0.006770135908384281,탐색적/exploratory
aptos2019,B0,temp,cwece_ew,3,0.022946082932719648,0.02160553497510002,0.02374491736613186,0.0021393823910318376,탐색적/exploratory
aptos2019,B0,temp,cwece_em,3,0.022485022812442804,0.020998859278425847,0.023398384728067188,0.002399525449641341,탐색적/exploratory
aptos2019,B0,temp,cwece_db,3,0.03779435820551046,0.03695813639616465,0.038282373884262325,0.0013242374880976723,탐색적/exploratory
aptos2019,B0,temp,cwece_rms_em,3,0.04105988292144711,0.04090042523684602,0.04116796071725949,0.0002675354804134722,탐색적/exploratory
aptos2019,B0,temp,brier_multiclass,3,0.2596808402002723,0.2576134743914358,0.2625106059906826,0.004897131599246818,탐색적/exploratory
aptos2019,B0,temp,brier_balanced,3,0.47454264176124195,0.4676505594709056,0.481212483866725,0.01356192439581938,탐색적/exploratory
aptos2019,B0,temp,brier_ovr_mean,3,0.05193616804005447,0.05152269487828716,0.05250212119813652,0.0009794263198493608,탐색적/exploratory
aptos2019,B0,temp,nll,3,0.49345169617265827,0.4880337101838962,0.49901273404361735,0.01097902385972116,탐색적/exploratory
aptos2019,B0,temp,acc,3,0.8158565446932459,0.8080283997815402,0.821409066084107,0.013380666302566846,탐색적/exploratory
