dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
aptos2019,B0,w1,folds_all,15,3,0,no_dr,0,no_dr,5317,5415,0.9819021237303786,0.0016925487331323759,0.9800554016620499,0.9833795013850416,0.007013029741060561,0.9695290858725761,0.997229916897507,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,0,no_dr,1,mild,70,5415,0.012927054478301015,0.001279446579921608,0.01218836565096953,0.014404432132963989,0.005797984692213668,0.0,0.0221606648199446,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,0,no_dr,2,moderate,26,5415,0.004801477377654663,0.0016925487331323507,0.0033240997229916896,0.006648199445983379,0.004619442591871424,0.0,0.013850415512465374,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,0,no_dr,3,severe,1,5415,0.00018467220683287164,0.00031986164498040215,0.0,0.000554016620498615,0.0007152323815710836,0.0,0.002770083102493075,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,0,no_dr,4,proliferative_dr,1,5415,0.00018467220683287164,0.00031986164498040215,0.0,0.000554016620498615,0.0007152323815710836,0.0,0.002770083102493075,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,1,mild,0,no_dr,90,1110,0.08108108108108109,0.004681218398834804,0.07837837837837838,0.08648648648648649,0.02395689893048428,0.04054054054054054,0.12162162162162163,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,1,mild,1,mild,670,1110,0.6036036036036037,0.017584884050399208,0.5864864864864865,0.6216216216216216,0.05793650396575225,0.47297297297297297,0.6891891891891891,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,1,mild,2,moderate,312,1110,0.2810810810810811,0.009362436797669607,0.2702702702702703,0.2864864864864865,0.06321914862933152,0.1891891891891892,0.3783783783783784,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,1,mild,3,severe,7,1110,0.006306306306306306,0.0015604061329449344,0.005405405405405406,0.008108108108108109,0.010043558823746034,0.0,0.02702702702702703,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,1,mild,4,proliferative_dr,31,1110,0.027927927927927927,0.004128446572032289,0.024324324324324326,0.032432432432432434,0.01729568847086985,0.0,0.05405405405405406,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,2,moderate,0,no_dr,27,2997,0.009009009009009009,0.0034675691843220765,0.005005005005005005,0.011011011011011011,0.007845922022946908,0.0,0.025,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,2,moderate,1,mild,296,2997,0.09876543209876543,0.0030581085718757715,0.0960960960960961,0.1021021021021021,0.022896810903782285,0.06,0.14,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,2,moderate,2,moderate,2316,2997,0.7727727727727728,0.019332540456284214,0.7517517517517518,0.7897897897897898,0.030654847675544147,0.72,0.835,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,2,moderate,3,severe,165,2997,0.055055055055055056,0.010593598843101465,0.04704704704704705,0.06706706706706707,0.014931657801824946,0.03,0.07537688442211055,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,2,moderate,4,proliferative_dr,193,2997,0.06439773106439774,0.0032177680216860078,0.062062062062062065,0.06806806806806807,0.01249045998417987,0.04,0.085,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,3,severe,0,no_dr,3,579,0.0051813471502590676,0.0,0.0051813471502590676,0.0051813471502590676,0.010803649202381088,0.0,0.02631578947368421,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,3,severe,1,mild,10,579,0.017271157167530225,0.007914638505968635,0.010362694300518135,0.025906735751295335,0.018626182503583874,0.0,0.05128205128205128,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,3,severe,2,moderate,251,579,0.43350604490500866,0.019616263716063127,0.41968911917098445,0.45595854922279794,0.08266763798651244,0.3076923076923077,0.5526315789473685,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,3,severe,3,severe,208,579,0.3592400690846287,0.028536634960031622,0.32642487046632124,0.37823834196891193,0.06368579829427175,0.20512820512820512,0.4473684210526316,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,3,severe,4,proliferative_dr,107,579,0.1848013816925734,0.013039437712039295,0.17098445595854922,0.19689119170984457,0.07438406893652383,0.05263157894736842,0.3076923076923077,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,4,proliferative_dr,0,no_dr,7,885,0.007909604519774011,0.003914239113150005,0.003389830508474576,0.010169491525423728,0.010846448702070924,0.0,0.03389830508474576,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,4,proliferative_dr,1,mild,47,885,0.05310734463276836,0.003914239113150004,0.05084745762711865,0.0576271186440678,0.0338174985214591,0.0,0.13559322033898305,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,4,proliferative_dr,2,moderate,254,885,0.28700564971751413,0.010896780520896,0.2745762711864407,0.29491525423728815,0.048138776054555465,0.1694915254237288,0.3559322033898305,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,4,proliferative_dr,3,severe,125,885,0.14124293785310735,0.02380938701209658,0.11864406779661017,0.16610169491525423,0.0603224760001769,0.05084745762711865,0.3050847457627119,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,folds_all,15,3,4,proliferative_dr,4,proliferative_dr,452,885,0.5107344632768361,0.01986259415960108,0.488135593220339,0.5254237288135594,0.06433877723512786,0.3728813559322034,0.6101694915254238,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,0,no_dr,0,no_dr,1769,1805,0.9800554016620499,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,0,no_dr,1,mild,22,1805,0.01218836565096953,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,0,no_dr,2,moderate,12,1805,0.006648199445983379,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,0,no_dr,3,severe,1,1805,0.000554016620498615,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,0,no_dr,4,proliferative_dr,1,1805,0.000554016620498615,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,1,mild,0,no_dr,29,370,0.07837837837837838,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,1,mild,1,mild,223,370,0.6027027027027027,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,1,mild,2,moderate,106,370,0.2864864864864865,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,1,mild,3,severe,2,370,0.005405405405405406,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,1,mild,4,proliferative_dr,10,370,0.02702702702702703,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,2,moderate,0,no_dr,11,999,0.011011011011011011,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,2,moderate,1,mild,98,999,0.0980980980980981,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,2,moderate,2,moderate,776,999,0.7767767767767768,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,2,moderate,3,severe,51,999,0.05105105105105105,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,2,moderate,4,proliferative_dr,63,999,0.06306306306306306,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,3,severe,0,no_dr,1,193,0.0051813471502590676,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,3,severe,1,mild,5,193,0.025906735751295335,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,3,severe,2,moderate,81,193,0.41968911917098445,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,3,severe,3,severe,73,193,0.37823834196891193,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,3,severe,4,proliferative_dr,33,193,0.17098445595854922,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,0,no_dr,3,295,0.010169491525423728,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,1,mild,15,295,0.05084745762711865,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,2,moderate,81,295,0.2745762711864407,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,3,severe,41,295,0.13898305084745763,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,4,proliferative_dr,155,295,0.5254237288135594,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
