dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
oral_diseases,A0,w1,folds_all,15,3,0,CaS,0,CaS,211,237,0.890295358649789,0.007308231255564923,0.8860759493670886,0.8987341772151899,0.07656545251298734,0.75,1.0,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,0,CaS,1,CoS,3,237,0.012658227848101266,0.012658227848101266,0.0,0.02531645569620253,0.025877458475338285,0.0,0.0625,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,0,CaS,2,Gum,7,237,0.029535864978902954,0.0073082312555648845,0.02531645569620253,0.0379746835443038,0.04025793161851536,0.0,0.125,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,0,CaS,3,MC,5,237,0.02109704641350211,0.007308231255564883,0.012658227848101266,0.02531645569620253,0.03857583749052297,0.0,0.125,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,0,CaS,4,OC,2,237,0.008438818565400843,0.014616462511129765,0.0,0.02531645569620253,0.022738302999133937,0.0,0.06666666666666667,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,0,CaS,5,OLP,6,237,0.02531645569620253,0.021924693766694647,0.012658227848101266,0.05063291139240506,0.04106308864025268,0.0,0.13333333333333333,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,0,CaS,6,OT,3,237,0.012658227848101266,0.012658227848101266,0.0,0.02531645569620253,0.026468134979861523,0.0,0.06666666666666667,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,1,CoS,0,CaS,2,225,0.008888888888888889,0.007698003589195011,0.0,0.013333333333333334,0.023457718351633225,0.0,0.06666666666666667,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,1,CoS,1,CoS,219,225,0.9733333333333334,1.3597399555105182e-16,0.9733333333333334,0.9733333333333334,0.03380617018914066,0.9333333333333333,1.0,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,1,CoS,2,Gum,3,225,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.02760262237369417,0.0,0.06666666666666667,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
