dataset,arm,fold,n_test,n_violation
aptos2019,B3,0,733,550
aptos2019,B3,1,733,550
aptos2019,B3,2,732,546
aptos2019,B3,3,732,558
aptos2019,B3,4,732,545
aptos2019,B3,5,733,537
aptos2019,B3,6,733,546
aptos2019,B3,7,732,539
aptos2019,B3,8,732,544
aptos2019,B3,9,732,557
aptos2019,B3,10,733,549
aptos2019,B3,11,733,553
aptos2019,B3,12,732,552
aptos2019,B3,13,732,531
aptos2019,B3,14,732,540
aptos2019,B3d,0,733,565
aptos2019,B3d,1,733,588
aptos2019,B3d,2,732,563
aptos2019,B3d,3,732,583
aptos2019,B3d,4,732,585
aptos2019,B3d,5,733,575
aptos2019,B3d,6,733,569
aptos2019,B3d,7,732,576
aptos2019,B3d,8,732,587
aptos2019,B3d,9,732,587
aptos2019,B3d,10,733,565
aptos2019,B3d,11,733,576
aptos2019,B3d,12,732,582
aptos2019,B3d,13,732,576
aptos2019,B3d,14,732,576
