dataset,family,frontier_base,axis,recall_level,n_folds_valid,n_folds,bacc_mean,bacc_ci_lo,bacc_ci_hi,bacc_min,bacc_max,exploratory
oral_diseases,panderm,A0,tau,0.0,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.01,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.02,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.03,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.04,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.05,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.06,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.07,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.08,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.09,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.1,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.11,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.12,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.13,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.14,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.15,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.16,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.17,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.18,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.19,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.2,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.21,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.22,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.23,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.24,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.25,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.26,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.27,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.28,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.29,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.3,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.31,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.32,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.33,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.34,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.35,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.36,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.37,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.38,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.39,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.4,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.41,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.42,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.43,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.44,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.45,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.46,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.47,15,15,0.7558345455713877,0.7072026738789764,0.8044664172637991,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.48,14,15,0.7523815052950392,0.7040696002325351,0.8006934103575434,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.49,14,15,0.7523815052950392,0.7040696002325351,0.8006934103575434,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.5,14,15,0.7523815052950392,0.7040696002325351,0.8006934103575434,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.51,14,15,0.7523815052950392,0.7040696002325351,0.8006934103575434,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.52,14,15,0.7523815052950392,0.7040696002325351,0.8006934103575434,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.53,12,15,0.759440401216717,0.7113437172553813,0.8075370851780527,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.54,12,15,0.759440401216717,0.7113437172553813,0.8075370851780527,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.55,12,15,0.759440401216717,0.7113437172553813,0.8075370851780527,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.56,11,15,0.7548954368332358,0.7079318732838141,0.8018590003826574,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.57,11,15,0.7548954368332358,0.7079318732838141,0.8018590003826574,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.58,11,15,0.7548954368332358,0.7079318732838141,0.8018590003826574,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.59,11,15,0.7548954368332358,0.7079318732838141,0.8018590003826574,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.6,11,15,0.7548954368332358,0.7079318732838141,0.8018590003826574,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.61,11,15,0.7548954368332358,0.7079318732838141,0.8018590003826574,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.62,11,15,0.7546179365557356,0.7073267383480465,0.8019091347634247,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.63,11,15,0.7546179365557356,0.7073267383480465,0.8019091347634247,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.64,8,15,0.7525581235285183,0.6960764237421287,0.8090398233149078,0.6886837577627052,0.8212763114078904,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.65,8,15,0.7525581235285183,0.6960764237421287,0.8090398233149078,0.6886837577627052,0.8212763114078904,탐색적/exploratory
