dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,0,0.41025641025641024,0.6711051026214648,0.689295628583905,-0.018190525962440196,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,0,0.41025641025641024,0.6711051026214648,0.6726635554680535,-0.0015584528465886205,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,0,0.41025641025641024,0.6711051026214648,0.689295628583905,-0.018190525962440196,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,0,0.41025641025641024,0.6711051026214648,0.6799240112815399,-0.008818908660075064,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,offset,0,0.41025641025641024,0.6711051026214648,0.6719047747614347,-0.0007996721399698981,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,union,0,0.41025641025641024,0.6711051026214648,0.6799240112815399,-0.008818908660075064,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,1,0.358974358974359,0.6427510783418102,0.6612491072479334,-0.018498028906123176,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,1,0.358974358974359,0.6427510783418102,0.666965204525982,-0.024214126184171736,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,1,0.358974358974359,0.6427510783418102,0.666965204525982,-0.024214126184171736,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,1,0.358974358974359,0.6427510783418102,0.6646625466654575,-0.02191146832364732,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,offset,1,0.358974358974359,0.6427510783418102,0.6381963246983672,0.0045547536434430436,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,union,1,0.358974358974359,0.6427510783418102,0.6646625466654575,-0.02191146832364732,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,2,0.39473684210526316,0.669678888616773,0.6930009593141666,-0.02332207069739356,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,2,0.39473684210526316,0.669678888616773,0.7073331573744739,-0.03765426875770084,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,2,0.39473684210526316,0.669678888616773,0.7073331573744739,-0.03765426875770084,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,2,0.39473684210526316,0.669678888616773,0.689277817890194,-0.019598929273420995,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,offset,2,0.39473684210526316,0.669678888616773,0.689750407010607,-0.02007151839383392,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,union,2,0.39473684210526316,0.669678888616773,0.689750407010607,-0.02007151839383392,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,3,0.3684210526315789,0.6579334418694952,0.7247577084573188,-0.06682426658782359,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,3,0.3684210526315789,0.6579334418694952,0.6733966624495757,-0.015463220580080539,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,3,0.3684210526315789,0.6579334418694952,0.7247577084573188,-0.06682426658782359,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,3,0.3684210526315789,0.6579334418694952,0.6470341977735283,0.010899244095966876,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,offset,3,0.3684210526315789,0.6579334418694952,0.6355886064946585,0.02234483537483667,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,union,3,0.3684210526315789,0.6579334418694952,0.6470341977735283,0.010899244095966876,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,4,0.358974358974359,0.6217396951613836,0.6429234776423559,-0.021183782480972302,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,4,0.358974358974359,0.6217396951613836,0.6289810300409094,-0.007241334879525829,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,4,0.358974358974359,0.6217396951613836,0.6429234776423559,-0.021183782480972302,탐색적/exploratory
