dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,0,0.8421052631578947,0.6886837577627052,0.6886837577627052,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,0,0.8421052631578947,0.6886837577627052,0.6886837577627052,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,0,0.8421052631578947,0.6886837577627052,0.6886837577627052,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,0,0.8421052631578947,0.6886837577627052,,,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,0,0.8421052631578947,0.6886837577627052,0.6408634494160811,0.047820308346624096,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,0,0.8421052631578947,0.6886837577627052,0.6408634494160811,0.047820308346624096,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,1,0.47368421052631576,0.7911900964532543,0.8041771094402673,-0.012987012987012991,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,1,0.47368421052631576,0.7911900964532543,0.7911900964532543,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,1,0.47368421052631576,0.7911900964532543,0.8041771094402673,-0.012987012987012991,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,1,0.47368421052631576,0.7911900964532543,0.6833798511430089,0.10781024531024541,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,1,0.47368421052631576,0.7911900964532543,0.6810444672286777,0.1101456292245766,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,1,0.47368421052631576,0.7911900964532543,0.6833798511430089,0.10781024531024541,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,2,0.631578947368421,0.7217190704032809,0.7217190704032809,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,2,0.631578947368421,0.7217190704032809,0.7217190704032809,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,2,0.631578947368421,0.7217190704032809,0.7217190704032809,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,2,0.631578947368421,0.7217190704032809,0.7359838991417939,-0.01426482873851298,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,2,0.631578947368421,0.7217190704032809,0.7359838991417939,-0.01426482873851298,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,2,0.631578947368421,0.7217190704032809,0.7359838991417939,-0.01426482873851298,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,3,0.6666666666666666,0.7454878454878455,0.7584748584748586,-0.012987012987013102,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,3,0.6666666666666666,0.7454878454878455,0.7503718503718504,-0.004884004884004867,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,3,0.6666666666666666,0.7454878454878455,0.7584748584748586,-0.012987012987013102,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,3,0.6666666666666666,0.7454878454878455,0.6898434898434899,0.05564435564435566,탐색적/exploratory
