axis,param,bacc,recall_target,fold,frontier_base,family,pareto_union,marked_tau,dataset,exploratory
tau,0.0,0.6711051026214648,0.41025641025641024,0,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.05,0.6718078053241675,0.41025641025641024,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.1,0.6698078053241675,0.41025641025641024,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.15,0.6655666608978971,0.41025641025641024,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.2,0.6662693636005997,0.41025641025641024,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.25,0.6741002714315075,0.4358974358974359,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.3,0.6758029741342104,0.4358974358974359,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.35,0.677505676836913,0.4358974358974359,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.4,0.672505676836913,0.4358974358974359,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.45,0.670505676836913,0.4358974358974359,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.5,0.669505676836913,0.4358974358974359,0,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.55,0.6787620870933233,0.48717948717948717,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.6,0.6777620870933233,0.48717948717948717,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.65,0.6751106312045793,0.5128205128205128,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.7,0.6782388363327844,0.5384615384615384,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.75,0.6762388363327844,0.5384615384615384,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.8,0.6712388363327844,0.5384615384615384,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.85,0.6784952465891947,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.9,0.6809006519946001,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.95,0.6833060574000054,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.0,0.6791980241590083,0.5897435897435898,0,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,1.05,0.680900726861711,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.1,0.6797365407496869,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.15,0.6740338380469842,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.2,0.6710338380469842,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.25,0.6700338380469842,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.3,0.6659258048059871,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.35,0.667761618693963,0.5897435897435898,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.4,0.6762796543306426,0.6153846153846154,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.45,0.67837218754182,0.6153846153846154,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.5,0.6800748902445226,0.6153846153846154,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.55,0.689295628583905,0.6410256410256411,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,1.6,0.687295628583905,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.65,0.6842956285839049,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.7,0.6796335787224091,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.75,0.6780795621019106,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.8,0.677525545481412,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.85,0.6792282481841146,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.9,0.6776742315636162,0.6410256410256411,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.95,0.6863766251995276,0.6923076923076923,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.0,0.6885048303277328,0.717948717948718,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,2.05,0.6859508137072343,0.717948717948718,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.1,0.683842780466237,0.717948717948718,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.15,0.6859709855944421,0.7435897435897436,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,2.2,0.681862952353445,0.7435897435897436,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.25,0.6762009024919491,0.7435897435897436,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.3,0.673200902491949,0.7435897435897436,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.35,0.6706468858714503,0.7435897435897436,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.4,0.6736670577586583,0.7692307692307693,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.45,0.672559024517661,0.7692307692307693,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.5,0.6751332130253676,0.7948717948717948,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,2.55,0.6735791964048691,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.6,0.667768460461169,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.65,0.6625117411379676,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.7,0.6625523939791746,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.75,0.6615523939791746,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.8,0.658998377358676,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.85,0.6564443607381774,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.9,0.6503363274971801,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.95,0.6459464969887054,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,3.0,0.645392480368207,0.7948717948717948,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
offset,0.0,0.6711051026214648,0.41025641025641024,0,B0,panderm,False,False,aptos2019,탐색적/exploratory
offset,4.0515589714050275,0.6138151860629911,0.8205128205128205,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.07775354385376,0.6111637301742471,0.8461538461538461,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.396875381469727,0.6105324461727111,0.8974358974358975,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.5784852504730225,0.6087168041719428,0.9230769230769231,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,5.414639592170714,0.5744230709525793,0.9487179487179487,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,6.325725436210631,0.5531190682496847,0.9743589743589743,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,7.833559513092041,0.4785383643185887,1.0,0,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,0.0,0.6427510783418102,0.358974358974359,1,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.05,0.6417510783418103,0.358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.1,0.6441409088502849,0.358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.15,0.6458436115529876,0.358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.2,0.6428436115529876,0.358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.25,0.6428436115529876,0.358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.3,0.6469718166811926,0.38461538461538464,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.35,0.6498076305691687,0.38461538461538464,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.4,0.6515103332718714,0.38461538461538464,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.45,0.6519001637803459,0.38461538461538464,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.5,0.6516028664830487,0.38461538461538464,1,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.55,0.6506028664830487,0.38461538461538464,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.6,0.6537310716112537,0.41025641025641024,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.65,0.6612491072479334,0.4358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.7,0.6609518099506361,0.4358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.75,0.6609518099506361,0.4358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.8,0.6569518099506362,0.4358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.85,0.6553977933301376,0.4358974358974359,1,B0,panderm,False,False,aptos2019,탐색적/exploratory
