dataset,rep,fold,cls,cls_name,n_test_c,n_train_c,ncm_recall,head_arm,head_recall,ncm_minus_head,feat_deviation,within_var_std,cdnv_min_offdiag,cdnv_mean_offdiag,ncm_bacc,exploratory
aptos2019,frozen,0,0,no_dr,361,1444,0.8781163434903048,B0,0.9833795013850416,-0.10526315789473684,0.06405264435585144,661.6987710411904,0.9393252392498339,1.1794428247369433,0.6007962134811752,탐색적/exploratory
aptos2019,frozen,0,1,mild,74,296,0.6756756756756757,B0,0.5675675675675675,0.10810810810810811,0.18111424794943465,873.9241234967823,1.2870606812607097,3.2044130875086765,0.6007962134811752,탐색적/exploratory
aptos2019,frozen,0,2,moderate,200,799,0.385,B0,0.835,-0.44999999999999996,0.158162337921973,1037.0608585661341,1.3229547433675457,8.951188655712276,0.6007962134811752,탐색적/exploratory
aptos2019,frozen,0,3,severe,39,154,0.6923076923076923,B0,0.41025641025641024,0.28205128205128205,0.29770460636476714,1061.0933781216286,0.9393252392498339,7.079978068424374,0.6007962134811752,탐색적/exploratory
aptos2019,frozen,0,4,proliferative,59,236,0.3728813559322034,B0,0.559322033898305,-0.18644067796610164,0.29377070560811047,1087.3272438736167,1.1684306350696836,9.174911666506093,0.6007962134811752,탐색적/exploratory
aptos2019,frozen,1,0,no_dr,361,1444,0.8698060941828255,B0,0.9695290858725761,-0.09972299168975063,0.06177274766845745,681.0445288887639,1.033105650114428,1.2563519438672386,0.5620471391767228,탐색적/exploratory
aptos2019,frozen,1,1,mild,74,296,0.7162162162162162,B0,0.6756756756756757,0.04054054054054057,0.2247814176942267,821.7201742032423,1.208987831364898,3.6079449758382838,0.5620471391767228,탐색적/exploratory
aptos2019,frozen,1,2,moderate,200,799,0.415,B0,0.735,-0.32,0.13414560497631695,993.4415619520104,1.3872668069891134,7.854901007916139,0.5620471391767228,탐색적/exploratory
aptos2019,frozen,1,3,severe,39,154,0.48717948717948717,B0,0.358974358974359,0.1282051282051282,0.28815179267844854,1138.0191468615176,1.033105650114428,7.4236345990292385,0.5620471391767228,탐색적/exploratory
aptos2019,frozen,1,4,proliferative,59,236,0.3220338983050847,B0,0.4745762711864407,-0.15254237288135597,0.25439447154146416,1282.9579907480086,1.3960474870005144,8.554846865838435,0.5620471391767228,탐색적/exploratory
aptos2019,frozen,2,0,no_dr,361,1444,0.850415512465374,B0,0.9861495844875346,-0.1357340720221607,0.0713262723550246,691.2614034710357,1.0542135110116029,1.3208719571278784,0.5778851855752649,탐색적/exploratory
aptos2019,frozen,2,1,mild,74,296,0.7432432432432432,B0,0.6351351351351351,0.10810810810810811,0.23847302966877948,874.6335080399543,1.3163659443191058,3.1116736545165713,0.5778851855752649,탐색적/exploratory
aptos2019,frozen,2,2,moderate,200,799,0.455,B0,0.79,-0.335,0.19588875457529548,1011.139832970373,1.6205877878413162,5.906075878458415,0.5778851855752649,탐색적/exploratory
aptos2019,frozen,2,3,severe,38,155,0.5526315789473685,B0,0.39473684210526316,0.1578947368421053,0.30573514484037706,1127.928609415148,1.0542135110116029,5.270896192067885,0.5778851855752649,탐색적/exploratory
aptos2019,frozen,2,4,proliferative,59,236,0.288135593220339,B0,0.5423728813559322,-0.2542372881355932,0.3569135650086012,1382.785988404199,1.292320585339489,6.179739619272292,0.5778851855752649,탐색적/exploratory
aptos2019,frozen,3,0,no_dr,361,1444,0.8808864265927978,B0,0.9806094182825484,-0.09972299168975063,0.07473512294558873,670.6332249667602,0.9627238306787451,1.2121371803843997,0.5889899043604382,탐색적/exploratory
aptos2019,frozen,3,1,mild,74,296,0.7027027027027027,B0,0.6621621621621622,0.04054054054054057,0.19047612201539152,853.1580596376592,1.2433505885495115,3.3758492765536876,0.5889899043604382,탐색적/exploratory
aptos2019,frozen,3,2,moderate,200,799,0.385,B0,0.77,-0.385,0.13530526423035835,1079.934817717543,1.4715922436850881,8.311387694955476,0.5889899043604382,탐색적/exploratory
aptos2019,frozen,3,3,severe,38,155,0.5526315789473685,B0,0.3684210526315789,0.18421052631578955,0.29894766027296005,1087.1355979097366,0.9627238306787451,7.0902568193325095,0.5889899043604382,탐색적/exploratory
aptos2019,frozen,3,4,proliferative,59,236,0.423728813559322,B0,0.5084745762711864,-0.0847457627118644,0.2739674290854469,1125.9995942717678,1.1708820586242534,8.22915453237433,0.5889899043604382,탐색적/exploratory
aptos2019,frozen,4,0,no_dr,361,1444,0.8919667590027701,B0,0.9806094182825484,-0.08864265927977832,0.05734081336075564,644.1066647629683,1.148826485796643,1.3014056830608318,0.5346542066816287,탐색적/exploratory
aptos2019,frozen,4,1,mild,74,296,0.581081081081081,B0,0.47297297297297297,0.10810810810810806,0.21944853113428575,973.2893881210629,1.4825082373389145,4.643357862853165,0.5346542066816287,탐색적/exploratory
aptos2019,frozen,4,2,moderate,199,800,0.41708542713567837,B0,0.7537688442211056,-0.3366834170854272,0.13530576247315051,959.3106434104777,1.412614089376705,7.871003940589063,0.5346542066816287,탐색적/exploratory
aptos2019,frozen,4,3,severe,39,154,0.41025641025641024,B0,0.358974358974359,0.051282051282051266,0.3362625381391309,1091.3689629227472,1.148826485796643,8.264185479330976,0.5346542066816287,탐색적/exploratory
aptos2019,frozen,4,4,proliferative,59,236,0.3728813559322034,B0,0.5423728813559322,-0.1694915254237288,0.2644846428251946,1107.2622459604322,1.1616739197310655,8.785107227681351,0.5346542066816287,탐색적/exploratory
aptos2019,frozen,5,0,no_dr,361,1444,0.8753462603878116,B0,0.997229916897507,-0.12188365650969535,0.07367324366868204,659.8579805242592,0.9182347697667701,1.1885705458555156,0.5737490740116216,탐색적/exploratory
aptos2019,frozen,5,1,mild,74,296,0.6216216216216216,B0,0.5540540540540541,0.06756756756756754,0.2707588850617194,830.0478772796854,1.310165418736553,3.1684575259500645,0.5737490740116216,탐색적/exploratory
aptos2019,frozen,5,2,moderate,200,799,0.46,B0,0.75,-0.29,0.15281202505805028,999.6158250251646,1.4625269657394242,7.34351645011637,0.5737490740116216,탐색적/exploratory
aptos2019,frozen,5,3,severe,39,154,0.5897435897435898,B0,0.23076923076923078,0.358974358974359,0.3155216314108367,1005.296376516144,0.9182347697667701,6.231729039525864,0.5737490740116216,탐색적/exploratory
aptos2019,frozen,5,4,proliferative,59,236,0.3220338983050847,B0,0.576271186440678,-0.25423728813559326,0.30230221878799085,1020.0876382480363,1.0633550291793148,7.311901751927284,0.5737490740116216,탐색적/exploratory
aptos2019,frozen,6,0,no_dr,361,1444,0.8642659279778393,B0,0.9861495844875346,-0.12188365650969535,0.05877537031052392,684.9422671575514,0.9114565443088943,1.2713240773080545,0.56551291050953,탐색적/exploratory
aptos2019,frozen,6,1,mild,74,296,0.6621621621621622,B0,0.5945945945945946,0.06756756756756754,0.22596056489578104,871.2592680546489,1.424482609574929,3.7889949364608126,0.56551291050953,탐색적/exploratory
aptos2019,frozen,6,2,moderate,200,799,0.415,B0,0.765,-0.35000000000000003,0.1494240525447631,1074.1855945483608,1.485053318358974,6.543771322205938,0.56551291050953,탐색적/exploratory
aptos2019,frozen,6,3,severe,39,154,0.5641025641025641,B0,0.38461538461538464,0.17948717948717946,0.3941766084151758,1104.9672070356114,0.9114565443088943,5.409192211473159,0.56551291050953,탐색적/exploratory
aptos2019,frozen,6,4,proliferative,59,236,0.3220338983050847,B0,0.6101694915254238,-0.28813559322033905,0.2870358305716526,1281.4461495069725,1.2643038369894208,6.524933862207435,0.56551291050953,탐색적/exploratory
aptos2019,frozen,7,0,no_dr,361,1444,0.9030470914127424,B0,0.9833795013850416,-0.08033240997229918,0.10703738592424188,631.0675473737894,1.104818420444085,1.1676269123912069,0.6080136423103228,탐색적/exploratory
aptos2019,frozen,7,1,mild,74,296,0.7432432432432432,B0,0.6081081081081081,0.1351351351351351,0.17533405576391417,886.9955541381948,1.172118830768634,3.72219201540165,0.6080136423103228,탐색적/exploratory
aptos2019,frozen,7,2,moderate,200,799,0.425,B0,0.77,-0.34500000000000003,0.13974906886222954,957.0011641889942,1.2818869100349177,9.450190221617177,0.6080136423103228,탐색적/exploratory
aptos2019,frozen,7,3,severe,38,155,0.5789473684210527,B0,0.4473684210526316,0.13157894736842107,0.2572743552226836,1179.8918576158744,1.1116834883171907,8.063037633451628,0.6080136423103228,탐색적/exploratory
aptos2019,frozen,7,4,proliferative,59,236,0.3898305084745763,B0,0.4406779661016949,-0.05084745762711862,0.2956883327318104,1111.652118542138,1.104818420444085,9.989676730439937,0.6080136423103228,탐색적/exploratory
aptos2019,frozen,8,0,no_dr,361,1444,0.8559556786703602,B0,0.9778393351800554,-0.12188365650969524,0.09732331793958052,689.1220934810398,1.0205015392003467,1.3647891707712958,0.5760048879340864,탐색적/exploratory
aptos2019,frozen,8,1,mild,74,296,0.6891891891891891,B0,0.6351351351351351,0.05405405405405406,0.1747282374377866,865.3241265683228,1.4437139284754268,3.692146077001185,0.5760048879340864,탐색적/exploratory
aptos2019,frozen,8,2,moderate,200,799,0.4,B0,0.72,-0.31999999999999995,0.13419629525681684,1019.8357289825103,1.5639557387441207,6.756968133221417,0.5760048879340864,탐색적/exploratory
aptos2019,frozen,8,3,severe,38,155,0.5789473684210527,B0,0.3684210526315789,0.21052631578947373,0.30053031776264766,1144.5202899433918,1.0205015392003467,5.59237681077585,0.5760048879340864,탐색적/exploratory
aptos2019,frozen,8,4,proliferative,59,236,0.3559322033898305,B0,0.4915254237288136,-0.13559322033898308,0.32550566956103183,1268.2172043703956,1.430985476665289,7.303696964599272,0.5760048879340864,탐색적/exploratory
aptos2019,frozen,9,0,no_dr,361,1444,0.8725761772853186,B0,0.9722991689750693,-0.09972299168975074,0.07645142182105488,681.2090171595116,1.1724446026022235,1.2735962560836815,0.5555213914823833,탐색적/exploratory
aptos2019,frozen,9,1,mild,74,296,0.7162162162162162,B0,0.5405405405405406,0.17567567567567566,0.2502418030633714,939.8619900214514,1.1978567679376109,3.127887684676968,0.5555213914823833,탐색적/exploratory
aptos2019,frozen,9,2,moderate,199,800,0.3969849246231156,B0,0.7537688442211056,-0.35678391959799,0.19823939584308825,1029.8289292844497,1.40649018731027,7.268511169671168,0.5555213914823833,탐색적/exploratory
aptos2019,frozen,9,3,severe,39,154,0.4358974358974359,B0,0.20512820512820512,0.23076923076923078,0.38845999469831355,1054.6338592465222,1.1724446026022235,7.393932513653338,0.5555213914823833,탐색적/exploratory
aptos2019,frozen,9,4,proliferative,59,236,0.3559322033898305,B0,0.4745762711864407,-0.11864406779661019,0.25932952648369173,1303.5048686603552,1.3175934664846223,7.726771874054437,0.5555213914823833,탐색적/exploratory
aptos2019,frozen,10,0,no_dr,361,1444,0.9002770083102493,B0,0.9916897506925207,-0.09141274238227148,0.11619842702981065,636.3152909406967,1.0640582434058525,1.232635042502852,0.5692033984202161,탐색적/exploratory
aptos2019,frozen,10,1,mild,74,296,0.7432432432432432,B0,0.581081081081081,0.16216216216216217,0.23356162127083077,840.5181037449695,1.2133516385584122,3.6740293797432813,0.5692033984202161,탐색적/exploratory
aptos2019,frozen,10,2,moderate,200,799,0.445,B0,0.805,-0.36000000000000004,0.1398377589040539,1017.1474051807326,1.427132021636325,8.118067210911773,0.5692033984202161,탐색적/exploratory
aptos2019,frozen,10,3,severe,39,154,0.38461538461538464,B0,0.38461538461538464,0.0,0.34181493126114504,1140.799231831865,1.0640582434058525,6.462018414650613,0.5692033984202161,탐색적/exploratory
aptos2019,frozen,10,4,proliferative,59,236,0.3728813559322034,B0,0.559322033898305,-0.18644067796610164,0.3352538770741115,1156.3799659328913,1.2259982664108184,8.482135970017534,0.5692033984202161,탐색적/exploratory
aptos2019,frozen,11,0,no_dr,361,1444,0.8808864265927978,B0,0.9750692520775623,-0.09418282548476453,0.09086332461697458,644.0280828402554,0.9791914566689959,1.271019906427325,0.57657034591501,탐색적/exploratory
aptos2019,frozen,11,1,mild,74,296,0.5945945945945946,B0,0.6216216216216216,-0.027027027027026973,0.21745445010224657,949.1484251988454,1.459947466158843,4.249952321388011,0.57657034591501,탐색적/exploratory
aptos2019,frozen,11,2,moderate,200,799,0.36,B0,0.765,-0.405,0.12202013959171476,1012.8655801490037,1.3348474006963438,7.580328522534577,0.57657034591501,탐색적/exploratory
aptos2019,frozen,11,3,severe,39,154,0.5897435897435898,B0,0.3333333333333333,0.25641025641025644,0.35589978910434933,1111.6858723617595,0.9791914566689959,5.526698893481694,0.57657034591501,탐색적/exploratory
aptos2019,frozen,11,4,proliferative,59,236,0.4576271186440678,B0,0.423728813559322,0.03389830508474578,0.2530132561658543,1229.346645603265,1.3100933021851184,7.569407548837356,0.57657034591501,탐색적/exploratory
aptos2019,frozen,12,0,no_dr,361,1444,0.8642659279778393,B0,0.9833795013850416,-0.1191135734072023,0.07500656964165468,707.1102895137767,1.0887078136490744,1.2502458924517772,0.561640826938963,탐색적/exploratory
aptos2019,frozen,12,1,mild,74,296,0.7027027027027027,B0,0.6891891891891891,0.013513513513513598,0.18849066057956582,819.9022593511146,1.2520983759104105,2.7919994576580565,0.561640826938963,탐색적/exploratory
aptos2019,frozen,12,2,moderate,200,799,0.425,B0,0.775,-0.35000000000000003,0.15817512609561704,1001.9582173612963,1.4803854980761748,7.221870089390844,0.561640826938963,탐색적/exploratory
aptos2019,frozen,12,3,severe,38,155,0.5789473684210527,B0,0.3684210526315789,0.21052631578947373,0.32553499385417334,1033.1416430677464,1.0887078136490744,7.018861469633588,0.561640826938963,탐색적/exploratory
aptos2019,frozen,12,4,proliferative,59,236,0.23728813559322035,B0,0.3728813559322034,-0.13559322033898305,0.39412761243918487,1219.7390930387885,1.1797918821714486,7.072906964624491,0.561640826938963,탐색적/exploratory
aptos2019,frozen,13,0,no_dr,361,1444,0.8670360110803325,B0,0.9806094182825484,-0.11357340720221598,0.07208283407425939,673.2137259402419,1.0391083429141044,1.256664796017458,0.5560416502233958,탐색적/exploratory
aptos2019,frozen,13,1,mild,74,296,0.6891891891891891,B0,0.6486486486486487,0.04054054054054046,0.18967677853301637,857.9395400303655,1.308205950404681,3.5304260905706593,0.5560416502233958,탐색적/exploratory
aptos2019,frozen,13,2,moderate,200,799,0.385,B0,0.82,-0.43499999999999994,0.11763077050879722,1077.5639273079485,1.469813317438353,7.188661642474564,0.5560416502233958,탐색적/exploratory
