dataset,rep,space,fold,i,j,i_name,j_name,cdnv,exploratory
aptos2019,frozen,train_std,0,0,1,no_dr,mild,1.2870606812607097,탐색적/exploratory
aptos2019,frozen,train_std,0,0,2,no_dr,moderate,1.3229547433675457,탐색적/exploratory
aptos2019,frozen,train_std,0,0,3,no_dr,severe,0.9393252392498339,탐색적/exploratory
aptos2019,frozen,train_std,0,0,4,no_dr,proliferative,1.1684306350696836,탐색적/exploratory
aptos2019,frozen,train_std,0,1,2,mild,moderate,4.873495620572493,탐색적/exploratory
aptos2019,frozen,train_std,0,1,3,mild,severe,2.329610652477117,탐색적/exploratory
aptos2019,frozen,train_std,0,1,4,mild,proliferative,4.327485395724387,탐색적/exploratory
aptos2019,frozen,train_std,0,2,3,moderate,severe,11.727775002824654,탐색적/exploratory
aptos2019,frozen,train_std,0,2,4,moderate,proliferative,17.880529256084408,탐색적/exploratory
aptos2019,frozen,train_std,0,3,4,severe,proliferative,13.32320137914589,탐색적/exploratory
aptos2019,frozen,raw,0,0,1,no_dr,mild,1.0034088486736052,탐색적/exploratory
aptos2019,frozen,raw,0,0,2,no_dr,moderate,1.045343920874163,탐색적/exploratory
aptos2019,frozen,raw,0,0,3,no_dr,severe,0.7416740440455651,탐색적/exploratory
aptos2019,frozen,raw,0,0,4,no_dr,proliferative,0.9283378618193456,탐색적/exploratory
aptos2019,frozen,raw,0,1,2,mild,moderate,4.969769061099592,탐색적/exploratory
aptos2019,frozen,raw,0,1,3,mild,severe,2.31807425925559,탐색적/exploratory
aptos2019,frozen,raw,0,1,4,mild,proliferative,4.523899309833331,탐색적/exploratory
aptos2019,frozen,raw,0,2,3,moderate,severe,11.591593362803614,탐색적/exploratory
aptos2019,frozen,raw,0,2,4,moderate,proliferative,19.799607984947905,탐색적/exploratory
aptos2019,frozen,raw,0,3,4,severe,proliferative,13.166268309423048,탐색적/exploratory
aptos2019,frozen,train_std,1,0,1,no_dr,mild,1.208987831364898,탐색적/exploratory
aptos2019,frozen,train_std,1,0,2,no_dr,moderate,1.3872668069891134,탐색적/exploratory
aptos2019,frozen,train_std,1,0,3,no_dr,severe,1.033105650114428,탐색적/exploratory
aptos2019,frozen,train_std,1,0,4,no_dr,proliferative,1.3960474870005144,탐색적/exploratory
aptos2019,frozen,train_std,1,1,2,mild,moderate,6.035979013942089,탐색적/exploratory
aptos2019,frozen,train_std,1,1,3,mild,severe,3.1754827142964692,탐색적/exploratory
aptos2019,frozen,train_std,1,1,4,mild,proliferative,4.0113303437496795,탐색적/exploratory
aptos2019,frozen,train_std,1,2,3,moderate,severe,10.33514930491793,탐색적/exploratory
aptos2019,frozen,train_std,1,2,4,moderate,proliferative,13.661208905815421,탐색적/exploratory
aptos2019,frozen,train_std,1,3,4,severe,proliferative,15.150800726788127,탐색적/exploratory
aptos2019,frozen,raw,1,0,1,no_dr,mild,0.9509577915898523,탐색적/exploratory
aptos2019,frozen,raw,1,0,2,no_dr,moderate,1.0819707695187277,탐색적/exploratory
aptos2019,frozen,raw,1,0,3,no_dr,severe,0.8144087848553042,탐색적/exploratory
aptos2019,frozen,raw,1,0,4,no_dr,proliferative,1.1027179118828987,탐색적/exploratory
aptos2019,frozen,raw,1,1,2,mild,moderate,6.006478713405709,탐색적/exploratory
aptos2019,frozen,raw,1,1,3,mild,severe,3.1469792155309753,탐색적/exploratory
aptos2019,frozen,raw,1,1,4,mild,proliferative,3.8760074758932848,탐색적/exploratory
aptos2019,frozen,raw,1,2,3,moderate,severe,10.54143261001705,탐색적/exploratory
aptos2019,frozen,raw,1,2,4,moderate,proliferative,14.180126789401578,탐색적/exploratory
aptos2019,frozen,raw,1,3,4,severe,proliferative,16.91353661994524,탐색적/exploratory
aptos2019,frozen,train_std,2,0,1,no_dr,mild,1.3163659443191058,탐색적/exploratory
aptos2019,frozen,train_std,2,0,2,no_dr,moderate,1.6205877878413162,탐색적/exploratory
aptos2019,frozen,train_std,2,0,3,no_dr,severe,1.0542135110116029,탐색적/exploratory
aptos2019,frozen,train_std,2,0,4,no_dr,proliferative,1.292320585339489,탐색적/exploratory
aptos2019,frozen,train_std,2,1,2,mild,moderate,4.7150487534894285,탐색적/exploratory
aptos2019,frozen,train_std,2,1,3,mild,severe,2.356611383910897,탐색적/exploratory
aptos2019,frozen,train_std,2,1,4,mild,proliferative,4.058668536346854,탐색적/exploratory
aptos2019,frozen,train_std,2,2,3,moderate,severe,7.7967287452245655,탐색적/exploratory
aptos2019,frozen,train_std,2,2,4,moderate,proliferative,9.491938227278348,탐색적/exploratory
aptos2019,frozen,train_std,2,3,4,severe,proliferative,9.876031128124474,탐색적/exploratory
aptos2019,frozen,raw,2,0,1,no_dr,mild,1.0430577063867486,탐색적/exploratory
aptos2019,frozen,raw,2,0,2,no_dr,moderate,1.314942362151856,탐색적/exploratory
aptos2019,frozen,raw,2,0,3,no_dr,severe,0.8271681639122948,탐색적/exploratory
aptos2019,frozen,raw,2,0,4,no_dr,proliferative,0.9865463284546286,탐색적/exploratory
aptos2019,frozen,raw,2,1,2,mild,moderate,4.566297097187597,탐색적/exploratory
aptos2019,frozen,raw,2,1,3,mild,severe,2.2619056995499283,탐색적/exploratory
aptos2019,frozen,raw,2,1,4,mild,proliferative,3.7342339361563472,탐색적/exploratory
aptos2019,frozen,raw,2,2,3,moderate,severe,7.139029676520814,탐색적/exploratory
aptos2019,frozen,raw,2,2,4,moderate,proliferative,8.29443257144224,탐색적/exploratory
aptos2019,frozen,raw,2,3,4,severe,proliferative,11.128681724893738,탐색적/exploratory
aptos2019,frozen,train_std,3,0,1,no_dr,mild,1.2433505885495115,탐색적/exploratory
aptos2019,frozen,train_std,3,0,2,no_dr,moderate,1.4715922436850881,탐색적/exploratory
aptos2019,frozen,train_std,3,0,3,no_dr,severe,0.9627238306787451,탐색적/exploratory
aptos2019,frozen,train_std,3,0,4,no_dr,proliferative,1.1708820586242534,탐색적/exploratory
aptos2019,frozen,train_std,3,1,2,mild,moderate,5.719843936953841,탐색적/exploratory
aptos2019,frozen,train_std,3,1,3,mild,severe,2.883198163571349,탐색적/exploratory
aptos2019,frozen,train_std,3,1,4,mild,proliferative,3.657004417140049,탐색적/exploratory
aptos2019,frozen,train_std,3,2,3,moderate,severe,11.240244114264952,탐색적/exploratory
aptos2019,frozen,train_std,3,2,4,moderate,proliferative,14.813870484918024,탐색적/exploratory
aptos2019,frozen,train_std,3,3,4,severe,proliferative,13.274861168814994,탐색적/exploratory
aptos2019,frozen,raw,3,0,1,no_dr,mild,0.9827826092526416,탐색적/exploratory
aptos2019,frozen,raw,3,0,2,no_dr,moderate,1.1540747590276894,탐색적/exploratory
aptos2019,frozen,raw,3,0,3,no_dr,severe,0.7423521342965597,탐색적/exploratory
aptos2019,frozen,raw,3,0,4,no_dr,proliferative,0.918266778170039,탐색적/exploratory
aptos2019,frozen,raw,3,1,2,mild,moderate,5.654253248938599,탐색적/exploratory
aptos2019,frozen,raw,3,1,3,mild,severe,2.78436806166089,탐색적/exploratory
aptos2019,frozen,raw,3,1,4,mild,proliferative,3.57090021863662,탐색적/exploratory
aptos2019,frozen,raw,3,2,3,moderate,severe,10.7537672620052,탐색적/exploratory
aptos2019,frozen,raw,3,2,4,moderate,proliferative,15.095371301534385,탐색적/exploratory
aptos2019,frozen,raw,3,3,4,severe,proliferative,14.668031114048146,탐색적/exploratory
aptos2019,frozen,train_std,4,0,1,no_dr,mild,1.4825082373389145,탐색적/exploratory
aptos2019,frozen,train_std,4,0,2,no_dr,moderate,1.412614089376705,탐색적/exploratory
aptos2019,frozen,train_std,4,0,3,no_dr,severe,1.148826485796643,탐색적/exploratory
aptos2019,frozen,train_std,4,0,4,no_dr,proliferative,1.1616739197310655,탐색적/exploratory
aptos2019,frozen,train_std,4,1,2,mild,moderate,9.292209484881138,탐색적/exploratory
aptos2019,frozen,train_std,4,1,3,mild,severe,3.54303520840816,탐색적/exploratory
aptos2019,frozen,train_std,4,1,4,mild,proliferative,4.255678520784449,탐색적/exploratory
aptos2019,frozen,train_std,4,2,3,moderate,severe,9.710497970503813,탐색적/exploratory
