kind,dataset,rep,cls,cls_name,head_arm,ncm_recall,head_recall,feat_deviation,near_threshold,near,focus,exploratory,n_folds,mean_diff,sd,se_nb,ci_lo,ci_hi,p_nb,mde_post,wins,note,holm_p,holm_family,holm_note,space,spearman,med_abs_log2,rel_frob,rho_threshold,log2_threshold,highlight_cdnv,all_pairs_mean_cdnv,ratio_vs_all
P8_ncm_vs_head,aptos2019,cp,0.0,no_dr,B0cp,0.9340720221606649,0.9717451523545707,0.19825812153680805,0.05,True,False,탐색적/exploratory,5,-0.037673130193905814,0.009515547943112266,0.0063832236131871984,-0.05539580015012238,-0.019950460237689243,0.004124021171439497,0.02372905726479689,0.0,,0.04124021171439497,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,cp,1.0,mild,B0cp,0.6972972972972974,0.5351351351351352,0.46993504607164843,0.05,False,False,탐색적/exploratory,5,0.1621621621621622,0.061185034717144704,0.04104416904996605,0.04820527990647319,0.2761190444178512,0.016805057819684336,0.15257799143375964,5.0,,0.1344404625574747,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,cp,2.0,moderate,B0cp,0.5885929648241206,0.749748743718593,0.2857887716196973,0.05,False,False,탐색적/exploratory,5,-0.16115577889447236,0.0285531898726347,0.019154062058900925,-0.2143359807425626,-0.10797557704638211,0.0010923942371669046,0.07120349575568038,0.0,,0.013108730846002855,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,cp,3.0,severe,B0cp,0.6174089068825911,0.3632928475033738,0.6481238959922057,0.05,False,True,탐색적/exploratory,5,0.2541160593792173,0.12276400308512672,0.08235259682650117,0.025468595019950746,0.4827635237384838,0.03672717241992696,0.30613834081633456,5.0,,0.22036303451956174,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,cp,4.0,proliferative,B0cp,0.5220338983050847,0.4779661016949152,0.5520006632541066,0.05,True,False,탐색적/exploratory,5,0.044067796610169505,0.059442975988983654,0.03987556052887658,-0.06664450823724821,0.15478010145758722,0.33110071443106376,0.14823379480248797,4.0,잡음 수준 — 부호 해석 금지,0.6622014288621275,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,frozen,0.0,no_dr,B0,0.8744228993536473,0.9819021237303784,0.07783850744587097,0.05,False,False,탐색적/exploratory,15,-0.10747922437673131,0.015676950325219062,0.008821912735237122,-0.12640034537324044,-0.08855810338022219,7.6982513496589e-09,0.026579024528814013,0.0,,1.0777551889522459e-07,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,frozen,1.0,mild,B0,0.6837837837837838,0.6036036036036035,0.2130024410358483,0.05,False,False,탐색적/exploratory,15,0.0801801801801802,0.05582678697235914,0.03141548788137421,0.012800659977765694,0.1475597003825947,0.0230167268021788,0.09464988467280058,14.0,,0.1611170876152516,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,frozen,2.0,moderate,B0,0.41375041876046903,0.7727638190954774,0.14609330016665323,0.05,False,False,탐색적/exploratory,15,-0.35901340033500834,0.04329335241296759,0.024362530280437736,-0.4112658309644856,-0.3067609697055311,6.434104964070437e-10,0.07340044153024869,0.0,,9.651157446105656e-09,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,frozen,3.0,severe,B0,0.5424651372019794,0.3595141700404858,0.3300445763685315,0.05,False,True,탐색적/exploratory,15,0.18295096716149353,0.08945061723452509,0.05033667409704261,0.0749895386440996,0.2909123956788875,0.0027065214183715756,0.15165641915502934,14.0,,0.029771735602087332,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
P8_ncm_vs_head,aptos2019,frozen,4.0,proliferative,B0,0.3570621468926553,0.5107344632768361,0.3019980864505431,0.05,False,False,탐색적/exploratory,15,-0.15367231638418083,0.08215574033149654,0.04623161755748791,-0.25282927428238794,-0.05451535848597373,0.0050172407172258,0.1392885345781185,1.0,,0.045155166455032196,w11-9 P8 aptos2019 (15칸 · 표현×클래스),서술용 · 게이트 아님,,,,,,,,,
