dataset,arm,base,row,from_pred,to_pred,n,exploratory,n_moderate_images,base_recall_moderate,arm_recall_moderate,delta_recall_moderate_pt,n_lost_from_moderate_cell,n_to_severe_or_prolif,n_to_mild_or_nodr,share_decision_neutral,wilson_lo,wilson_hi,share_by_repeat_min,share_by_repeat_max,share_by_fold_mean,share_by_fold_sd,n_referral_lost,n_referral_gained,p6a_threshold,p6a_supported
aptos2019,B1,B0,transition,no_dr,no_dr,20.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,no_dr,mild,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,no_dr,moderate,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,mild,mild,288.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,mild,severe,5.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,mild,proliferative,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,moderate,no_dr,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,moderate,mild,103.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,moderate,moderate,1991.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,moderate,severe,112.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,moderate,proliferative,107.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,severe,severe,162.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,severe,proliferative,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,proliferative,mild,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,proliferative,moderate,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,proliferative,severe,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1,B0,transition,proliferative,proliferative,185.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,no_dr,no_dr,32.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,no_dr,mild,9.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,no_dr,moderate,5.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,mild,mild,308.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,mild,moderate,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,mild,severe,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,mild,proliferative,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,moderate,no_dr,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,moderate,mild,55.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,moderate,moderate,2017.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,moderate,severe,54.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,moderate,proliferative,47.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,severe,mild,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,severe,moderate,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,severe,severe,213.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,severe,proliferative,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,proliferative,mild,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,proliferative,moderate,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,proliferative,severe,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B1d,B0d,transition,proliferative,proliferative,231.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,no_dr,no_dr,11.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
