family,family_label,dataset,arm,contrast,n_folds,mean_a,mean_b,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,holm_p,sig_nb,sig_holm,mde_floor,mde_post,tost_p,equivalent,noise_flag,note,passes_w11_gate,exploratory
repr,F1 표현 (patch-mean − CLS) · w11 게이트 묶음,aptos2019,B0,B0 patch-mean − B0 CLS,15,0.6430552870817005,0.6457036359493563,-0.002648348867655888,0.021699787471481973,4,-0.028838666233524414,0.02354196849821264,0.8314309075681733,0.012211152518526,1.0,False,False,0.019,0.03679026669790197,0.08860793979888364,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
repr,F1 표현 (patch-mean − CLS) · w11 게이트 묶음,aptos2019,B1,B1 patch-mean − B1 CLS,15,0.6616010431128665,0.6554548011915637,0.006146241921302716,0.026239514671880657,9,-0.025523248744726595,0.03781573258733203,0.6835389730730423,0.014765799715390158,1.0,False,False,0.019,0.04448701371249294,0.18201511398901324,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
repr,F1 표현 (patch-mean − CLS) · w11 게이트 묶음,aptos2019,B3,B3 patch-mean − B3 CLS,15,0.6586085468571558,0.6636538848253793,-0.005045337968223803,0.016065794482905786,5,-0.024435770100109847,0.01434509416366224,0.5856126669094042,0.009040727565644587,1.0,False,False,0.019,0.02723827892400181,0.06016810072103383,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
repr,F1 표현 (patch-mean − CLS) · w11 게이트 묶음,aptos2019,B4,B4 patch-mean − B4 CLS,15,0.6602003265944643,0.6649790345496154,-0.00477870795515111,0.026137993755610937,8,-0.03632566907936477,0.026768253169062547,0.7500679224446307,0.014708670704609787,1.0,False,False,0.019,0.04431489305970374,0.15914190654116142,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
repr,F1 표현 (patch-mean − CLS) · w11 게이트 묶음,oral_diseases,A0,A0 patch-mean − A0 CLS,15,0.7162135963451753,0.7438928663928664,-0.02767927004769112,0.03521158258155568,4,-0.07017749838183482,0.01481895828645257,0.18419140352453578,0.019814664354990803,1.0,False,False,0.032,0.05969844247244885,0.6479131464086519,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
repr,F1 표현 (patch-mean − CLS) · w11 게이트 묶음,oral_diseases,A2,A2 patch-mean − A2 CLS,15,0.7203875899928532,0.7470267743951955,-0.026639184402342312,0.04045894019254859,5,-0.07547065269769399,0.022192283893009365,0.26151350718070304,0.02276751742745947,1.0,False,False,0.032,0.06859492066244978,0.6125686455744663,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
lever,F2 레버 (patch-mean 안에서) · 별도 Holm,aptos2019,B1,B1 − B0 (둘 다 patch-mean),15,0.6616010431128665,0.6430552870817005,0.018545756031166,0.021491773867543147,12,-0.007393501626825869,0.04448501368915787,0.14744727865926507,0.012094096724916802,0.5897891146370603,False,False,0.019,0.03643759614867384,0.45299918443553566,False,False,,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
lever,F2 레버 (patch-mean 안에서) · 별도 Holm,aptos2019,B3,B3 − B0 (둘 다 patch-mean),15,0.6586085468571558,0.6430552870817005,0.015553259775455245,0.021706475940614044,12,-0.010645130163911574,0.041751649714822064,0.2236479986580999,0.012214916330351095,0.6709439959742997,False,False,0.019,0.03680160646625191,0.3606329887973839,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
lever,F2 레버 (patch-mean 안에서) · 별도 Holm,aptos2019,B4,B4 − B0 (둘 다 patch-mean),15,0.6602003265944643,0.6430552870817005,0.017145039512763843,0.024137516135150642,11,-0.011987467376263036,0.04627754640179072,0.22748208949725623,0.013582939064821043,0.6709439959742997,False,False,0.019,0.04092324209184787,0.4182748839376821,False,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
lever,F2 레버 (patch-mean 안에서) · 별도 Holm,oral_diseases,A2,A2 − A0 (둘 다 patch-mean),15,0.7203875899928532,0.7162135963451753,0.004173993647677869,0.00942992618909818,7,-0.0072073509831748536,0.015555338278530591,0.44463973786458405,0.0053065158856902125,0.6709439959742997,False,False,0.032,0.015987691118836522,0.004945527669143292,True,True,잡음 수준 — 부호 해석 금지,False,탐색적/exploratory (사후 표현 · §B 판정 불변)
