family,dataset,base_arm,tau,class_idx,class_name,recall_base,recall_arm,delta,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,zero_var,all_zero,noise_flag,note,exploratory
panderm,aptos2019,B0,0.5,0,no_dr,0.9819021237303784,0.9785780240073869,-0.0033240997229916952,0.0021456971447132503,0,-0.005913825049331035,-0.0007343743966523554,0.015553432151982937,0.0012074512308976936,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,0.5,1,mild,0.6036036036036035,0.6504504504504504,0.046846846846846875,0.021589422613999487,15,0.02078973311936899,0.07290396057432476,0.001746729153718023,0.012149046744025897,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,0.5,2,moderate,0.7727638190954774,0.6940251256281407,-0.07873869346733668,0.01714903387432447,0,-0.09943652934599906,-0.058040857588674305,1.0879504232378564e-06,0.009650300421603322,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,0.5,3,severe,0.3595141700404858,0.4233468286099865,0.06383265856950067,0.04230905288274336,14,0.012768217320727124,0.11489709981827421,0.01790794676739782,0.023808633994435963,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,0.5,4,proliferative,0.5107344632768361,0.5310734463276836,0.020338983050847453,0.02237581608164247,11,-0.006667259534186426,0.04734522563588133,0.12855326037623496,0.01259157506765953,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,1.0,0,no_dr,0.9819021237303784,0.9732225300092335,-0.008679593721144966,0.005426885662251829,0,-0.015229513068947233,-0.0021296743733426986,0.013050308530135444,0.0030538791501736906,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,1.0,1,mild,0.6036036036036035,0.6828828828828828,0.0792792792792793,0.031012458519024347,15,0.0418491370727478,0.1167094214858108,0.00045998790745277956,0.017451685250279753,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,1.0,2,moderate,0.7727638190954774,0.6182864321608039,-0.15447738693467336,0.03246497736526619,0,-0.19366063062263522,-0.1152941432467115,7.144349172519848e-07,0.018269063263350274,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,1.0,3,severe,0.3595141700404858,0.49955015744489434,0.14003598740440845,0.06509628567626109,15,0.06146874874176707,0.21860322606704985,0.001864938451564873,0.0366317261782876,False,False,False,—,탐색적/exploratory
panderm,aptos2019,B0,1.0,4,proliferative,0.5107344632768361,0.5581920903954802,0.047457627118644076,0.04061738830769391,14,-0.001565078368644779,0.09648033260593293,0.05676293692534269,0.02285668116248938,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,0,no_dr,0.979870729455217,0.975623268698061,-0.004247460757156067,0.003606684469095778,0,-0.00860050850051797,0.00010558698620583614,0.05506512110864053,0.0020295947228150305,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,1,mild,0.5540540540540541,0.5882882882882882,0.034234234234234225,0.015208957672192908,15,0.015877951770072844,0.05259051669839561,0.0013160491938698261,0.008558558558558556,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,2,moderate,0.7257252931323283,0.6753417085427137,-0.0503835845896147,0.01727200203094249,0,-0.07122983551851451,-0.029537333660714888,0.00013864348634823128,0.00971949846869747,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,3,severe,0.3526765632028791,0.4008996851102114,0.04822312190733243,0.02535643444602554,14,0.017619455107323177,0.0788267887073417,0.004491470041474959,0.014268862713671459,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,4,proliferative,0.5288135593220339,0.5457627118644067,0.016949152542372874,0.024811018803776258,8,-0.012996230908751488,0.04689453599349724,0.2448473434922836,0.013961940187252775,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,0,no_dr,0.979870729455217,0.9680517082179132,-0.011819021237303799,0.006322543291693529,0,-0.01944994460862785,-0.004188097865979749,0.0050377548428081325,0.0035578938522470424,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,1,mild,0.5540540540540541,0.6189189189189189,0.06486486486486485,0.028068727982510932,15,0.030987625519350158,0.09874210421037954,0.001068212842630664,0.015795155544537302,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,2,moderate,0.7257252931323283,0.6192780569514238,-0.10644723618090453,0.020791875970392042,0,-0.13154175984902752,-0.08135271251278153,2.973344499526183e-07,0.011700242177689568,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,3,severe,0.3526765632028791,0.4455690508322087,0.09289248762932972,0.044823148301373315,15,0.03879368685106638,0.14699128840759307,0.0024597342829986405,0.025223394514250458,False,False,False,—,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,4,proliferative,0.5288135593220339,0.5717514124293785,0.042937853107344624,0.039938119876151784,12,-0.005265016894362443,0.09114072310905169,0.07676519969847628,0.02247443546402428,False,False,False,—,탐색적/exploratory
panderm,oral_diseases,A0,0.5,0,CaS,0.8902777777777778,0.8902777777777778,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
panderm,oral_diseases,A0,0.5,1,CoS,0.9733333333333334,0.9733333333333334,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
panderm,oral_diseases,A0,0.5,2,Gum,0.6769230769230768,0.6935897435897437,0.016666666666666673,0.034503277967117725,3,-0.024976681283592216,0.05831001461692556,0.405131504746974,0.01941607908369059,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,0.5,3,MC,0.6148148148148148,0.6148148148148148,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
panderm,oral_diseases,A0,0.5,4,OC,0.6793939393939393,0.6975757575757575,0.018181818181818184,0.03763993960049205,3,-0.02724728867300968,0.06361092503664605,0.40513150474697424,0.02118117718220791,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,0.5,5,OLP,0.6592592592592592,0.652046783625731,-0.007212475633528263,0.01904169444762862,0,-0.03019463716034949,0.015769685893292962,0.5118443305018419,0.010715360019850136,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,0.5,6,OT,0.7132478632478633,0.7188034188034188,0.0055555555555555506,0.021516574145596743,1,-0.02041363452245836,0.03152474563356946,0.6533976653313036,0.012108052620946306,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,1.0,0,CaS,0.8902777777777778,0.8902777777777778,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
panderm,oral_diseases,A0,1.0,1,CoS,0.9733333333333334,0.9733333333333334,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
panderm,oral_diseases,A0,1.0,2,Gum,0.6769230769230768,0.6991452991452992,0.022222222222222233,0.038144809018088636,4,-0.023816231166185885,0.06826067561063034,0.31809817512822874,0.021465283073489723,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,1.0,3,MC,0.6148148148148148,0.6074074074074074,-0.0074074074074073955,0.01954809862636099,0,-0.031000767830707814,0.01618595301589302,0.5116693012006673,0.011000329569466538,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,1.0,4,OC,0.6793939393939393,0.7036363636363636,0.024242424242424246,0.041612518928823956,4,-0.025981343090384607,0.0744661915752331,0.31809817512822874,0.023416672443806966,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,1.0,5,OLP,0.6592592592592592,0.6415204678362573,-0.017738791423001946,0.02597633723469332,0,-0.04909064300558259,0.013613060159578704,0.24501001658787935,0.014617701498799197,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
panderm,oral_diseases,A0,1.0,6,OT,0.7132478632478633,0.7188034188034188,0.0055555555555555506,0.021516574145596743,1,-0.02041363452245836,0.03152474563356946,0.6533976653313036,0.012108052620946306,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
