row_kind,design_K,rho,family,dataset,arm,base,source,n_folds_archived,mean_diff,abs_obs_delta,wins,sd,sd_ci_lo,sd_ci_hi,se_nb_design_R3,ttest_p_nb,r10_noise,r10_note,mde_inf,mde_inf_lo,mde_inf_hi,irreducible_share_n15,mde_floor_target,R_min_floor,R_min_floor_status,R_min_obs_delta,R_min_obs_delta_status,exploratory,mde80_R3,mde80_R5,mde80_R10,mde80_R20,mde80_R50,mde80_R100,note
primary_K5,5,0.25,aptos_wave1,aptos2019,B1,B0,arm_stats.csv,15,0.009751165242207397,0.009751165242207397,11,0.013488027591129157,0.009874943574887201,0.02127195499225515,0.007590137106449578,0.21974223648336125,True,잡음 수준 — 부호 해석 금지,0.01889392936040366,0.013832747974551807,0.029797597333333193,0.7894736842105263,0.019,107.0,reached,,unreachable_asymptote,탐색적/exploratory,0.022867879833313978,0.02121497027949249,0.020034695688542232,0.019459978655888676,0.019119384069589927,0.019006502064064023,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_wave1,aptos2019,B1,B0,arm_stats.csv,15,0.009751165242207397,0.009751165242207397,11,0.013488027591129157,0.009874943574887201,0.02127195499225515,0.005126239197488196,0.21974223648336125,True,잡음 수준 — 부호 해석 금지,0.01259595290693577,0.009221831983034537,0.019865064888888794,0.625,0.019,2.0,reached,,unreachable_asymptote,탐색적/exploratory,0.014863128799573272,0.013961131478848258,0.013281516919265003,0.012939680464875898,0.0127336984504717,0.012664870480567268,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_wave1,aptos2019,B2,B0,arm_stats.csv,15,0.00035650141390869785,0.00035650141390869785,7,0.01950572869875835,0.01428066253467469,0.030762465465596776,0.010976486679353688,0.9745488470798206,True,잡음 수준 — 부호 해석 금지,0.027323480595481647,0.02000424653100214,0.0430918342605633,0.7894736842105263,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.033070414256699196,0.03068005694888704,0.028973201309278544,0.028142073522672558,0.027649522217322423,0.027486277757753842,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_wave1,aptos2019,B2,B0,arm_stats.csv,15,0.00035650141390869785,0.00035650141390869785,7,0.01950572869875835,0.01428066253467469,0.030762465465596776,0.007413317503658419,0.9745488470798206,True,잡음 수준 — 부호 해석 금지,0.018215653730321097,0.013336164354001428,0.028727889507042196,0.625,0.019,13.0,reached,,unreachable_asymptote,탐색적/exploratory,0.021494333105446118,0.020189908503242582,0.019207083021207265,0.018712735786698003,0.018414854627822372,0.01831531896934514,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_wave1,aptos2019,B3,B0,arm_stats.csv,15,0.01795024887602316,0.01795024887602316,15,0.012030525455120893,0.00880786751383102,0.018973329813087046,0.006769954839583402,0.018975038676836788,False,,0.016852271140599243,0.012337995714923203,0.026577700171363378,0.7894736842105263,0.019,5.0,reached,10.0,reached,탐색적/exploratory,0.020396800687171365,0.01892250280870764,0.017869767453999576,0.017357153742015664,0.017053363450020835,0.016952679355795107,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_wave1,aptos2019,B3,B0,arm_stats.csv,15,0.01795024887602316,0.01795024887602316,15,0.012030525455120893,0.00880786751383102,0.018973329813087046,0.0045723031583194875,0.018975038676836788,False,,0.011234847427066161,0.008225330476615469,0.017718466780908916,0.625,0.019,1.0,reached,1.0,reached,탐색적/exploratory,0.013257034667070797,0.012452506232196455,0.011846330110187746,0.011541432145067844,0.011357708331423173,0.011296317839865747,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,aptos_wave1,aptos2019,B4,B0,arm_stats.csv,15,0.019275398600259064,0.019275398600259064,12,0.021035300831050235,0.015400502955970698,0.03317475216472243,0.011837224998567633,0.12573345815091055,False,,0.02946609393341489,0.021572910716476292,0.04647094763962378,0.7894736842105263,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.03566368235919337,0.033085881455670665,0.03124518006948637,0.030348878101469412,0.029817702617447327,0.029641657089025414,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,aptos_wave1,aptos2019,B4,B0,arm_stats.csv,15,0.019275398600259064,0.019275398600259064,12,0.021035300831050235,0.015400502955970698,0.03317475216472243,0.007994644355710318,0.12573345815091055,False,,0.01964406262227659,0.01438194047765086,0.030980631759749185,0.625,0.019,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.023179844753231014,0.02177313166178311,0.020713236386998995,0.02018012414323227,0.019858884168780577,0.019751543266432307,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
primary_K5,5,0.25,oral_wave1,oral_diseases,A1,A0,arm_stats.csv,15,-0.003988823067770457,0.003988823067770457,7,0.02993775349659571,0.02191822522161786,0.047214801470872446,0.01684691495201997,0.8162654961368381,True,잡음 수준 — 부호 해석 금지,0.041936583829786184,0.030702887894077716,0.06613814493846734,0.7894736842105263,0.032,,unreachable_asymptote,,unreachable_asymptote,탐색적/exploratory,0.050757084000167985,0.04708831935388118,0.04446860572092544,0.043192975408218114,0.04243699854666476,0.042186447928140046,사전 등록 설계(K=5·R=3)
sensitivity_K10_exploratory,10,0.1111111111111111,oral_wave1,oral_diseases,A1,A0,arm_stats.csv,15,-0.003988823067770457,0.003988823067770457,7,0.02993775349659571,0.02191822522161786,0.047214801470872446,0.011378096939831406,0.8162654961368381,True,잡음 수준 — 부호 해석 금지,0.02795772255319079,0.020468591929385143,0.04409209662564489,0.625,0.032,4.0,reached,,unreachable_asymptote,탐색적/exploratory,0.03298990035299344,0.030987845326043834,0.02947938658216624,0.028720653295293233,0.028263459778279605,0.028110690607046213,탐색적 감도 — K=10 은 사전 등록 설계가 아니다 / exploratory sensitivity only
