dataset,arm,target_prior,target_prior_source,target_assumed,method,source_prior,class_names,bacc,bacc_weighted,acc,acc_weighted,em_prior_l1_err,em_min_prior,em_degenerate,changed_vs_raw,changed_vs_argmax_p,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,recw_0,recw_1,recw_2,recw_3,recw_4,recw_5,recw_6,n_folds,bacc_sd,exploratory
aptos2019,B0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.8158685481779162,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.35951417004048597,0.5107344632768361,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,em,train,no_dr|mild|moderate|severe|proliferative,0.6472231308310298,0.6472231308310298,0.8162193694600377,0.8162495044425033,0.04333632236172503,0.054436577608189866,0.0,0.008737702433048306,0.008737702433048306,0.9822714681440444,0.6063063063063063,0.7717721943048576,0.3684210526315789,0.5073446327683616,,,0.9822714681440442,0.6063063063063063,0.7717721943048576,0.3684210526315791,0.5073446327683616,,,15,0.02682327220591124,탐색적/exploratory
aptos2019,B0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,em,uniform,no_dr|mild|moderate|severe|proliferative,0.5786232349827718,0.5786232349827717,0.8214076443092613,0.8214412971965744,0.19496709651823577,0.021045127481960395,0.0,0.0989453725861482,0.0989453725861482,0.9883656509695291,0.409009009009009,0.920929648241206,0.16464237516869096,0.4101694915254237,,,0.988365650969529,0.409009009009009,0.920929648241206,0.164642375168691,0.4101694915254237,,,15,0.019182237970067476,탐색적/exploratory
aptos2019,B0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,oracle,train,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.8158685481779162,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.35951417004048597,0.5107344632768361,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.6074320352072322,0.6074320352072322,0.8243207916166564,0.8243386362640759,,,,0.06708687754244975,0.06708687754244975,0.9878116343490305,0.5036036036036037,0.8772194304857622,0.23688708951866846,0.43163841807909603,,,0.9878116343490304,0.5036036036036037,0.8772194304857622,0.23688708951866858,0.43163841807909603,,,15,0.020207271294676258,탐색적/exploratory
aptos2019,B0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,raw,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.8158685481779162,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.35951417004048597,0.5107344632768361,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.842012338664477,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036037,0.7727638190954773,0.35951417004048575,0.5107344632768362,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,em,train,no_dr|mild|moderate|severe|proliferative,0.6341725467363305,0.6341725467363305,0.8199505736586675,0.8534397352180079,0.08656100168145288,0.040226581973596236,0.0,0.025670510937659197,0.025670510937659197,0.9839335180055401,0.5540540540540541,0.8144941373534338,0.32685560053981105,0.4915254237288135,,,0.9839335180055401,0.5540540540540541,0.8144941373534338,0.326855600539811,0.49152542372881364,,,15,0.02617537634546775,탐색적/exploratory
aptos2019,B0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,em,uniform,no_dr|mild|moderate|severe|proliferative,0.5542884414904067,0.5542884414904067,0.814762298809444,0.8780210292049546,0.10438233289063924,0.011271143111451923,0.0,0.11878971315824133,0.11878971315824133,0.9881809787626962,0.3297297297297297,0.9396130653266331,0.11956815114709851,0.3943502824858757,,,0.9881809787626961,0.32972972972972975,0.939613065326633,0.11956815114709851,0.3943502824858757,,,15,0.016929717480570344,탐색적/exploratory
aptos2019,B0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,oracle,train,no_dr|mild|moderate|severe|proliferative,0.6186267294985381,0.6186267294985381,0.8215889239271701,0.8623867671601239,,,,0.04833555739444407,0.04833555739444407,0.9846722068328717,0.5153153153153153,0.8465226130653266,0.2471884840305893,0.4994350282485876,,,0.9846722068328716,0.5153153153153153,0.8465226130653266,0.2471884840305893,0.4994350282485876,,,15,0.024615769131010427,탐색적/exploratory
aptos2019,B0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.5758376714332242,0.5758376714332241,0.8206789226101283,0.8784785673162587,,,,0.10249616691143763,0.10249616691143763,0.9883656509695291,0.3846846846846847,0.922926298157454,0.1470535312640576,0.4361581920903955,,,0.988365650969529,0.38468468468468475,0.9229262981574539,0.1470535312640576,0.4361581920903955,,,15,0.01994522619778268,탐색적/exploratory
aptos2019,B0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,raw,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.842012338664477,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036037,0.7727638190954773,0.35951417004048575,0.5107344632768362,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.7266944244607808,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303787,0.6036036036036035,0.7727638190954773,0.3595141700404858,0.5107344632768362,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,em,train,no_dr|mild|moderate|severe|proliferative,0.6476724277348661,0.6476724277348661,0.8117603133068434,0.7353014751195265,0.10284711105593418,0.06242857310182246,0.0,0.03923318348876911,0.03923318348876911,0.9809787626962142,0.5441441441441441,0.766787269681742,0.4357174988753936,0.5107344632768361,,,0.9809787626962142,0.5441441441441441,0.766787269681742,0.4357174988753936,0.5107344632768362,,,15,0.024117252886110198,탐색적/exploratory
aptos2019,B0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,em,uniform,no_dr|mild|moderate|severe|proliferative,0.5717480504497577,0.5717480504497577,0.8162192452108137,0.7293989341299253,0.3147997629450664,0.030337636844459292,0.0,0.10650096790145545,0.10650096790145545,0.9878116343490305,0.2954954954954955,0.929606365159129,0.21983805668016196,0.42598870056497173,,,0.9878116343490305,0.2954954954954955,0.929606365159129,0.21983805668016196,0.4259887005649718,,,15,0.014829081161068574,탐색적/exploratory
aptos2019,B0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,oracle,train,no_dr|mild|moderate|severe|proliferative,0.6478804818188699,0.6478804818188699,0.8094845645188946,0.7405712557486371,,,,0.053795938044366914,0.053795938044366914,0.9822714681440444,0.5117117117117117,0.7631155778894473,0.4907782276203329,0.4915254237288135,,,0.9822714681440444,0.5117117117117116,0.7631155778894472,0.4907782276203329,0.49152542372881364,,,15,0.027342606450022632,탐색적/exploratory
aptos2019,B0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.6078258090161525,0.6078258090161526,0.8201323502734726,0.7412112387576831,,,,0.07209287877997202,0.07209287877997202,0.9876269621421976,0.3972972972972973,0.8815460636515913,0.34215024741340533,0.43050847457627117,,,0.9876269621421976,0.3972972972972973,0.8815460636515913,0.3421502474134053,0.4305084745762712,,,15,0.023128449818213524,탐색적/exploratory
aptos2019,B0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,raw,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.7266944244607808,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303787,0.6036036036036035,0.7727638190954773,0.3595141700404858,0.5107344632768362,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,uniform,정의상 균등,False,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.6457036359493563,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036038,0.7727638190954774,0.3595141700404857,0.5107344632768361,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,uniform,정의상 균등,False,em,train,no_dr|mild|moderate|severe|proliferative,0.6570028801856292,0.6570028801856292,0.7981982620018538,0.6570028801856292,0.1828614789354435,0.1399512494000286,0.0,0.05388465199034832,0.05388465199034832,0.9739612188365652,0.6531531531531531,0.6803601340033502,0.43742690058479533,0.5401129943502825,,,0.9739612188365652,0.6531531531531533,0.6803601340033502,0.43742690058479516,0.5401129943502825,,,15,0.03059632033732178,탐색적/exploratory
aptos2019,B0,uniform,정의상 균등,False,em,uniform,no_dr|mild|moderate|severe|proliferative,0.6055058991196111,0.6055058991196111,0.8243217856104489,0.6055058991196111,0.5191785107759285,0.07585930561962674,0.0,0.07018105596930548,0.07018105596930548,0.984118190212373,0.4864864864864865,0.889571189279732,0.2266756635177688,0.4406779661016949,,,0.984118190212373,0.48648648648648657,0.889571189279732,0.22667566351776872,0.4406779661016949,,,15,0.022882968949447607,탐색적/exploratory
aptos2019,B0,uniform,정의상 균등,False,oracle,train,no_dr|mild|moderate|severe|proliferative,0.666426818578659,0.6664268185786589,0.7886427511760189,0.666426818578659,,,,0.08200883660481541,0.08200883660481541,0.9732225300092335,0.6828828828828829,0.618286432160804,0.4995501574448943,0.5581920903954802,,,0.9732225300092335,0.6828828828828829,0.618286432160804,0.49955015744489406,0.5581920903954801,,,15,0.026377061134656266,탐색적/exploratory
aptos2019,B0,uniform,정의상 균등,False,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.6457036359493563,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036038,0.7727638190954774,0.3595141700404857,0.5107344632768361,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B0,uniform,정의상 균등,False,raw,none,no_dr|mild|moderate|severe|proliferative,0.6457036359493563,0.6457036359493563,0.8158551949843073,0.6457036359493563,,,,0.0,0.0,0.9819021237303786,0.6036036036036037,0.7727638190954774,0.3595141700404858,0.5107344632768361,,,0.9819021237303786,0.6036036036036038,0.7727638190954774,0.3595141700404857,0.5107344632768361,,,15,0.023781318322433458,탐색적/exploratory
aptos2019,B1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.6554548011915636,0.6554548011915637,0.7960137121443677,0.7960251316312842,,,,0.0,0.0,0.9758079409048938,0.664864864864865,0.6656633165829146,0.4285650022492128,0.5423728813559322,,,0.9758079409048938,0.6648648648648648,0.6656633165829147,0.42856500224921296,0.5423728813559322,,,15,0.026699528822883723,탐색적/exploratory
aptos2019,B1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,em,train,no_dr|mild|moderate|severe|proliferative,0.662530937475738,0.662530937475738,0.7847274096273268,0.7847611459206401,0.16038628578283518,0.07946235920953819,0.0,0.03413250434251038,0.03413250434251038,0.9746999076638966,0.6990990990990991,0.5982814070351758,0.4789923526765632,0.5615819209039548,,,0.9746999076638966,0.6990990990990991,0.598281407035176,0.47899235267656337,0.5615819209039548,,,15,0.031805741354298755,탐색적/exploratory
aptos2019,B1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,em,uniform,no_dr|mild|moderate|severe|proliferative,0.627103453378578,0.627103453378578,0.8194984307323001,0.8195237052732577,0.06748807538732539,0.04131144871878238,0.0,0.08319479544850242,0.08319479544850242,0.9839335180055401,0.555855855855856,0.8224958123953099,0.2975258659469186,0.4757062146892655,,,0.9839335180055401,0.555855855855856,0.8224958123953099,0.2975258659469187,0.4757062146892655,,,15,0.026366410551527542,탐색적/exploratory
aptos2019,B1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,oracle,train,no_dr|mild|moderate|severe|proliferative,0.655388134524897,0.655388134524897,0.7959227617123531,0.7959341977153913,,,,9.095043201455206e-05,9.095043201455206e-05,0.9758079409048938,0.664864864864865,0.6653299832495813,0.4285650022492128,0.5423728813559322,,,0.9758079409048938,0.6648648648648648,0.6653299832495813,0.42856500224921296,0.5423728813559322,,,15,0.02657656562436511,탐색적/exploratory
aptos2019,B1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.6326949655042013,0.6326949655042013,0.8167675570366063,0.8167794417621411,,,,0.07145175278380386,0.07145175278380386,0.9839335180055401,0.5747747747747748,0.7974623115577889,0.3180386864597391,0.48926553672316386,,,0.9839335180055401,0.5747747747747748,0.7974623115577889,0.3180386864597392,0.48926553672316386,,,15,0.02635622795957324,탐색적/exploratory
aptos2019,B1,aptos_pool,관측 · 이 프로젝트 pool 분포,False,raw,none,no_dr|mild|moderate|severe|proliferative,0.6554548011915636,0.6554548011915637,0.7960137121443677,0.7960251316312842,,,,0.0,0.0,0.9758079409048938,0.664864864864865,0.6656633165829146,0.4285650022492128,0.5423728813559322,,,0.9758079409048938,0.6648648648648648,0.6656633165829147,0.42856500224921296,0.5423728813559322,,,15,0.026699528822883723,탐색적/exploratory
