dataset,arm,fold,repeat,target_prior,target_prior_source,target_assumed,n_test,exploratory,method,source_prior,bacc,bacc_weighted,bacc_sklearn,acc,acc_weighted,em_prior_l1_err,em_iters,em_min_prior,em_degenerate,changed_vs_raw,changed_vs_argmax_p,rec_0,recw_0,rec_1,recw_1,rec_2,recw_2,rec_3,recw_3,rec_4,recw_4,class_names,em_pi_0,em_pi_1,em_pi_2,em_pi_3,em_pi_4,rec_5,recw_5,rec_6,recw_6,em_pi_5,em_pi_6
aptos2019,B0,0,0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,raw,none,0.6711051026214648,0.6711051026214648,0.6711051026214648,0.8362892223738063,0.8365222520970746,,,,,0.0,0.0,0.9833795013850416,0.9833795013850414,0.5675675675675675,0.5675675675675675,0.835,0.835,0.41025641025641024,0.41025641025641046,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,argmax_p,none,0.6711051026214648,0.6711051026214648,0.6711051026214648,0.8362892223738063,0.8365222520970746,,,,,0.0,0.0,0.9833795013850416,0.9833795013850414,0.5675675675675675,0.5675675675675675,0.835,0.835,0.41025641025641024,0.41025641025641046,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,oracle,train,0.6711051026214648,0.6711051026214648,0.6711051026214648,0.8362892223738063,0.8365222520970746,,,,,0.0,0.0,0.9833795013850416,0.9833795013850414,0.5675675675675675,0.5675675675675675,0.835,0.835,0.41025641025641024,0.41025641025641046,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,oracle,uniform,0.6376429798320497,0.6376429798320498,0.6376429798320497,0.8458390177353342,0.8461113094988026,,,,,0.058663028649386086,0.058663028649386086,0.9944598337950139,0.9944598337950137,0.4864864864864865,0.48648648648648657,0.925,0.925,0.3076923076923077,0.3076923076923078,0.4745762711864407,0.47457627118644063,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,em,train,0.6631767555223116,0.6631767555223116,0.6631767555223116,0.834924965893588,0.8351555126104553,0.050539170790877795,25.0,0.06132585607549114,0.0,0.0068212824010914054,0.0068212824010914054,0.9861495844875346,0.9861495844875345,0.5540540540540541,0.5540540540540541,0.84,0.84,0.41025641025641024,0.41025641025641046,0.5254237288135594,0.5254237288135594,no_dr|mild|moderate|severe|proliferative,0.4942823121254538,0.08395565898971387,0.28806666023108596,0.06132585607549114,0.0723695125782552,,,,,,
aptos2019,B0,0,0,aptos_pool,관측 · 이 프로젝트 pool 분포,False,733,탐색적/exploratory,em,uniform,0.5952877993582252,0.5952877993582252,0.5952877993582252,0.8403819918144612,0.8407048131187946,0.2356614896273614,27.0,0.022762889239114625,0.0,0.0927694406548431,0.0927694406548431,0.9944598337950139,0.9944598337950137,0.36486486486486486,0.3648648648648648,0.98,0.9800000000000001,0.1794871794871795,0.17948717948717957,0.4576271186440678,0.45762711864406785,no_dr|mild|moderate|severe|proliferative,0.5049475138289251,0.04712404112118444,0.3785850332785841,0.022762889239114625,0.046580522532191734,,,,,,
aptos2019,B0,0,0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,raw,none,0.6711051026214648,0.6711051026214649,0.6711051026214648,0.8362892223738063,0.7606758869717388,,,,,0.0,0.0,0.9833795013850416,0.9833795013850417,0.5675675675675675,0.5675675675675675,0.835,0.8350000000000001,0.41025641025641024,0.41025641025641013,0.559322033898305,0.5593220338983051,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,argmax_p,none,0.6711051026214648,0.6711051026214649,0.6711051026214648,0.8362892223738063,0.7606758869717388,,,,,0.0,0.0,0.9833795013850416,0.9833795013850417,0.5675675675675675,0.5675675675675675,0.835,0.8350000000000001,0.41025641025641024,0.41025641025641013,0.559322033898305,0.5593220338983051,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,oracle,train,0.6543964015046695,0.6543964015046695,0.6543964015046695,0.8185538881309686,0.7549654579836474,,,,,0.054570259208731244,0.054570259208731244,0.9861495844875346,0.9861495844875346,0.4864864864864865,0.4864864864864865,0.795,0.7949999999999999,0.5128205128205128,0.5128205128205128,0.4915254237288136,0.4915254237288136,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,oracle,uniform,0.6226824654491212,0.6226824654491212,0.6226824654491212,0.8362892223738063,0.7658599898947901,,,,,0.06412005457025921,0.06412005457025921,0.9916897506925207,0.9916897506925209,0.3783783783783784,0.37837837837837845,0.935,0.935,0.38461538461538464,0.38461538461538447,0.423728813559322,0.42372881355932207,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,em,train,0.6450117861200542,0.645011786120054,0.6450117861200542,0.8226466575716235,0.7508688569103023,0.09423837438147384,25.0,0.041924366458986534,0.0,0.03819918144611187,0.03819918144611187,0.9861495844875346,0.9861495844875346,0.4864864864864865,0.4864864864864865,0.825,0.825,0.4358974358974359,0.43589743589743574,0.4915254237288136,0.4915254237288136,no_dr|mild|moderate|severe|proliferative,0.3247433359783265,0.041924366458986534,0.37270058253957417,0.1524965126751811,0.10813520234793177,,,,,,
aptos2019,B0,0,0,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,em,uniform,0.5891994792034231,0.5891994792034232,0.5891994792034231,0.8308321964529332,0.7529838567348571,0.36962995090351924,25.0,0.01928237758213441,0.0,0.0927694406548431,0.0927694406548431,0.9916897506925207,0.9916897506925209,0.2702702702702703,0.27027027027027034,0.97,0.9700000000000001,0.2564102564102564,0.2564102564102564,0.4576271186440678,0.4576271186440678,no_dr|mild|moderate|severe|proliferative,0.33151436241387394,0.01928237758213441,0.5044634037355602,0.07241204479621145,0.0723278114722201,,,,,,
aptos2019,B0,0,0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,raw,none,0.6711051026214648,0.6711051026214648,0.6711051026214648,0.8362892223738063,0.867688871826857,,,,,0.0,0.0,0.9833795013850416,0.9833795013850415,0.5675675675675675,0.5675675675675677,0.835,0.835,0.41025641025641024,0.41025641025641024,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,argmax_p,none,0.6711051026214648,0.6711051026214648,0.6711051026214648,0.8362892223738063,0.867688871826857,,,,,0.0,0.0,0.9833795013850416,0.9833795013850415,0.5675675675675675,0.5675675675675677,0.835,0.835,0.41025641025641024,0.41025641025641024,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B0,0,0,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,oracle,train,0.636576232988271,0.636576232988271,0.636576232988271,0.8390177353342428,0.8847335162575054,,,,,0.04229195088676671,0.04229195088676671,0.9889196675900277,0.9889196675900276,0.4864864864864865,0.48648648648648657,0.9,0.8999999999999999,0.28205128205128205,0.28205128205128205,0.5254237288135594,0.5254237288135593,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
