dataset,target_prior,method,source_prior,arm,base,metric,metric_label,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,p_nb,se_nb,mde_post,mde_floor_bacc_ref,note,exploratory,gate,holm_p_within_w11_family
aptos2019,aptos_pool,argmax_p,none,B1,B0,bacc,BACC,15,0.6457036359493563,0.6554548011915637,0.009751165242207397,0.013488027591129157,11,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.007590137106449578,0.022867879833313978,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.3418427953381586
aptos2019,aptos_pool,argmax_p,none,B1,B0,rec_0,no_dr,15,0.9819021237303784,0.9758079409048938,-0.006094182825484766,0.003503908764729488,0,-0.010323186574480763,-0.0018651790764887674,0.00797788089486683,0.0019717596033298718,0.005940599100748257,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.02393364268460049
aptos2019,aptos_pool,argmax_p,none,B1,B0,rec_1,mild,15,0.6036036036036035,0.6648648648648648,0.061261261261261274,0.024952562040000674,15,0.031145043773970368,0.09137747874855218,0.0006496949987839669,0.0140415910155281,0.0423050877089938,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0012993899975679338
aptos2019,aptos_pool,argmax_p,none,B1,B0,rec_2,moderate,15,0.7727638190954774,0.6656633165829144,-0.1071005025125628,0.024704229684648506,0,-0.13691699802297103,-0.07728400700215458,2.117892482850913e-06,0.013901846593124179,0.041884059918047396,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),4.235784965701826e-06
aptos2019,aptos_pool,argmax_p,none,B1,B0,rec_3,severe,15,0.3595141700404858,0.4285650022492128,0.06905083220872693,0.04749964019830944,13,0.0117216692759929,0.12637999514146098,0.021669297041589812,0.026729540637157805,0.08053186849165225,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.043338594083179624
aptos2019,aptos_pool,argmax_p,none,B1,B0,rec_4,proliferative,15,0.5107344632768361,0.5423728813559322,0.031638418079096044,0.03889698187131865,12,-0.015307861976553608,0.0785846981347457,0.17034814575544438,0.021888554381706796,0.06594674434806987,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.34069629151088876
aptos2019,aptos_pool,argmax_p,none,B3,B0,bacc,BACC,15,0.6457036359493563,0.6830856052764636,0.03738196932710729,0.013252587765789378,15,0.021386905782766218,0.053377032871448356,0.00019003600118089502,0.007457647715945754,0.02246871030333856,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0005701080035426851
aptos2019,aptos_pool,argmax_p,none,B3,B0,rec_0,no_dr,15,0.9819021237303784,0.9774699907663896,-0.004432132963988914,0.004999323054168209,1,-0.010466010372937864,0.0016017444449600363,0.13747790979820415,0.0028132762306571114,0.008475955292812693,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.2749558195964083
aptos2019,aptos_pool,argmax_p,none,B3,B0,rec_1,mild,15,0.6036036036036035,0.7216216216216215,0.11801801801801805,0.04257037640627673,15,0.06663817524628025,0.16939786078975583,0.00022299063200680784,0.023955688955538155,0.07217469311509499,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0006689718960204235
aptos2019,aptos_pool,argmax_p,none,B3,B0,rec_2,moderate,15,0.7727638190954774,0.6172948073701843,-0.15546901172529318,0.027768430762160845,0,-0.18898381067753706,-0.12195421277304928,9.948413139964063e-08,0.015626168859142184,0.04707916954784593,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),2.984523941989219e-07
