dataset,task,task_label,mapping_assumed,arm,base,fold,repeat,n,tp,fp,fn,tn,prevalence,sens,spec,ppv,npv,tp_rate,fp_rate,exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,0,0,733,284,28,14,407,0.40654843110504774,0.9530201342281879,0.9356321839080459,0.9102564102564102,0.9667458432304038,0.3874488403819918,0.03819918144611187,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,1,0,733,260,23,38,412,0.40654843110504774,0.87248322147651,0.9471264367816092,0.9187279151943463,0.9155555555555556,0.35470668485675305,0.03137789904502047,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,2,0,732,273,26,24,409,0.4057377049180328,0.9191919191919192,0.9402298850574713,0.9130434782608695,0.9445727482678984,0.3729508196721312,0.03551912568306011,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,3,0,732,271,21,26,414,0.4057377049180328,0.9124579124579124,0.9517241379310345,0.928082191780822,0.9409090909090909,0.3702185792349727,0.028688524590163935,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,4,0,732,266,34,31,401,0.4057377049180328,0.8956228956228957,0.9218390804597701,0.8866666666666667,0.9282407407407407,0.3633879781420765,0.04644808743169399,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,5,1,733,274,30,24,405,0.40654843110504774,0.9194630872483222,0.9310344827586207,0.9013157894736842,0.9440559440559441,0.373806275579809,0.040927694406548434,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,6,1,733,276,26,22,409,0.40654843110504774,0.9261744966442953,0.9402298850574713,0.9139072847682119,0.9489559164733179,0.3765347885402456,0.03547066848567531,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,7,1,732,270,24,27,411,0.4057377049180328,0.9090909090909091,0.9448275862068966,0.9183673469387755,0.9383561643835616,0.36885245901639346,0.03278688524590164,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,8,1,732,263,18,34,417,0.4057377049180328,0.8855218855218855,0.9586206896551724,0.9359430604982206,0.9246119733924612,0.3592896174863388,0.02459016393442623,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,9,1,732,267,31,30,404,0.4057377049180328,0.898989898989899,0.9287356321839081,0.8959731543624161,0.9308755760368663,0.36475409836065575,0.04234972677595628,탐색적/exploratory
aptos2019,fundus_referable_ge2,"referable DR (ICDR>=2, FDA mtmDR)",False,B0,,10,2,733,280,28,18,407,0.40654843110504774,0.9395973154362416,0.9356321839080459,0.9090909090909091,0.9576470588235294,0.3819918144611187,0.03819918144611187,탐색적/exploratory
