dataset,task,metric,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,p_nb,se_nb,mde_post,mde_floor_bacc_ref,note,exploratory,gate,holm_p_within_w11_family
aptos2019,fundus_referable_ge2,sens,B1,B0,15,0.9125656264358726,0.8894839521237733,-0.02308167431209936,0.010982565222937,0,-0.03633695937229109,-0.009826389251907628,0.002219293781423275,0.00618023467548663,0.018620067321394877,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.019973644032809473
aptos2019,fundus_referable_ge2,spec,B1,B0,15,0.9420689655172414,0.9478927203065133,0.005823754789272018,0.005275682598638636,14,-0.0005436717010345038,0.01219118127957854,0.06999973262919837,0.0029687924333809297,0.008944500957554329,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.4199983957751902
aptos2019,fundus_referable_ge2,sens,B1d,B0d,15,0.9067453054030234,0.8957614926295016,-0.01098381277352194,0.007563610364022837,0,-0.02011262825735404,-0.001854997289689837,0.021783443462333983,0.0042562813053891695,0.012823500822628633,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.17426754769867187
aptos2019,fundus_referable_ge2,spec,B1d,B0d,15,0.9348659003831419,0.9362452107279694,0.0013793103448275815,0.005125678296256592,8,-0.004807070119530781,0.007565690809185944,0.6398891821193611,0.002884380297214642,0.008690180573185548,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,fundus_referable_ge2,sens,B2,B0,15,0.9125656264358726,0.9217619897709383,0.009196363335065823,0.013358788010365833,10,-0.006926877414395139,0.025319604084526784,0.241392947295284,0.007517409931853729,0.02264876438573384,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.965571789181136
aptos2019,fundus_referable_ge2,spec,B2,B0,15,0.9420689655172414,0.940536398467433,-0.0015325670498084346,0.00725227458130351,6,-0.01028561927017603,0.007220485170559162,0.7128952580285306,0.004081082873964129,0.01229565572304426,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,fundus_referable_ge2,sens,B3,B0,15,0.9125656264358726,0.9056267371703614,-0.006938889265511169,0.020471016804653925,6,-0.03164615552885668,0.017768376997834345,0.5565717878634124,0.01151968463928306,0.03470698359650875,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,fundus_referable_ge2,spec,B3,B0,15,0.9420689655172414,0.9492720306513409,0.007203065134099614,0.007617820711663209,12,-0.0019911789264446473,0.016397309194643876,0.11506641884511945,0.0042867871720474885,0.012915410162759098,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.5753320942255973
aptos2019,fundus_referable_ge2,sens,B3d,B0d,15,0.9067453054030234,0.9085448067550976,0.0017995013520740659,0.015039404283797802,8,-0.01635214053400045,0.019951143238148582,0.8346819824602107,0.008463145537189269,0.025498115836648006,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,fundus_referable_ge2,spec,B3d,B0d,15,0.9348659003831419,0.9344061302681993,-0.00045977011494252964,0.007534781162403947,7,-0.00955379051422389,0.008634250284338832,0.9151895436738076,0.0042400582074248105,0.012774623200318254,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,fundus_referable_ge2,sens,B4,B0,15,0.9125656264358726,0.8964303738352956,-0.01613525260057697,0.017982136360359217,2,-0.03783859226752387,0.005568087066369926,0.13313673431187875,0.010119113378131265,0.030487284419955407,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.6656836715593938
aptos2019,fundus_referable_ge2,spec,B4,B0,15,0.9420689655172414,0.9552490421455937,0.013180076628352485,0.007136846397350884,14,0.004566339171996201,0.02179381408470877,0.0054564769090108,0.004016127806499326,0.012099956402133741,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0491082921810972
aptos2019,fundus_referable_ge2,sens,B4d,B0d,15,0.9067453054030234,0.8899321326614392,-0.016813172741584375,0.012196229654743176,2,-0.031533276601796334,-0.0020930688813724126,0.028056972900908243,0.0068632018014353185,0.020677739000741394,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.1963988103063577
aptos2019,fundus_referable_ge2,spec,B4d,B0d,15,0.9348659003831419,0.9468199233716474,0.01195402298850575,0.007069532864679757,14,0.0034215288524350428,0.020486517124576456,0.00946020595588471,0.003978248365740371,0.011985831652174633,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.07568164764707767
aptos2019,fundus_referable_ge2,sens,B5,B0,15,0.9125656264358726,0.9038189501276751,-0.008746676308197535,0.014643180202380193,3,-0.026420099941952078,0.008926747325557007,0.3064465120874378,0.008240177791718862,0.02482634936673937,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.965571789181136
aptos2019,fundus_referable_ge2,spec,B5,B0,15,0.9420689655172414,0.9445210727969349,0.002452107279693479,0.007938130932704927,9,-0.00712873164292669,0.012032946202313648,0.5916986890523508,0.004467035802017875,0.013458470709949974,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
aptos2019,fundus_referable_ge2,sens,B5s,B0,15,0.9125656264358726,0.8941774192333477,-0.018388207202524876,0.015029124637251163,2,-0.036527442183424894,-0.0002489722216248609,0.04732904635172397,0.00845736085694839,0.02548068751213063,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.2839742781103438
aptos2019,fundus_referable_ge2,spec,B5s,B0,15,0.9420689655172414,0.9506513409961684,0.00858237547892721,0.006529167326939712,13,0.0007020695242195268,0.01646268143363489,0.034889935935845016,0.003674167691873368,0.011069684787882153,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.2442295515509151
oral_diseases,oral_cancer_suspect,sens,A1,A0,15,0.7568144499178983,0.7544334975369459,-0.0023809523809523725,0.06498894556044396,8,-0.08081863808354592,0.07605673332164117,0.9490114316455023,0.03657132252100194,0.11018359708482786,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A1,A0,15,0.9058618618618618,0.9139699699699702,0.008108108108108107,0.018159802506517626,6,-0.013809663739761053,0.030025879955977268,0.4407695760535688,0.010219091703309344,0.030788503264100604,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,sens,A2,A0,15,0.7568144499178983,0.7566502463054188,-0.00016420361247947065,0.018763066399471152,2,-0.022810078112625122,0.02248167088766618,0.9878114984116575,0.010558567258793767,0.03181128929553721,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A2,A0,15,0.9058618618618618,0.9076756756756758,0.00181381381381381,0.008625146818251883,4,-0.008596211297911424,0.012223838925539045,0.7142246177957005,0.004853641236383963,0.014623251594932607,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,sens,A2d,A0d,15,0.6919540229885058,0.6850574712643679,-0.006896551724137922,0.023314600130441846,1,-0.035035849285326895,0.021242745837051054,0.6073524327336333,0.013119858361535754,0.0395280533452762,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A2d,A0d,15,0.8941501501501502,0.8932612612612612,-0.0008888888888888946,0.00949291544410658,2,-0.012346257701152502,0.010568479923374714,0.870223436147921,0.005341961919479564,0.0160944843993655,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,sens,A3,A0,15,0.7568144499178983,0.7382594417077176,-0.018555008210180628,0.05677148446098423,4,-0.08707472054923915,0.049964704128877886,0.5706044904718754,0.03194709885372267,0.09625154425592007,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A3,A0,15,0.9058618618618618,0.9031471471471472,-0.0027147147147147314,0.018527102412251743,6,-0.025075795102461176,0.019646365673031713,0.7983576650386338,0.010425782905923837,0.031411231090713254,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,sens,A4,A0,15,0.7568144499178983,0.7568144499178984,0.0,0.07315934354817312,8,-0.08829885676637937,0.08829885676637937,1.0,0.04116906229593463,0.12403585814460076,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A4,A0,15,0.9058618618618618,0.9076996996996998,0.0018378378378378264,0.018952375883381573,5,-0.021036521640351902,0.024712197316027553,0.8656501724238858,0.010665097656120084,0.03213224849436161,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,sens,A5,A0,15,0.7568144499178983,0.7498357963875205,-0.0069786535303776615,0.050861721075317994,5,-0.0683656426189804,0.05440833555822508,0.8109026150561346,0.02862148922986756,0.0862320096698835,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A5,A0,15,0.9058618618618618,0.8834714714714715,-0.022390390390390407,0.023609936241357807,1,-0.05088614058894533,0.006105359808164523,0.11408980038046489,0.013286053274705419,0.0400287722716896,0.032,,탐색적/exploratory,없음 (서술 · 판정 아님),0.7986286026632542
oral_diseases,oral_cancer_suspect,sens,A5s,A0,15,0.7568144499178983,0.7706896551724138,0.013875205254515606,0.04549623380289303,5,-0.04103596859064221,0.06878637909967342,0.5963708445230046,0.02560216088363852,0.0771352520184026,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_cancer_suspect,spec,A5s,A0,15,0.9058618618618618,0.8916276276276277,-0.014234234234234236,0.03341157466715279,3,-0.05455996301734583,0.02609149454887736,0.4615601790427885,0.018801743320339473,0.05664667197394757,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,sens,A1,A0,15,0.8626477541371158,0.8696513002364068,0.007003546099290799,0.0219046478231187,7,-0.019434025191626562,0.03344111739020816,0.5789171646618457,0.012326433877945882,0.037137591158219664,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A1,A0,15,0.8861038961038961,0.874004329004329,-0.012099567099567107,0.030250976804650668,4,-0.04861064741233756,0.02441151321320335,0.48889941601785447,0.017023175553283598,0.051288129249089674,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,sens,A2,A0,15,0.8626477541371158,0.8626182033096925,-2.955082742317483e-05,0.011314009199895472,2,-0.013684868512678914,0.013625766857832565,0.9963621764523523,0.006366748619888423,0.019182004267723995,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
oral_diseases,oral_nonbenign,spec,A2,A0,15,0.8861038961038961,0.8897402597402596,0.0036363636363636377,0.007527987920098412,3,-0.00544945773460194,0.012722185007329214,0.4051315047469742,0.004236235436441584,0.012763105797371681,0.032,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),1.0
