source_id,source_citation,source_doi,source_arxiv,source_pdf_url,pdf_sha256,pdf_bytes,retrieved_utc,note,section,matrix_id,table_label,panel,metric,value,published_value,published_in,matches_published,verified_in_pdf_text,caution,dataset,arm,base,count,nb_p_delta_bacc_archived,r10_noise,doi,crossref_status,crossref_title,crossref_journal,crossref_volume,crossref_issue,crossref_page,crossref_year,crossref_type,record_matches_S8,abstract_source,claim,claim_value,claim_verified_in_abstract,pmid
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_matrix_metric,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",bacc,0.7933710269132461,,"Table 3 (Majority Decision, Retinal Specialists)",,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_matrix_metric,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",micro_acc,0.9376723662437948,,"Table 3 (Majority Decision, Retinal Specialists)",,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_matrix_metric,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",qwk,0.9146166559205773,0.91,"Table 3 (Majority Decision, Retinal Specialists)",True,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_matrix_metric,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",sens_moderate_plus,0.8809523809523809,0.881,"Table 3 (Majority Decision, Retinal Specialists)",True,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_matrix_metric,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",spec_moderate_plus,0.9937616968184654,0.994,"Table 3 (Majority Decision, Retinal Specialists)",True,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_per_class_recall,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",recall[No],0.9939106901217862,,,,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_per_class_recall,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",recall[Mild],0.496,,,,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_per_class_recall,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",recall[Moderate],0.8194444444444444,,,,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_per_class_recall,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",recall[Severe],0.72,,,,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050.0,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),krause_per_class_recall,T2_retina_specialist_majority,Table 2,"Majority decision of 3 retinal specialists, before adjudication",recall[Proliferative],0.9375,,,,True,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,,,,,,,,,,,,,,,,,,,,,
