dataset,arm,family,loss,fold,repeat,n_train_fold,n_inner_train,n_inner_val,T,T_converged,T_insample,nll_val_T1,nll_val_T,secs,n_test,n_pred_changed,bacc_T1,bacc_T,exploratory
aptos2019,B0,softmax,ce,0,0,2929,2636,293,1.9894726688401483,True,0.4393681758132185,0.6201682365018093,0.48694568548999595,0.28,733,0,0.6711051026214648,0.6711051026214648,탐색적/exploratory
aptos2019,B0,softmax,ce,1,0,2929,2636,293,1.8646365356842372,True,0.4550301758704251,0.5330367527294742,0.44324572992871375,0.28,733,0,0.6427510783418102,0.6427510783418102,탐색적/exploratory
aptos2019,B0,softmax,ce,2,0,2930,2637,293,2.2813264354410165,True,0.405265178446686,0.7439636893668905,0.5422406566655403,0.32,732,0,0.669678888616773,0.669678888616773,탐색적/exploratory
aptos2019,B0,softmax,ce,3,0,2930,2637,293,2.172951733978327,True,0.4282523834332836,0.6726703527264893,0.5116833387938597,0.24,732,0,0.6579334418694952,0.6579334418694952,탐색적/exploratory
aptos2019,B0,softmax,ce,4,0,2930,2637,293,2.123607833437637,True,0.446626453317293,0.6552684168167264,0.4934871514721378,0.34,732,0,0.6217396951613836,0.6217396951613836,탐색적/exploratory
aptos2019,B0,softmax,ce,5,1,2929,2636,293,2.132432747816556,True,0.4117402715707147,0.6908003098616968,0.5254614020199245,0.32,733,0,0.6216648776322939,0.6216648776322939,탐색적/exploratory
aptos2019,B0,softmax,ce,6,1,2929,2636,293,2.258986084224466,True,0.4185185915335629,0.7830980125772442,0.574082722751331,0.28,733,0,0.6681058110445875,0.6681058110445875,탐색적/exploratory
aptos2019,B0,softmax,ce,7,1,2930,2637,293,1.888479660435569,True,0.42445759194880806,0.5366895737680148,0.43310896740444954,0.25,732,0,0.6499067993294952,0.6499067993294952,탐색적/exploratory
aptos2019,B0,softmax,ce,8,1,2930,2637,293,2.2464479818406993,True,0.41905944557922425,0.69913135405286,0.5188959490344335,0.24,732,0,0.6385841893351165,0.6385841893351165,탐색적/exploratory
aptos2019,B0,softmax,ce,9,1,2930,2637,293,2.1098032153220543,True,0.4309480957576914,0.6420185745455605,0.4933403933250057,0.27,732,0,0.5892626060102722,0.5892626060102722,탐색적/exploratory
aptos2019,B0,softmax,ce,10,2,2929,2636,293,1.8730790648511126,True,0.43053016522815823,0.5723904921228714,0.47001717909027463,0.28,733,0,0.6643416500574583,0.6643416500574583,탐색적/exploratory
aptos2019,B0,softmax,ce,11,2,2929,2636,293,1.9932211870106622,True,0.3913660441094344,0.6224332049522618,0.4892696404279776,0.27,733,0,0.6237506041183678,0.6237506041183678,탐색적/exploratory
aptos2019,B0,softmax,ce,12,2,2930,2637,293,1.9392340749072337,True,0.4342891166759079,0.5689198924909248,0.45594290514845676,0.28,732,0,0.6377742198276025,0.6377742198276025,탐색적/exploratory
aptos2019,B0,softmax,ce,13,2,2930,2637,293,2.207025798702014,True,0.454368414684727,0.7184068894433475,0.538660941410041,0.25,732,0,0.668620569675267,0.668620569675267,탐색적/exploratory
aptos2019,B0,softmax,ce,14,2,2930,2637,293,1.9889926533831106,True,0.41020252828299014,0.6266984148280904,0.5044141193015031,0.26,732,0,0.6603350055989561,0.6603350055989561,탐색적/exploratory
aptos2019,B0d,softmax,ce,0,0,2929,2636,293,2.2873574233625953,True,0.26428009270344377,0.7218626583480279,0.5121837357736625,0.24,733,0,0.6452128113732415,0.6452128113732415,탐색적/exploratory
aptos2019,B0d,softmax,ce,1,0,2929,2636,293,2.2441519500846163,True,0.2827702831798085,0.6631736401540628,0.48296152603438725,0.27,733,0,0.6254897884807271,0.6254897884807271,탐색적/exploratory
aptos2019,B0d,softmax,ce,2,0,2930,2637,293,2.386099098599606,True,0.2935786677733256,0.7777332128100317,0.5404186791896084,0.26,732,0,0.672061542034076,0.672061542034076,탐색적/exploratory
aptos2019,B0d,softmax,ce,3,0,2930,2637,293,2.582277674314342,True,0.315427332359148,0.8482696528762195,0.553957418032071,0.25,732,0,0.6249031156138533,0.6249031156138533,탐색적/exploratory
aptos2019,B0d,softmax,ce,4,0,2930,2637,293,2.2451195805141992,True,0.26227929808794376,0.6871792151028862,0.49812460908067524,0.27,732,0,0.597586598604718,0.597586598604718,탐색적/exploratory
aptos2019,B0d,softmax,ce,5,1,2929,2636,293,2.733216715881127,True,0.31329380106824617,0.938729068501653,0.5863737022764617,0.26,733,0,0.6054022942067921,0.6054022942067921,탐색적/exploratory
aptos2019,B0d,softmax,ce,6,1,2929,2636,293,2.492046023526714,True,0.26168494602531917,0.8594715484436517,0.5778836947857154,0.28,733,0,0.6526229899555408,0.6526229899555408,탐색적/exploratory
aptos2019,B0d,softmax,ce,7,1,2930,2637,293,2.1835563884775717,True,0.2943354489770105,0.6679889891361305,0.48923516248875587,0.37,732,0,0.619692439563842,0.619692439563842,탐색적/exploratory
aptos2019,B0d,softmax,ce,8,1,2930,2637,293,2.6717995013679112,True,0.25340051940484143,0.981717980323954,0.6169787794710638,0.28,732,0,0.6134048102753206,0.6134048102753206,탐색적/exploratory
aptos2019,B0d,softmax,ce,9,1,2930,2637,293,2.5672572048511144,True,0.3113098276601409,0.8660741604282644,0.5689277504663284,0.27,732,0,0.6276639447903062,0.6276639447903062,탐색적/exploratory
aptos2019,B0d,softmax,ce,10,2,2929,2636,293,2.438881306266124,True,0.28940709084075705,0.8167049438881417,0.5674970213051053,0.28,733,0,0.6176578631599055,0.6176578631599055,탐색적/exploratory
aptos2019,B0d,softmax,ce,11,2,2929,2636,293,2.3731631279940304,True,0.25675900287785886,0.7929731261158748,0.5452703424083506,0.25,733,0,0.6254063479305978,0.6254063479305978,탐색적/exploratory
aptos2019,B0d,softmax,ce,12,2,2930,2637,293,2.6136479426262733,True,0.2964850684121273,0.8891165979640738,0.5690762727316917,0.24,732,0,0.6255257955264998,0.6255257955264998,탐색적/exploratory
