bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6716411512464145,0.6414920075751903,0.5769230769230769,"[0.9375, 0.9333333333333333, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",A3n,oral_diseases,0,412,104
0.742071086807929,0.6842515396587112,0.5048543689320388,"[1.0, 0.9333333333333333, 0.75, 0.5, 0.8181818181818182, 0.5263157894736842, 0.6666666666666666]",A3n,oral_diseases,1,413,103
0.7121259588364852,0.6706507468392808,0.5339805825242718,"[0.8125, 1.0, 0.75, 0.7222222222222222, 0.45454545454545453, 0.5789473684210527, 0.6666666666666666]",A3n,oral_diseases,2,413,103
0.7364968364968367,0.6846469488182388,0.49514563106796117,"[0.8666666666666667, 0.9333333333333333, 0.5384615384615384, 0.5555555555555556, 0.7272727272727273, 0.6111111111111112, 0.9230769230769231]",A3n,oral_diseases,3,413,103
0.7229925775978409,0.692288210248763,0.5533980582524272,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5, 0.7894736842105263, 0.6923076923076923]",A3n,oral_diseases,4,413,103
0.7216496223075171,0.6741433132291615,0.46153846153846156,"[0.9375, 0.9333333333333333, 0.5, 0.5, 0.7272727272727273, 0.6842105263157895, 0.7692307692307693]",A3n,oral_diseases,5,412,104
0.7452703729019517,0.7055384757170675,0.5339805825242718,"[0.875, 0.9333333333333333, 0.75, 0.6111111111111112, 0.7272727272727273, 0.7368421052631579, 0.5833333333333334]",A3n,oral_diseases,6,413,103
0.7034290271132376,0.6481321436507378,0.5242718446601942,"[0.75, 0.8, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.631578947368421, 0.5833333333333334]",A3n,oral_diseases,7,413,103
0.8014985014985015,0.7544772829185845,0.47572815533980584,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5, 1.0]",A3n,oral_diseases,8,413,103
0.7575999293104558,0.7077707136110015,0.4563106796116505,"[0.9375, 1.0, 0.5833333333333334, 0.6111111111111112, 0.9, 0.5789473684210527, 0.6923076923076923]",A3n,oral_diseases,9,413,103
0.7410316291895239,0.6962295959958138,0.49038461538461536,"[0.875, 1.0, 0.5833333333333334, 0.6111111111111112, 0.8181818181818182, 0.6842105263157895, 0.6153846153846154]",A3n,oral_diseases,10,412,104
0.6752658160552897,0.6145941526683881,0.6116504854368932,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.42105263157894735, 0.5833333333333334]",A3n,oral_diseases,11,413,103
0.780103668261563,0.7283992706384291,0.33980582524271846,"[0.875, 1.0, 0.8333333333333334, 0.5, 0.8181818181818182, 0.6842105263157895, 0.75]",A3n,oral_diseases,12,413,103
0.7033633033633034,0.6617214343652491,0.5631067961165048,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.7777777777777778, 0.6363636363636364, 0.5555555555555556, 0.46153846153846156]",A3n,oral_diseases,13,413,103
0.7431575734207314,0.68266835175746,0.4563106796116505,"[0.875, 1.0, 0.75, 0.6111111111111112, 0.8, 0.47368421052631576, 0.6923076923076923]",A3n,oral_diseases,14,413,103
0.681164960770224,0.6523999861146879,0.5961538461538461,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",A4n,oral_diseases,0,412,104
0.8041771094402673,0.7442427108947421,0.4174757281553398,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 1.0, 0.47368421052631576, 0.8333333333333334]",A4n,oral_diseases,1,413,103
0.713782562466773,0.6700255048015491,0.5145631067961165,"[0.875, 1.0, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",A4n,oral_diseases,2,413,103
0.7584748584748586,0.7071746686255695,0.4174757281553398,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",A4n,oral_diseases,3,413,103
0.755385258016837,0.7156299129645175,0.4854368932038835,"[0.75, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6, 0.7368421052631579, 0.9230769230769231]",A4n,oral_diseases,4,413,103
0.7423967845020477,0.7072933638379626,0.3942307692307692,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",A4n,oral_diseases,5,412,104
