epoch,train_loss,train_acc,bacc,per_class_recall,arm,dataset,fold,n_train,n_test
25,0.42886218428611755,0.8538750426766815,0.6367920652705854,"[0.9916897506925207, 0.5135135135135135, 0.82, 0.3333333333333333, 0.5254237288135594]",B0,aptos2019,0,2929,733
50,0.2894997000694275,0.899624445203141,0.6741722333991454,"[0.9861495844875346, 0.6216216216216216, 0.87, 0.38461538461538464, 0.5084745762711864]",B0,aptos2019,0,2929,733
75,0.23800033330917358,0.9190850119494708,0.6841316554250495,"[0.9889196675900277, 0.6486486486486487, 0.89, 0.38461538461538464, 0.5084745762711864]",B0,aptos2019,0,2929,733
100,0.20577409863471985,0.9317173096620007,0.6799875663331225,"[0.9861495844875346, 0.6081081081081081, 0.87, 0.41025641025641024, 0.5254237288135594]",B0,aptos2019,0,2929,733
125,0.182533398270607,0.9429839535677705,0.6700281443072184,"[0.9833795013850416, 0.581081081081081, 0.85, 0.41025641025641024, 0.5254237288135594]",B0,aptos2019,0,2929,733
150,0.16426044702529907,0.9539091840218504,0.667582160927717,"[0.9861495844875346, 0.581081081081081, 0.835, 0.41025641025641024, 0.5254237288135594]",B0,aptos2019,0,2929,733
175,0.14904794096946716,0.9590303857972005,0.6687152721129903,"[0.9833795013850416, 0.5675675675675675, 0.84, 0.41025641025641024, 0.5423728813559322]",B0,aptos2019,0,2929,733
200,0.1360013782978058,0.9648344144759303,0.6711051026214648,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,0,2929,733
25,0.40859881043434143,0.8603618982587914,0.6545115100943544,"[0.9861495844875346, 0.6756756756756757, 0.795, 0.2564102564102564, 0.559322033898305]",B0,aptos2019,1,2929,733
50,0.2732181251049042,0.906452714236941,0.637664702877295,"[0.9806094182825484, 0.6621621621621622, 0.815, 0.20512820512820512, 0.5254237288135594]",B0,aptos2019,1,2929,733
75,0.22449466586112976,0.9279617616934107,0.6316491279803642,"[0.9806094182825484, 0.6351351351351351, 0.795, 0.20512820512820512, 0.5423728813559322]",B0,aptos2019,1,2929,733
100,0.19440597295761108,0.9358142710822807,0.6482382732514195,"[0.9722991689750693, 0.6351351351351351, 0.775, 0.3333333333333333, 0.5254237288135594]",B0,aptos2019,1,2929,733
125,0.171849325299263,0.9463980880846705,0.6525151644618287,"[0.9695290858725761, 0.6486486486486487, 0.76, 0.358974358974359, 0.5254237288135594]",B0,aptos2019,1,2929,733
150,0.15392251312732697,0.9556162512803005,0.6488280366560567,"[0.9695290858725761, 0.6621621621621622, 0.745, 0.358974358974359, 0.5084745762711864]",B0,aptos2019,1,2929,733
175,0.1391235589981079,0.9603960396039604,0.6420483756391075,"[0.9695290858725761, 0.6621621621621622, 0.745, 0.358974358974359, 0.4745762711864407]",B0,aptos2019,1,2929,733
200,0.12660695612430573,0.9675657220894504,0.6427510783418102,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",B0,aptos2019,1,2929,733
25,0.4350641667842865,0.8559726962457338,0.6710997940519984,"[0.9916897506925207, 0.6486486486486487, 0.795, 0.39473684210526316, 0.5254237288135594]",B0,aptos2019,2,2930,732
50,0.28434309363365173,0.898976109215017,0.6781437461218202,"[0.9916897506925207, 0.6351351351351351, 0.825, 0.4473684210526316, 0.4915254237288136]",B0,aptos2019,2,2930,732
75,0.23149457573890686,0.9187713310580204,0.6663201330350492,"[0.9916897506925207, 0.6486486486486487, 0.805, 0.39473684210526316, 0.4915254237288136]",B0,aptos2019,2,2930,732
100,0.20098572969436646,0.9313993174061433,0.6676019303025266,"[0.9861495844875346, 0.6486486486486487, 0.8, 0.39473684210526316, 0.5084745762711864]",B0,aptos2019,2,2930,732
125,0.17828530073165894,0.9406143344709897,0.6711340083216697,"[0.9861495844875346, 0.6756756756756757, 0.8, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,2,2930,732
150,0.1598299890756607,0.9511945392491468,0.6681184334247388,"[0.9861495844875346, 0.6486486486486487, 0.795, 0.3684210526315789, 0.5423728813559322]",B0,aptos2019,2,2930,732
175,0.14433245360851288,0.9604095563139932,0.6706788886167729,"[0.9861495844875346, 0.6351351351351351, 0.795, 0.39473684210526316, 0.5423728813559322]",B0,aptos2019,2,2930,732
200,0.13108830153942108,0.9655290102389078,0.669678888616773,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",B0,aptos2019,2,2930,732
25,0.4158450961112976,0.8662116040955632,0.611643788631112,"[0.9778393351800554, 0.5945945945945946, 0.765, 0.2631578947368421, 0.4576271186440678]",B0,aptos2019,3,2930,732
50,0.27737653255462646,0.9030716723549488,0.6429342654077149,"[0.9722991689750693, 0.6081081081081081, 0.81, 0.3157894736842105, 0.5084745762711864]",B0,aptos2019,3,2930,732
75,0.22826901078224182,0.921160409556314,0.6480734484425738,"[0.9778393351800554, 0.6621621621621622, 0.81, 0.3157894736842105, 0.4745762711864407]",B0,aptos2019,3,2930,732
100,0.19773876667022705,0.9313993174061433,0.6453145928688443,"[0.9806094182825484, 0.6486486486486487, 0.79, 0.3157894736842105, 0.4915254237288136]",B0,aptos2019,3,2930,732
125,0.17504622042179108,0.9416382252559727,0.6538409086583179,"[0.9806094182825484, 0.6486486486486487, 0.78, 0.3684210526315789, 0.4915254237288136]",B0,aptos2019,3,2930,732
150,0.15679994225502014,0.9501706484641638,0.6633232723779698,"[0.9806094182825484, 0.6621621621621622, 0.78, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,3,2930,732
175,0.14168527722358704,0.956655290102389,0.6623232723779697,"[0.9806094182825484, 0.6621621621621622, 0.775, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,3,2930,732
200,0.12890829145908356,0.9634812286689419,0.6579334418694952,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]",B0,aptos2019,3,2930,732
25,0.4192120432853699,0.8610921501706484,0.6131588931333936,"[0.9833795013850416, 0.40540540540540543, 0.7839195979899497, 0.38461538461538464, 0.5084745762711864]",B0,aptos2019,4,2930,732
50,0.28131237626075745,0.903754266211604,0.6374776928120434,"[0.9833795013850416, 0.5, 0.7939698492462312, 0.38461538461538464, 0.5254237288135594]",B0,aptos2019,4,2930,732
