kind,arm,dataset,epoch,mean_bacc,sd_bacc,n_folds,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,mde_post
arm,B0,aptos2019,25,0.636519053721008,0.01939653370394793,15,,,,,,,,,
arm,B0,aptos2019,50,0.6500147344085576,0.023472161930199433,15,,,,,,,,,
arm,B0,aptos2019,75,0.6519711884117251,0.025828225120630603,15,,,,,,,,,
arm,B0,aptos2019,100,0.6507632803048342,0.02408166609773797,15,,,,,,,,,
arm,B0,aptos2019,125,0.6496576120618361,0.026703950578996726,15,,,,,,,,,
arm,B0,aptos2019,150,0.6488940570025308,0.025142425852004206,15,,,,,,,,,
arm,B0,aptos2019,175,0.6475904812579301,0.023391862814687855,15,,,,,,,,,
arm,B0,aptos2019,200,0.6457036359493563,0.023781318322433454,15,,,,,,,,,
arm,B1,aptos2019,25,0.6721901370340183,0.021784829304035507,15,,,,,,,,,
arm,B1,aptos2019,50,0.6773236869504032,0.025561476663839382,15,,,,,,,,,
arm,B1,aptos2019,75,0.670118946321028,0.02467796284791196,15,,,,,,,,,
arm,B1,aptos2019,100,0.6669245091926564,0.027902394070699485,15,,,,,,,,,
arm,B1,aptos2019,125,0.6634196364977417,0.031234560088369855,15,,,,,,,,,
arm,B1,aptos2019,150,0.6618454618518008,0.029696071176088013,15,,,,,,,,,
arm,B1,aptos2019,175,0.6586478542957166,0.030123468864619734,15,,,,,,,,,
arm,B1,aptos2019,200,0.6554548011915637,0.026699528822883727,15,,,,,,,,,
arm,B3,aptos2019,25,0.526016816001719,0.019365152170797373,15,,,,,,,,,
arm,B3,aptos2019,50,0.5998227915247596,0.017290952784271223,15,,,,,,,,,
arm,B3,aptos2019,75,0.6369445688678758,0.01939314237194983,15,,,,,,,,,
arm,B3,aptos2019,100,0.6540092772821553,0.02121191306865565,15,,,,,,,,,
arm,B3,aptos2019,125,0.6640001296938596,0.0223735825486538,15,,,,,,,,,
arm,B3,aptos2019,150,0.6664103250392344,0.0232833727423416,15,,,,,,,,,
arm,B3,aptos2019,175,0.6661802321916426,0.021093325421225245,15,,,,,,,,,
arm,B3,aptos2019,200,0.6636538848253793,0.022647826979252772,15,,,,,,,,,
arm,B3n,aptos2019,25,0.5452825002094456,0.0256245382824728,15,,,,,,,,,
arm,B3n,aptos2019,50,0.6181544006258396,0.023796186891112462,15,,,,,,,,,
arm,B3n,aptos2019,75,0.6507503956106924,0.01758478976601009,15,,,,,,,,,
arm,B3n,aptos2019,100,0.6569076261888636,0.01934055058356692,15,,,,,,,,,
arm,B3n,aptos2019,125,0.6647926416446329,0.018661357464711145,15,,,,,,,,,
arm,B3n,aptos2019,150,0.6649392409951875,0.020685035200020768,15,,,,,,,,,
arm,B3n,aptos2019,175,0.6653486739041646,0.022295350145341584,15,,,,,,,,,
arm,B3n,aptos2019,200,0.6673960435898949,0.02219354275014358,15,,,,,,,,,
arm,A0,oral_diseases,25,0.7349694749694751,0.043576132652054206,15,,,,,,,,,
arm,A0,oral_diseases,50,0.7473992430571379,0.03720707951262963,15,,,,,,,,,
arm,A0,oral_diseases,75,0.7464482690798481,0.03309747631095451,15,,,,,,,,,
arm,A0,oral_diseases,100,0.7452070103385893,0.03595532699457122,15,,,,,,,,,
arm,A0,oral_diseases,125,0.7426144177459968,0.036734187610334035,15,,,,,,,,,
arm,A0,oral_diseases,150,0.743435915935916,0.03786470493727274,15,,,,,,,,,
arm,A0,oral_diseases,175,0.743435915935916,0.03786470493727274,15,,,,,,,,,
arm,A0,oral_diseases,200,0.7438928663928664,0.03919902251778943,15,,,,,,,,,
arm,A2,oral_diseases,25,0.741095025831868,0.039373841244897484,15,,,,,,,,,
arm,A2,oral_diseases,50,0.745538998038998,0.03589731644863883,15,,,,,,,,,
arm,A2,oral_diseases,75,0.7482081855766066,0.035632431064321825,15,,,,,,,,,
arm,A2,oral_diseases,100,0.747562164930586,0.03606662540528604,15,,,,,,,,,
arm,A2,oral_diseases,125,0.7472639446323658,0.03679088457241333,15,,,,,,,,,
arm,A2,oral_diseases,150,0.7494520294520295,0.03791004875948206,15,,,,,,,,,
arm,A2,oral_diseases,175,0.7484216757900969,0.03788309963271962,15,,,,,,,,,
arm,A2,oral_diseases,200,0.7470267743951955,0.038441323520938035,15,,,,,,,,,
arm,A3n,oral_diseases,25,0.7158142150247413,0.04015586550460084,15,,,,,,,,,
arm,A3n,oral_diseases,50,0.7237444475602371,0.036992514257456095,15,,,,,,,,,
