dataset,fold,mode,a,b,exploratory
aptos2019,0,full,"[0.5091000199317932, 0.34709998965263367, 0.3352999985218048, 0.4007999897003174, 0.3799999952316284]","[-0.3068999946117401, 0.42239999771118164, -0.17640000581741333, 0.09309999644756317, -0.03229999914765358]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,0,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5914999842643738, 0.43470001220703125, -1.0748000144958496, 0.8783000111579895, 0.35339999198913574]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,0,scale,"[0.42879998683929443, 0.3935999870300293, 0.31220000982284546, 0.3986000120639801, 0.3686000108718872]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,1,full,"[0.45080000162124634, 0.35040000081062317, 0.3212999999523163, 0.385699987411499, 0.36000001430511475]","[-0.2630999982357025, 0.3571000099182129, -0.14630000293254852, 0.06319999694824219, -0.010999999940395355]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,1,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6044999957084656, 0.4814000129699707, -1.1306999921798706, 0.9433000087738037, 0.31060001254081726]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,1,scale,"[0.38850000500679016, 0.3889999985694885, 0.302700012922287, 0.38260000944137573, 0.35190001130104065]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,2,full,"[0.4862000048160553, 0.36340001225471497, 0.3483000099658966, 0.4156000018119812, 0.38029998540878296]","[-0.2840999960899353, 0.4147000014781952, -0.21080000698566437, 0.016300000250339508, 0.06390000134706497]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,2,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6068000197410583, 0.5241000056266785, -1.1067999601364136, 0.8069999814033508, 0.3824999928474426]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,2,scale,"[0.414900004863739, 0.4083000123500824, 0.3212999999523163, 0.4068000018596649, 0.37599998712539673]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,3,full,"[0.49129998683929443, 0.30399999022483826, 0.3077999949455261, 0.3666999936103821, 0.3418000042438507]","[-0.29789999127388, 0.4771000146865845, -0.18709999322891235, 0.02500000037252903, -0.01720000058412552]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,3,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6399000287055969, 0.4740999937057495, -1.0651999711990356, 0.9047999978065491, 0.326200008392334]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,3,scale,"[0.41119998693466187, 0.35370001196861267, 0.2831000089645386, 0.3580999970436096, 0.33079999685287476]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,4,full,"[0.49570000171661377, 0.3303000032901764, 0.33970001339912415, 0.41749998927116394, 0.3691999912261963]","[-0.25279998779296875, 0.4805999994277954, -0.2078000009059906, -0.09709999710321426, 0.07720000296831131]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,4,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.4921000003814697, 0.39899998903274536, -1.059000015258789, 0.804099977016449, 0.3479999899864197]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,4,scale,"[0.42250001430511475, 0.382999986410141, 0.31459999084472656, 0.4009999930858612, 0.3671000003814697]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,5,full,"[0.4945000112056732, 0.37130001187324524, 0.3546999990940094, 0.423799991607666, 0.3887999951839447]","[-0.2937000095844269, 0.4041000008583069, -0.20409999787807465, 0.08320000022649765, 0.010400000028312206]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
