dataset,loss,wd,fold,bacc,bacc_leakex,train_acc,wnorm,exploratory
aptos2019,ce,0.0001,0,0.6711051026214648,0.6541582955857408,0.9648344144759303,8.057008743286133,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,0,0.6711051026214648,0.6541582955857408,0.9648344144759303,7.993922233581543,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,0,0.6780645246473689,0.6619681459025549,0.9631273472174804,7.467415809631348,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,0,0.675541582953621,0.6591539033311251,0.9569819050870604,6.540449142456055,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,0,0.6850755025540226,0.6650879692651912,0.9392284055991806,4.7046732902526855,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,0,0.653690343902936,0.6359441326004631,0.9569819050870604,9.012246131896973,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,0,0.653690343902936,0.6359441326004631,0.9569819050870604,8.944594383239746,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,0,0.6530032160971642,0.6352474707717258,0.9528849436667804,8.376908302307129,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,0,0.6579626381230682,0.6408595188907377,0.9463980880846705,7.364569187164307,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,0,0.6858607670211971,0.6733869914182102,0.9276203482417207,5.326442718505859,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,0,0.6711051026214648,0.6541582955857408,0.9648344144759303,8.057008743286133,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,0,0.654951185992972,0.6333496702488135,0.9702970297029703,8.42392635345459,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,0,0.6528025747778787,0.6323530067451862,0.9689313758962103,8.653629302978516,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,0,0.6609876412002332,0.643856220512551,0.9641515875725504,8.719294548034668,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,0,0.653690343902936,0.6359441326004631,0.9569819050870604,9.012246131896973,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,0,0.6668705042682224,0.6519231722185419,0.9371799248890407,8.496861457824707,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,0,0.6579356110960412,0.6395408375720564,0.9685899624445203,8.221476554870605,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,0,0.6555978106917587,0.6378848334090884,0.9607374530556504,8.687531471252441,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,0,0.6583930466056387,0.6412188578751883,0.9566404916353705,8.931867599487305,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,1,0.6427510783418102,0.6397947413741499,0.9675657220894504,8.008548736572266,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,1,0.6437510783418103,0.640881697895889,0.9672243086377603,7.944808483123779,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,1,0.6437510783418103,0.640881697895889,0.9644930010242404,7.413868427276611,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,1,0.6572334420614622,0.6553593941127156,0.9600546261522704,6.4849042892456055,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,1,0.6516390816665477,0.6485268669877808,0.9453738477296005,4.665236949920654,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,1,0.6559923879247322,0.6508363461869934,0.9603960396039604,8.952532768249512,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,1,0.6559923879247322,0.6508363461869934,0.9600546261522704,8.884608268737793,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,1,0.6592491072479334,0.654250592108203,0.9569819050870604,8.315866470336914,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,1,0.6564132933599576,0.6548076951722699,0.9528849436667804,7.306968688964844,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,1,0.6528391797193619,0.6515048851297596,0.9310344827586207,5.290387153625488,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,1,0.6427510783418102,0.6397947413741499,0.9675657220894504,8.008548736572266,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,1,0.6421409088502849,0.639083278923557,0.9713212700580403,8.360337257385254,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,1,0.6507514776981418,0.6471113122712835,0.9723455104131102,8.56247329711914,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,1,0.6547310716112538,0.651629108732244,0.9668828951860703,8.665779113769531,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,1,0.6559923879247322,0.6508363461869934,0.9603960396039604,8.952532768249512,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,1,0.6551054020899084,0.649399713445443,0.9450324342779105,8.635432243347168,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,1,0.6400483756391077,0.636937598517007,0.9689313758962103,8.155403137207031,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,1,0.6537310716112537,0.6505421522105049,0.9662000682826903,8.678424835205078,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,1,0.6565464045452308,0.6513934492510602,0.9603960396039604,8.887301445007324,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,2,0.669678888616773,0.6750327623958908,0.9655290102389078,8.084099769592285,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,2,0.669678888616773,0.6750327623958908,0.9651877133105802,8.020123481750488,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,2,0.669678888616773,0.6750327623958908,0.9641638225255973,7.486426830291748,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,2,0.6682890581082985,0.6737470481101765,0.9590443686006825,6.548765659332275,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,2,0.6501537059854352,0.6544002837634122,0.9382252559726962,4.701778411865234,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,2,0.6721492012694416,0.6657255271110019,0.9583617747440273,8.839399337768555,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,2,0.6721492012694416,0.6657255271110019,0.957679180887372,8.772627830505371,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,2,0.6765390317779161,0.6704398128252878,0.9563139931740614,8.212824821472168,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,2,0.6833562062931516,0.6776968847415775,0.9494880546075085,7.216682434082031,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,2,0.6778113259980483,0.6823562254009181,0.9300341296928327,5.216979503631592,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,2,0.669678888616773,0.6750327623958908,0.9655290102389078,8.084099769592285,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,2,0.6716511877857481,0.677585214289125,0.9689419795221843,8.49169921875,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,2,0.6707437209969254,0.672662137366048,0.9689419795221843,8.690433502197266,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,2,0.6665886712102966,0.6683373510412617,0.9665529010238908,8.825392723083496,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,2,0.6721492012694416,0.6657255271110019,0.9583617747440273,8.839399337768555,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,2,0.6747957511011176,0.6695039665486593,0.942320819112628,8.365874290466309,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,2,0.6609761859140704,0.6662415536046821,0.967235494880546,8.261823654174805,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,2,0.6759443623162108,0.6726999884038991,0.9651877133105802,8.833451271057129,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,2,0.6704464985667389,0.6668683842538592,0.9590443686006825,8.794998168945312,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,3,0.6579334418694952,0.6503548606071956,0.9634812286689419,8.124526977539062,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,3,0.6579334418694952,0.6503548606071956,0.9631399317406143,8.059670448303223,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,3,0.6552307391667924,0.6474136841366073,0.9604095563139932,7.519041538238525,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,3,0.6572307391667924,0.6496359063588295,0.9563139931740614,6.571188449859619,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,3,0.6424082592381575,0.6409586576815809,0.9382252559726962,4.709286689758301,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,3,0.6813626448646872,0.6638873847279549,0.962457337883959,9.111881256103516,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,3,0.6813626448646872,0.6638873847279549,0.962457337883959,9.042779922485352,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,3,0.6920156332678987,0.6755275963681665,0.9607508532423208,8.463600158691406,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,3,0.7019814938653383,0.6864052807752626,0.9546075085324232,7.433925151824951,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,3,0.6990440853079006,0.6821382579649006,0.9382252559726962,5.369820594787598,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,3,0.6579334418694952,0.6503548606071956,0.9634812286689419,8.124526977539062,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,3,0.6831271878009753,0.6702365910771613,0.9720136518771331,8.449028015136719,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,3,0.6816876429930094,0.6685652558764144,0.9699658703071672,8.687568664550781,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,3,0.6853406313962209,0.6678245151356735,0.9662116040955632,8.762199401855469,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,3,0.6813626448646872,0.6638873847279549,0.962457337883959,9.111881256103516,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,3,0.7040960405449818,0.6885559274777691,0.9477815699658703,8.620039939880371,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,3,0.6733660912896557,0.6634765537288887,0.9665529010238908,8.280935287475586,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,3,0.6853406313962209,0.6678245151356735,0.9648464163822525,8.842682838439941,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,3,0.6893064919936605,0.6720355328761031,0.9631399317406143,9.095686912536621,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,4,0.6217396951613836,0.6092852313614848,0.9662116040955632,8.08456039428711,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
