dataset,loss,wd,fold,bacc,bacc_leakex,train_acc,wnorm,exploratory
oral_diseases,ce,0.0001,0,0.6886837577627052,,1.0,7.386056900024414,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.01,0,0.6886837577627052,,1.0,7.28688907623291,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.1,0,0.6886837577627052,,1.0,6.505380630493164,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.3,0,0.6487473783526415,,1.0,5.402970790863037,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,1.0,0,0.6487473783526415,,1.0,4.260205268859863,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.0001,0,0.6886837577627052,,1.0,7.390411376953125,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.01,0,0.6886837577627052,,1.0,7.290493488311768,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.1,0,0.681164960770224,,1.0,6.502692699432373,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.3,0,0.6487473783526415,,1.0,5.391749858856201,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,1.0,0,0.6487473783526415,,1.0,4.251705169677734,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.0,0,0.6886837577627052,,1.0,7.386056900024414,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.25,0,0.6886837577627052,,1.0,7.400275230407715,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.5,0,0.6886837577627052,,1.0,7.392765522003174,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.75,0,0.6886837577627052,,1.0,7.3894219398498535,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.0,0,0.6886837577627052,,1.0,7.390411853790283,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.25,0,0.6886837577627052,,1.0,7.394162178039551,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.99,0,0.6886837577627052,,1.0,7.388273239135742,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.999,0,0.6886837577627052,,1.0,7.39030647277832,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.9999,0,0.6886837577627052,,1.0,7.390465259552002,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.0001,1,0.7911900964532543,,1.0,7.514935493469238,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.01,1,0.8041771094402673,,1.0,7.416219234466553,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.1,1,0.7962406015037594,,1.0,6.637451171875,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.3,1,0.7713488266119846,,1.0,5.527903079986572,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
